Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Admin. And Selling Expenses,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,1188.93,3.73,1192.66,442.94,169.68,27.11,73.38,19.81,151.6,127.62,180.52,19.38,199.9,0.97,198.93,0.0,198.93,41.51,157.42,0.0,157.42,174.29,0.9,0.9,54.62,31.34,119.63,99.96,68.64
2013-03-31,1094.04,2.78,1096.82,441.17,141.75,-10.63,72.27,18.89,115.71,130.89,186.77,23.93,210.7,6.78,203.92,0.0,203.92,44.25,159.67,0.0,159.67,174.29,0.92,0.91,54.62,31.34,119.64,99.97,68.65
2013-06-30,1122.39,3.63,1126.02,415.81,186.55,-2.55,76.45,18.47,149.21,138.67,143.41,30.14,173.55,3.83,169.72,0.0,169.72,38.83,130.89,0.0,130.89,174.36,0.75,0.75,54.69,31.37,119.64,99.97,68.62
2013-09-30,1148.14,3.55,1151.69,457.31,203.16,-69.97,87.98,13.18,123.84,131.77,204.42,18.61,223.03,4.66,218.37,0.0,218.37,47.54,170.83,-0.09,170.74,174.38,0.98,0.97,54.71,31.37,119.64,99.97,68.61
2013-12-31,1339.07,3.07,1342.14,476.98,178.82,52.24,89.87,13.47,181.32,142.0,207.44,30.16,237.6,4.14,233.46,0.0,233.46,50.31,183.15,-0.58,182.57,174.38,1.05,1.04,54.69,31.36,119.66,99.97,68.62
2014-03-31,1247.2,3.03,1250.23,467.88,188.44,7.98,83.55,14.85,126.75,144.23,216.55,30.67,247.22,6.72,240.5,0.0,240.5,52.55,187.95,-0.05,187.9,174.38,1.08,1.07,54.68,31.36,119.67,99.97,68.63
2014-06-30,1243.03,2.96,1245.99,508.03,228.76,-65.93,89.49,16.23,160.81,152.84,155.76,32.93,188.69,3.32,185.37,0.0,185.37,41.25,144.12,0.0,144.12,175.62,0.82,0.82,55.92,31.84,119.68,99.97,68.14
2014-09-30,1289.68,3.32,1293.0,500.74,247.79,-73.4,101.39,16.24,140.19,150.37,209.68,33.36,243.04,1.32,241.72,0.0,241.72,53.07,188.65,0.0,188.65,175.64,1.07,1.07,55.93,31.84,119.68,99.97,68.14
2014-12-31,1498.31,3.47,1501.78,458.86,207.27,109.41,104.25,16.36,206.31,152.32,247.0,32.86,279.86,2.44,277.42,0.0,277.42,60.55,216.87,0.0,216.87,175.65,1.23,1.23,55.94,31.84,119.69,99.97,68.14
2015-03-31,1387.9,2.61,1390.51,453.46,253.44,-2.33,97.86,17.14,139.23,171.62,260.09,38.7,298.79,2.81,295.98,-23.96,272.02,59.08,212.94,0.0,212.94,175.65,1.21,1.2,55.93,31.84,119.69,99.97,68.14
2015-06-30,1275.46,2.86,1278.32,425.72,283.29,-18.41,105.43,17.99,139.95,136.53,187.82,41.16,228.98,3.62,225.36,0.0,225.36,51.64,173.72,0.0,173.72,175.68,0.99,0.98,55.94,31.84,119.72,99.97,68.14
2015-09-30,1318.37,2.11,1320.48,487.88,234.8,-24.39,109.73,17.29,107.61,142.63,244.93,51.62,296.55,1.71,294.84,0.0,294.84,66.63,228.21,0.0,228.21,175.91,1.3,1.29,0.0,0.0,0.0,0.0,0.0
2015-12-31,1369.96,2.89,1372.85,527.0,172.6,-2.18,111.68,17.49,145.5,132.4,268.36,53.52,321.88,1.92,319.96,0.0,319.96,71.77,248.19,0.0,248.19,175.91,1.41,1.4,0.0,0.0,0.0,0.0,0.0
