Date,Net Sales/Income from operations,Total Income From Operations,Employees Cost,Depreciation,Admin. And Selling Expenses,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,10.96,10.96,1.69,0.02,7.0,0.3,0.84,1.11,6.26,7.37,8.86,-1.48,235.73,234.24,45.02,189.22,0.0,189.22,1716.19,1.1,1.1,29.92,17.43,141.7,100.0,82.57
2013-03-31,127.66,127.66,7.1,0.03,6.0,1.08,1.65,111.8,14.63,126.43,18.91,107.52,0.0,107.52,1.52,106.0,0.0,106.0,1716.76,0.61,0.61,29.97,17.46,141.7,100.0,82.54
2013-06-30,11.61,11.61,3.88,0.03,1.68,-0.27,1.97,4.32,12.92,17.23,18.15,-0.92,0.0,-0.92,0.31,-1.23,0.0,-1.23,1716.84,-0.1,-0.1,29.98,17.46,141.7,100.0,82.54
2013-09-30,169.31,169.31,3.19,0.03,1.89,0.0,6.08,158.12,6.03,164.15,17.51,146.64,0.0,146.64,0.18,146.47,0.0,146.47,1716.93,0.76,0.76,29.99,17.47,141.7,100.0,82.53
2013-12-31,66.74,66.74,2.33,0.03,0.8,0.0,2.38,61.21,5.9,67.11,17.04,50.07,0.0,50.07,-0.11,50.18,0.0,50.18,1717.6,0.17,0.17,31.77,18.5,139.98,100.0,81.5
2014-03-31,9.9,9.9,-2.32,0.03,0.96,0.0,5.54,5.7,8.8,14.5,13.41,1.09,0.0,1.09,0.13,0.96,0.0,0.96,1718.45,0.12,0.12,40.19,23.39,131.66,100.0,76.61
2014-06-30,8.97,8.97,5.38,0.03,0.39,0.0,3.69,-0.51,9.94,9.42,15.07,-5.65,0.0,-5.65,-0.07,-5.58,0.0,-5.58,1718.67,-0.16,-0.16,42.97,25.0,128.9,100.0,75.0
2014-09-30,9.88,9.88,2.6,0.03,0.96,0.0,3.44,2.85,8.08,10.94,9.24,1.7,0.0,1.7,0.21,1.49,0.0,1.49,1719.12,8.64,8.64,43.01,25.02,128.9,100.0,74.98
2014-12-31,84.9,84.9,4.25,0.04,0.47,0.0,5.53,74.61,6.86,81.46,6.06,75.4,0.0,75.4,-0.24,75.64,0.0,75.64,1719.46,0.27,0.27,43.05,25.03,128.9,100.0,74.97
2015-03-31,186.87,186.87,4.82,0.04,1.84,0.0,2.17,178.01,11.44,189.44,8.86,180.58,0.0,180.58,-9.5,190.08,0.0,190.08,1720.29,0.93,0.93,46.53,27.05,125.49,100.0,72.95
2015-06-30,12.14,12.14,2.35,0.04,1.04,0.0,0.67,8.04,15.3,23.35,5.8,17.54,0.0,17.54,-4.12,21.67,0.0,21.67,1720.7,0.09,0.09,46.58,27.07,125.49,100.0,72.93
2015-09-30,131.92,131.92,4.23,0.04,2.96,0.0,1.29,123.4,19.47,142.87,5.28,137.59,0.0,137.59,-5.48,143.07,0.0,143.07,1721.06,0.59,0.59,0.0,0.0,0.0,0.0,0.0
2015-12-31,190.58,190.58,4.42,0.04,0.26,0.0,4.84,181.02,20.73,201.76,4.64,197.12,0.0,197.12,0.0,197.12,0.0,197.12,1753.2,0.9,0.9,0.0,0.0,0.0,0.0,0.0
2016-03-31,13.87,13.87,9.34,0.02,2.7,-1.94,0.0,3.75,23.44,27.19,11.36,15.83,0.0,15.83,-0.34,16.17,0.0,16.17,1753.4,0.14,0.14,0.0,0.0,0.0,0.0,0.0
2016-06-30,13.09,13.09,1.89,0.02,1.58,0.0,3.04,6.56,10.37,16.93,12.63,4.3,0.0,4.3,1.38,2.92,0.0,2.92,1753.79,0.13,0.13,0.0,0.0,0.0,0.0,0.0
2016-09-30,13.58,13.58,4.71,0.01,1.99,0.0,0.01,6.86,9.27,16.13,12.05,4.08,0.0,4.08,-1.14,5.22,0.0,5.22,1754.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0
2016-12-31,11.43,11.43,3.18,0.01,1.44,0.0,1.54,5.26,8.42,13.68,10.05,3.63,0.0,3.63,-8.04,11.67,0.0,11.67,1754.95,0.08,0.08,0.0,0.0,0.0,0.0,0.0
2017-03-31,239.48,239.48,1.79,0.01,2.81,-0.17,0.0,235.04,9.25,244.29,11.19,233.1,0.0,233.1,4.25,228.85,0.0,228.85,1755.72,1.03,1.02,0.0,0.0,0.0,0.0,0.0
2017-06-30,15.81,15.81,0.75,0.01,2.17,-0.58,0.0,13.46,10.09,23.55,15.15,8.4,0.0,8.4,0.2,8.2,0.0,8.2,1821.22,0.13,0.13,0.0,0.0,0.0,0.0,0.0
2017-09-30,13.5,13.5,1.87,0.01,2.89,2.07,0.0,6.66,11.03,17.69,12.69,5.0,0.0,5.0,0.17,4.83,0.0,4.83,1821.71,0.12,0.12,0.0,0.0,0.0,0.0,0.0
2017-12-31,20.52,20.52,1.95,0.0,2.19,0.39,0.0,15.99,5.2,21.19,19.94,1.25,0.0,1.25,-5.73,6.98,0.0,6.98,1823.61,0.11,0.11,0.0,0.0,0.0,0.0,0.0
2018-03-31,400.1,400.1,0.15,0.0,3.85,0.1,0.0,396.0,2.12,398.12,18.09,380.03,0.0,380.03,32.2,347.83,0.0,347.83,1995.68,1.82,1.8,0.0,0.0,0.0,0.0,0.0
2018-06-30,32.38,32.38,4.36,0.0,0.0,0.0,2.11,25.91,20.97,46.88,36.28,10.6,0.0,10.6,0.25,10.35,0.0,10.35,1995.75,0.05,0.05,0.0,0.0,0.0,0.0,0.0
2018-09-30,97.71,97.71,4.79,0.0,0.0,0.0,-0.64,93.56,2.31,95.87,57.48,38.39,0.0,38.39,4.7,33.69,0.0,33.69,1997.05,0.17,0.17,0.0,0.0,0.0,0.0,0.0
2018-12-31,48.87,48.87,4.58,0.05,0.0,-0.3,2.32,42.22,13.68,55.9,61.13,-5.23,0.0,-5.23,-0.99,-4.24,0.0,-4.24,1997.33,-0.02,-0.02,0.0,0.0,0.0,0.0,0.0
2019-03-31,303.14,303.14,1.35,0.06,0.0,-0.03,1.74,300.02,7.41,307.43,47.16,260.27,0.0,260.27,33.01,227.26,0.0,227.26,1998.81,1.14,1.13,0.0,0.0,0.0,0.0,0.0
2019-06-30,16.56,16.56,3.63,0.12,0.0,0.02,2.9,9.89,8.62,18.51,43.86,-25.35,0.0,-25.35,4.6,-29.95,0.0,-29.95,1999.53,-0.15,-0.15,0.0,0.0,0.0,0.0,0.0
2019-09-30,29.18,29.18,8.45,0.12,0.0,0.07,2.92,17.62,12.33,29.95,43.29,-13.34,0.0,-13.34,4.04,-17.38,-0.24,-17.62,2000.48,-0.09,-0.09,0.0,0.0,0.0,0.0,0.0
2019-12-31,29.21,29.21,7.3,0.12,0.0,0.0,2.5,19.29,13.73,33.02,52.28,-19.26,0.0,-19.26,6.17,-25.43,0.0,-25.43,2000.51,-0.13,-0.13,0.0,0.0,0.0,0.0,0.0
2020-03-31,400.49,400.49,7.34,0.12,0.0,0.03,2.25,390.75,12.26,403.01,61.32,341.69,0.0,341.69,1.88,339.81,0.0,339.81,2004.83,1.7,1.69,0.0,0.0,0.0,0.0,0.0
2020-06-30,19.76,19.76,0.7,0.12,0.0,4.92,10.83,3.19,4.92,8.11,58.49,-50.38,224.68,174.3,48.39,125.91,0.0,125.91,2004.85,0.63,0.63,0.0,0.0,0.0,0.0,0.0
2020-09-30,16.27,16.27,4.27,0.12,0.0,2.41,-1.16,10.63,4.34,14.97,49.56,-34.59,0.0,-34.59,6.51,-41.1,0.0,-41.1,2006.53,-0.2,-0.2,0.0,0.0,0.0,0.0,0.0
2020-12-31,17.1,17.1,4.13,0.19,0.0,0.14,-0.4,13.04,3.91,16.95,46.95,-30.0,0.0,-30.0,-2.37,-27.63,0.0,-27.63,2006.98,-0.14,-0.14,0.0,0.0,0.0,0.0,0.0
2021-03-31,118.13,118.13,4.6,0.15,0.0,0.12,3.21,110.05,6.99,117.04,37.96,79.08,0.0,79.08,20.21,58.87,0.0,58.87,2469.45,0.26,0.26,0.0,0.0,0.0,0.0,0.0
2021-06-30,27.85,27.85,3.65,0.09,0.0,-0.05,1.77,22.39,3.61,26.0,28.35,-2.35,0.0,-2.35,0.0,-2.35,0.0,-2.35,2470.58,-0.01,-0.01,0.0,0.0,0.0,0.0,0.0
2021-09-30,24.11,24.11,2.63,0.1,0.0,-0.04,1.98,19.44,2.61,22.05,27.71,-5.66,0.0,-5.66,13.37,-19.03,0.0,-19.03,2472.88,-0.08,-0.08,0.0,0.0,0.0,0.0,0.0
2021-12-31,16.26,16.26,5.2,0.09,0.0,0.06,2.32,8.59,5.35,13.94,15.79,-1.85,0.0,-1.85,7.68,-9.53,0.0,-9.53,2473.9,-0.04,-0.04,0.0,0.0,0.0,0.0,0.0
2022-03-31,267.65,267.65,3.22,0.09,0.0,0.05,1.38,262.91,3.02,265.93,1.64,264.29,0.0,264.29,15.2,249.09,0.0,249.09,2474.04,1.01,1.01,0.0,0.0,0.0,0.0,0.0
2022-06-30,20.05,20.05,3.09,0.09,0.0,0.0,1.62,15.25,3.06,18.31,2.1,16.21,0.0,16.21,10.18,6.03,0.0,6.03,2474.9,0.02,0.02,0.0,0.0,0.0,0.0,0.0
2022-09-30,111.12,111.12,2.73,0.1,0.0,0.03,15.33,92.93,2.73,95.66,2.11,93.55,283.0,376.55,50.37,326.18,0.0,326.18,2476.02,1.32,1.31,0.0,0.0,0.0,0.0,0.0
2022-12-31,3398.67,3398.67,371.12,27.92,0.0,444.06,487.01,2068.56,58.8,2127.36,1500.69,626.67,-112.08,514.59,90.76,423.83,0.0,423.83,2483.07,1.71,1.71,0.0,0.0,0.0,0.0,0.0
2023-03-31,126.21,126.21,4.26,0.03,0.0,-0.43,14.68,107.67,4.13,111.8,0.0,111.8,0.0,111.8,8.6,103.2,0.0,103.2,2479.67,0.42,0.42,0.0,0.0,0.0,0.0,0.0
2023-06-30,51.15,51.15,5.18,0.04,0.0,0.0,4.54,41.39,5.23,46.62,0.01,46.61,0.0,46.61,11.85,34.76,0.0,34.76,2479.97,0.14,0.14,0.0,0.0,0.0,0.0,0.0
2023-09-30,3213.77,3213.77,447.88,26.8,0.0,396.15,499.06,1843.88,261.92,2105.8,1324.9,780.9,0.0,780.9,199.52,581.38,0.0,581.38,2483.07,2.34,2.33,0.0,0.0,0.0,0.0,0.0
2023-12-31,3533.38,3533.38,449.62,27.74,0.0,332.69,598.99,2124.34,47.52,2171.86,1353.43,818.43,0.0,818.43,182.77,635.66,0.0,635.66,2487.58,2.56,2.56,0.0,0.0,0.0,0.0,0.0
2024-03-31,3669.74,3669.74,500.74,26.1,0.0,251.32,879.49,2012.09,5.95,2018.04,1335.08,682.96,0.0,682.96,138.08,544.88,0.0,544.88,2488.94,2.19,2.18,0.0,0.0,0.0,0.0,0.0
2024-06-30,3782.09,3782.09,518.74,27.01,0.0,390.18,582.18,2263.98,0.56,2264.54,1351.4,913.14,0.0,913.14,234.22,678.92,0.0,678.92,2489.84,2.73,2.72,0.0,0.0,0.0,0.0,0.0
2024-09-30,4015.2,4015.2,548.26,31.81,0.0,550.51,484.07,2400.55,5.05,2405.6,1476.27,929.33,0.0,929.33,240.21,689.12,0.0,689.12,2492.69,2.77,2.76,0.0,0.0,0.0,0.0,0.0
2024-12-31,4095.09,4095.09,578.79,34.69,0.0,728.96,376.52,2376.13,7.7,2383.83,1569.23,814.6,0.0,814.6,195.42,619.18,0.0,619.18,2494.27,2.48,2.48,0.0,0.0,0.0,0.0,0.0
2025-03-31,4019.75,4019.75,568.61,39.46,0.0,523.7,494.97,2393.01,4.68,2397.69,1599.83,797.86,0.0,797.86,167.27,630.59,0.0,630.59,2494.87,2.53,2.52,0.0,0.0,0.0,0.0,0.0
