Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Intangible Assets Under Development,Fixed Assets,Deferred Tax Assets [Net],Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Preference Share Capital,Money Received Against Share Warrants,Short Term Provisions,Non-Current Investments,Long Term Loans And Advances,Revaluation Reserves,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Capital Work-In-Progress,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Inventories,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods
2009-03-31,2.05,2.05,-0.02,-0.02,0.0,2.03,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,1078.59,0.0,0.0,0.0,0.0,0.0,0.0,1076.54,0.0,0.0,2.05,0.0,0.0,2.05,1078.59,0.0,0.0,0.0,1076.54,0.0,0.0,0.0,0.0,1076.54,0.0,0.0,1076.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,1353.59,1353.59,2.8,2.8,0.0,1356.39,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.18,1631.56,0.0,0.0,0.0,0.0,0.0,0.0,1629.28,0.0,0.0,0.01,2.28,0.0,2.28,1631.56,0.0,0.0,275.06,1477.64,0.0,0.0,0.0,0.06,1629.28,0.0,0.0,275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,1417.02,1417.02,365.85,365.85,0.0,1782.87,0.0,0.0,0.0,0.0,0.0,356.0,0.0,0.09,356.1,2138.97,0.0,0.0,0.0,0.0,0.0,18.93,2137.71,0.0,0.0,0.3,0.0,0.96,1.26,2138.97,0.0,0.0,275.06,1967.14,0.0,0.0,0.0,0.01,2118.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,1714.76,1714.76,1638.89,1638.89,0.0,3353.66,0.0,0.0,0.14,2.2,2.33,0.0,0.0,2.18,10.47,3366.46,0.49,0.04,0.0,0.54,0.55,0.0,3047.87,0.0,0.0,3.94,294.53,20.12,318.59,3366.46,9.45,5.28,637.37,2695.14,0.0,0.0,0.0,8.29,3046.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,1716.76,2466.76,1813.79,1813.79,0.0,4280.55,100.0,0.0,0.14,8.29,108.42,644.61,0.0,340.38,1121.59,5510.57,0.5,0.03,0.0,0.53,1.76,0.0,4615.45,752.92,0.0,48.94,84.03,9.23,895.11,5510.57,9.45,1.68,84.0,4043.06,752.92,750.0,0.0,136.6,4122.56,490.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,1718.45,2718.45,1808.51,1808.51,0.0,4526.96,200.0,0.0,0.14,0.35,200.48,460.31,0.0,11.78,605.96,5333.4,0.41,0.01,0.0,0.42,1.34,0.0,4786.74,198.44,0.0,46.35,286.89,14.98,546.67,5333.4,9.45,1.9,84.0,4642.61,198.44,1000.0,0.0,133.86,4727.01,57.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,1720.29,3083.69,1825.61,1825.61,0.0,4909.29,0.0,0.0,0.14,0.0,0.14,549.0,0.0,12.37,704.17,5613.6,0.31,0.09,0.0,0.4,1.53,0.0,4848.47,276.74,0.0,31.12,434.51,22.76,765.13,5613.6,9.45,2.02,180.0,4649.13,276.74,1363.4,0.0,142.8,4829.13,17.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,1753.4,2966.8,2102.47,2102.47,0.0,6400.74,0.0,0.0,0.14,0.01,0.15,597.59,0.0,18.9,767.37,5954.86,0.21,0.06,0.0,0.27,9.04,0.0,5113.89,504.33,0.0,40.28,290.83,5.54,840.97,5954.86,0.0,2.28,5.0,5061.68,504.33,1213.4,118.07,150.88,5066.68,37.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,1755.72,2969.12,2236.54,2236.54,0.0,5323.73,0.0,0.0,0.0,0.0,0.0,973.9,0.0,75.8,1054.03,6377.76,0.01,0.02,0.0,0.03,9.35,0.0,5430.26,270.14,0.0,2.22,583.67,91.47,947.5,6377.76,4.51,4.86,0.0,5374.03,270.14,1213.4,118.07,4.34,5374.03,46.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,1995.68,3025.8,5614.37,5614.37,63.64,8703.81,468.7,0.0,1.7,1.83,472.23,0.0,0.02,10.8,10.82,9186.86,0.01,0.0,0.0,0.01,34.76,3.72,38.49,7840.39,57.63,12.26,1014.08,224.01,9148.37,9186.86,0.0,1.47,0.0,0.0,7840.39,1030.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
