Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Money Received Against Share Warrants,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Equity Share Application Money,Share Capital Suspense,Deferred Tax Assets [Net],Preference Share Capital,Revaluation Reserves,Employees Stock Options,Preference Share Application Money,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2004-03-31,12.5,12.5,263.17,263.17,0.0,275.67,47.62,29.28,0.0,0.0,76.9,107.02,57.78,21.05,21.48,207.32,559.9,180.38,1.7,13.83,0.0,0.0,195.92,15.15,0.0,0.0,211.34,0.0,150.22,139.04,4.75,54.54,0.0,348.55,559.9,62.2,24.31,340.16,2.23,8.4,0.0,20.4,0.0,78.4,0.0,0.0,6.59,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,25.0,25.0,312.59,312.59,0.0,337.59,10.52,43.73,0.0,0.0,54.25,209.85,59.07,26.32,11.46,306.71,698.55,291.46,2.84,28.17,0.0,0.0,322.46,10.29,0.0,0.0,333.54,0.0,173.87,157.16,4.17,29.82,0.0,365.01,698.55,66.64,34.64,390.97,0.0,20.9,0.0,10.29,0.0,73.76,0.0,0.0,12.76,0.0,0.0,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,25.0,25.0,360.89,360.89,0.0,385.89,1.94,48.95,0.0,0.0,50.89,194.6,76.01,31.05,13.02,314.68,751.47,340.77,3.03,29.72,0.0,0.0,373.52,13.93,0.0,0.0,388.51,0.0,183.32,142.94,3.67,33.02,0.0,362.96,751.47,38.38,42.87,385.77,0.0,20.9,0.0,13.93,0.0,102.38,0.0,0.0,12.65,0.0,0.0,1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,25.0,25.0,461.02,461.02,0.0,486.02,122.09,53.07,0.0,0.0,175.16,116.45,88.57,34.84,86.69,326.55,987.77,371.37,3.11,57.0,0.0,0.0,431.48,24.92,0.0,0.0,458.28,0.0,232.21,180.98,5.57,110.73,0.0,529.49,987.77,27.48,53.24,467.31,0.0,20.9,2.68,19.83,0.0,120.34,0.0,0.0,10.23,0.04,0.0,1.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,25.09,25.09,582.57,582.57,0.0,607.66,181.83,59.01,0.0,0.0,240.84,170.67,94.41,43.24,121.66,429.98,1278.52,410.19,3.24,127.61,0.0,0.0,541.04,31.91,0.0,0.0,574.6,0.0,259.52,271.81,7.59,165.0,0.0,703.92,1278.52,28.96,56.75,516.41,3.43,20.9,6.53,22.39,0.0,126.18,0.0,0.0,15.38,0.04,0.0,1.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,24.99,24.99,613.52,613.52,0.0,638.51,231.46,68.16,0.0,0.0,299.62,218.76,92.81,101.29,111.06,523.92,1462.08,557.7,5.33,16.69,0.0,0.0,579.72,57.03,0.0,0.0,639.8,0.0,299.83,342.77,6.42,173.26,0.0,822.28,1462.08,109.41,67.56,657.4,3.56,20.9,4.49,44.51,0.0,155.81,0.0,0.0,20.94,0.03,0.0,3.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,25.04,25.04,849.82,849.82,0.0,874.86,219.85,82.86,0.0,0.0,302.71,233.62,119.59,64.84,153.74,571.79,1749.37,630.56,5.91,38.28,0.0,0.0,674.75,49.42,0.0,0.0,727.72,0.0,370.84,391.91,8.29,214.22,36.39,1021.65,1749.37,130.59,83.27,783.32,2.4,20.9,10.88,39.84,0.0,205.2,0.0,0.0,40.96,0.01,0.0,3.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,25.14,25.14,1028.72,1028.72,0.0,1053.86,194.62,80.73,1.66,5.34,282.35,263.35,177.05,99.89,36.66,576.95,1913.16,694.65,3.17,88.16,6.59,0.0,792.57,48.79,37.24,2.68,881.28,0.15,462.51,369.87,8.44,60.92,129.99,1031.88,1913.16,287.79,87.97,982.9,3.65,20.9,6.78,60.65,0.49,221.02,2.37,14.46,38.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,25.17,25.17,1237.04,1237.04,0.0,1262.21,330.18,93.09,0.59,8.72,432.58,201.36,233.11,172.16,28.57,635.2,2330.05,908.52,4.3,88.45,6.06,0.0,1007.33,42.65,76.36,7.11,1133.45,0.15,663.98,345.11,9.25,33.66,144.45,1196.6,2330.05,207.68,132.01,1353.36,7.55,20.9,1.63,51.59,0.3,373.2,3.43,13.45,52.97,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,25.24,25.24,1544.61,1544.61,0.0,1569.85,366.21,130.39,0.4,12.21,509.21,157.14,265.46,165.18,41.91,629.69,2708.75,1052.67,22.66,120.99,8.18,0.0,1204.5,21.79,88.16,9.5,1323.95,0.15,733.34,415.93,54.66,49.64,131.08,1384.8,2708.75,220.9,158.3,1667.02,9.58,20.9,0.98,32.63,0.36,366.28,3.53,11.21,41.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
