Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS
2020-03-31,1735.08,1735.08,0.0,1302.62,33.88,85.26,170.47,142.85,120.74,263.59,187.7,75.88,-185.0,-109.12,-48.56,-60.56,-60.56,395.88,0.0,-1.53,-1.53
2020-06-30,238.62,238.62,0.0,0.0,52.72,13.86,307.82,-135.78,29.9,-105.88,170.97,-276.85,0.0,-276.85,-98.0,-178.85,-178.85,395.88,0.0,-4.52,-4.52
2020-09-30,575.31,575.31,0.0,696.52,60.1,14.63,-240.94,44.99,43.04,88.03,223.84,-135.81,-460.0,-595.81,-208.56,-387.25,-387.25,395.88,0.0,-9.78,0.0
2020-12-31,765.61,765.61,0.0,572.14,68.05,15.0,-28.78,139.21,41.74,180.95,200.28,-19.33,0.0,-19.33,-0.08,-19.25,-19.25,395.88,0.0,-0.49,-0.49
2021-03-31,2720.15,2720.15,0.0,1687.03,75.65,13.8,64.15,879.53,31.61,911.14,222.8,688.34,0.0,688.34,288.71,399.63,399.63,395.88,0.0,10.09,10.09
2021-06-30,1514.38,1514.38,0.0,0.0,78.08,12.08,1081.37,342.85,48.79,391.64,148.08,243.56,0.0,243.56,62.83,180.73,180.73,447.32,0.0,4.11,4.1
2021-09-30,1959.95,1959.95,0.0,1345.92,80.6,11.96,191.64,329.83,19.69,349.52,70.15,279.37,0.0,279.37,72.07,207.3,207.3,447.32,0.0,4.63,4.63
2021-12-31,1397.81,1397.81,0.0,818.86,79.46,14.04,162.28,323.17,31.4,354.57,70.38,284.19,0.0,284.19,75.44,208.75,208.75,481.51,0.0,4.49,4.49
2022-03-31,3317.13,3317.13,0.0,0.0,88.52,14.32,2405.12,809.17,50.31,859.48,106.38,753.1,0.0,753.1,249.31,503.79,503.79,481.51,0.0,10.46,10.45
2022-06-30,2239.39,2239.39,0.0,0.0,93.54,21.19,1766.62,358.04,13.86,371.9,198.55,173.35,0.0,173.35,34.66,138.69,138.69,481.61,0.0,2.88,2.88
2022-09-30,1724.43,1724.43,0.0,0.0,107.95,31.6,1198.16,386.72,7.15,393.87,132.06,261.81,-1177.39,-915.58,26.03,-941.61,-941.61,481.62,0.0,-19.55,-19.55
2022-12-31,1670.58,1670.58,0.0,998.86,111.29,33.75,208.47,318.21,165.61,483.82,132.6,351.22,0.0,351.22,-28.88,380.1,380.1,481.75,0.0,7.89,7.88
2023-03-31,3100.2,3100.2,0.0,2003.07,98.44,37.63,309.39,651.67,68.27,719.94,134.64,585.3,0.0,585.3,-142.93,728.23,728.23,481.79,0.0,15.12,15.1
2023-06-30,1408.4,1408.4,0.0,850.9,116.8,41.4,162.9,236.4,93.2,329.6,153.7,175.9,0.0,175.9,40.6,135.3,135.3,964.0,0.0,1.4,1.4
2023-09-30,1731.2,1731.2,0.0,0.0,112.0,46.3,1222.0,350.9,23.4,374.3,140.5,233.8,0.0,233.8,57.7,176.1,176.1,964.4,0.0,1.83,1.82
2023-12-31,2793.9,2793.9,0.0,0.0,116.1,41.9,1868.3,767.6,71.8,839.4,130.3,709.1,-263.9,445.2,132.0,313.2,313.2,964.5,0.0,3.25,3.24
2024-03-31,3526.0,3526.0,2252.6,0.0,117.9,121.7,316.2,717.6,130.4,848.0,118.8,729.2,0.0,729.2,190.0,539.2,539.2,994.5,0.0,5.54,5.52
2024-06-30,2785.4,2785.4,1683.9,0.0,137.9,65.8,223.3,674.5,94.9,769.4,132.2,637.2,0.0,637.2,171.5,465.7,465.7,995.0,0.0,4.68,4.66
2024-09-30,2560.5,2560.5,1552.8,0.0,138.0,88.5,203.4,577.8,91.7,669.5,155.5,514.0,0.0,514.0,128.9,385.1,385.1,995.3,0.0,3.87,3.86
2024-12-31,3485.3,3485.3,0.0,0.0,129.3,71.5,2437.4,847.1,86.9,934.0,170.5,763.5,0.0,763.5,198.8,564.7,564.7,997.0,0.0,5.67,5.65
2025-03-31,3846.1,3846.1,0.0,0.0,133.1,70.1,2662.7,980.2,155.0,1135.2,154.2,981.0,0.0,981.0,206.9,774.1,774.1,997.6,17666.9,7.78,7.75
