Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Hybrid/Debt/Other Securities,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Preference Share Capital,Revaluation Reserves,Raw Materials,Capital Goods
2011-03-31,108.11,108.11,38.22,38.22,146.33,0.0,0.01,10.63,6.73,1.49,18.86,982.9,49.65,486.8,0.19,1519.54,1684.72,5.33,2.31,0.0,0.0,7.64,289.37,0.0,11.45,0.0,308.46,0.02,181.78,47.89,24.23,1099.14,23.18,1376.26,1684.72,3660.02,1.46,1.16,108.04,0.37,289.01,0.0,0.02,0.0,0.0,5.94,0.0
2012-03-31,108.11,108.11,68.36,68.36,176.47,0.0,0.0,12.22,9.86,0.71,22.79,1791.05,60.55,151.57,0.27,2003.44,2202.7,3.72,2.23,0.0,0.0,5.95,72.85,0.0,15.88,0.0,94.68,0.0,233.89,20.17,154.57,1684.0,15.41,2108.03,2202.7,1934.56,4.28,3.08,108.04,0.5,72.48,0.0,0.0,0.0,0.0,3.85,0.0
2013-03-31,108.11,118.11,576.6,576.6,694.71,0.0,0.76,8.78,14.67,1.58,25.79,2847.75,181.25,364.5,7.74,3401.24,4121.74,4.76,2.03,0.0,0.0,6.8,1004.84,0.0,36.4,0.0,1048.04,21.43,855.18,129.74,91.45,1694.46,281.44,3073.71,4121.74,5033.07,5.37,2.18,108.04,0.53,1004.47,0.0,21.43,10.0,0.0,0.0,0.0
2014-03-31,108.11,118.11,576.74,576.74,694.84,0.0,0.56,16.86,16.35,6.3,40.07,3809.31,89.71,668.61,2.56,4570.19,5305.1,5.1,1.4,14.4,0.0,20.9,1990.33,0.0,41.13,0.0,2052.36,99.36,1066.24,151.45,123.43,1495.08,317.19,3252.74,5305.1,7740.49,5.74,22.93,108.04,0.51,1989.97,0.0,99.36,10.0,0.0,1.93,0.53
2015-03-31,108.11,118.11,777.63,777.63,895.74,0.0,0.71,50.57,19.19,10.81,81.27,6994.85,123.62,912.45,24.83,8055.75,9032.76,23.15,0.78,0.0,0.0,23.93,953.04,0.0,11.73,0.0,988.7,10.18,1593.81,274.7,136.73,5770.34,258.31,8044.06,9032.76,12945.09,6.57,131.95,108.04,0.47,952.67,0.18,10.03,10.0,0.0,1.66,0.11
2016-03-31,108.11,118.11,877.26,877.26,995.36,0.0,0.42,38.92,17.9,0.48,57.71,6080.55,383.77,1117.51,0.06,7581.88,8634.96,18.37,0.46,9.53,0.0,28.36,1079.57,0.0,118.08,91.4,1317.41,10.18,1712.76,169.18,55.24,4772.79,597.41,7317.55,8634.96,14447.62,20.5,60.32,108.04,0.0,1079.57,0.17,10.03,10.0,0.0,4.57,0.0
2017-03-31,113.11,113.11,1030.45,1030.45,1143.56,0.0,168.56,37.47,18.7,0.48,225.21,3816.73,226.64,997.01,0.84,5041.22,6409.99,15.08,78.83,0.0,132.18,226.09,1164.45,0.0,96.94,143.34,1630.83,10.24,1472.16,115.28,34.79,2066.85,1079.84,4779.17,6409.99,12208.76,0.0,0.0,108.04,23.54,1140.91,0.21,10.03,0.0,0.0,0.0,0.0
2018-03-31,395.88,395.88,3856.04,4286.44,4682.31,0.0,154.48,536.86,23.33,2.09,716.76,13717.16,1011.22,7721.35,0.61,22450.34,27849.41,805.31,391.52,0.0,315.61,1512.44,1275.69,0.0,1385.24,361.48,4534.85,248.83,16747.86,593.42,179.51,3789.34,1755.6,23314.56,27849.41,8359.66,0.0,0.0,390.81,0.0,1275.69,57.67,191.16,0.0,430.39,0.0,0.0
2019-03-31,395.88,395.88,2794.25,3224.64,3620.52,0.0,485.93,0.0,32.06,26.11,544.1,16496.45,1668.57,13280.93,9.17,31455.13,35619.75,872.01,618.81,6.29,300.24,1797.35,212.33,240.55,2134.8,499.63,4884.66,769.4,27155.09,407.77,262.59,97.35,2042.89,30735.09,35619.75,4259.81,0.0,0.0,390.81,13.72,205.35,85.22,684.18,0.0,430.39,0.0,0.0
2020-03-31,395.88,395.88,3510.94,3941.33,4337.21,0.0,450.92,0.0,186.4,14.46,651.78,16436.69,1673.17,11332.05,5.19,29447.1,34436.09,834.25,463.14,6.29,387.26,1690.93,267.62,21.23,2474.18,546.59,5000.56,790.36,25370.79,730.67,115.66,623.48,1804.56,29435.53,34436.09,4088.72,48.53,10.42,390.81,10.35,260.63,64.1,726.26,0.0,430.39,0.0,0.0
2021-03-31,395.88,395.88,4158.61,4158.61,4554.49,460.44,831.24,0.0,260.49,16.01,1107.74,14480.92,1305.87,14082.04,5.18,29874.01,35996.68,815.33,488.83,6.29,373.87,1684.32,384.22,134.9,2123.84,169.64,4496.92,1298.18,26679.15,627.56,255.59,371.67,2267.61,31499.76,35996.68,4967.74,36.66,12.46,390.81,25.37,377.23,71.92,1226.26,0.0,0.0,0.0,0.0
2022-03-31,481.51,481.51,11713.69,11713.69,12195.2,0.0,2067.7,170.32,248.67,16.56,2503.25,8764.19,1388.72,12721.73,5.38,22880.02,37578.47,829.56,485.82,0.0,360.8,1676.18,279.98,0.0,3248.12,421.57,5625.85,389.61,25679.7,509.34,1020.51,1302.72,3050.74,31952.62,37578.47,1949.19,22.98,3.19,390.81,15.4,272.99,389.61,0.0,0.0,0.0,0.0,0.0
