Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Deferred Tax Assets [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Long Term Borrowings,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2004-03-31,644.31,644.31,3112.36,3112.36,3756.67,670.88,0.0,0.0,1325.27,0.0,143.65,404.23,316.4,864.28,5946.22,3901.61,1.87,791.34,0.0,4694.82,200.0,0.0,0.0,4955.71,0.0,480.48,102.24,98.36,309.43,0.0,990.51,5946.22,421.6,22.68,1722.27,1.27,0.0,0.0,200.0,0.0,104.53,0.0,0.0,23.1,60.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,654.39,0.0,0.0,0.0,0.0,0.0
2005-03-31,644.31,644.31,4053.5,4053.5,4697.81,703.24,0.0,0.0,703.24,0.0,169.38,446.87,190.14,806.39,6207.44,4136.85,2.15,206.61,0.0,4345.61,0.0,0.0,0.0,4396.4,0.0,529.06,92.81,755.21,433.96,0.0,1811.04,6207.44,525.35,13.36,2145.87,1.0,0.0,0.0,0.0,0.0,127.03,0.0,0.0,26.65,50.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,644.31,644.31,5248.36,5248.36,5892.67,689.7,0.0,0.0,689.7,0.0,222.97,384.36,332.82,940.15,7522.52,3941.6,2.91,231.36,0.0,4175.87,0.0,0.0,0.0,4223.84,0.0,591.58,29.42,2193.71,483.17,0.8,3298.68,7522.52,1941.43,34.32,2317.47,0.73,0.0,0.0,0.0,0.0,122.05,0.0,0.0,14.01,47.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,644.31,644.31,7050.91,7050.91,7695.22,682.41,0.0,0.0,682.41,0.0,260.74,611.28,346.59,1218.61,9596.24,3707.77,3.11,840.41,0.0,4551.29,0.0,0.0,0.0,4620.96,0.0,634.96,34.13,3686.53,618.46,1.2,4975.28,9596.24,3176.59,34.11,2575.4,0.8,0.0,0.0,0.0,0.0,168.75,0.0,0.0,133.27,69.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,644.31,644.31,8230.14,8230.14,8874.45,668.45,0.0,0.0,668.45,0.0,324.94,993.37,222.57,1540.88,11083.78,3527.84,3.11,2334.59,0.0,5865.54,115.03,0.0,0.0,6041.59,0.0,686.65,60.65,3516.46,777.57,0.86,5042.19,11083.78,2525.26,17.48,2094.48,0.78,0.0,0.0,115.03,0.0,221.77,0.0,0.0,480.07,61.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,644.31,644.31,9125.5,9125.5,9769.81,697.12,0.0,0.0,697.12,0.0,1148.59,454.81,329.84,1933.24,12400.17,4028.39,3.15,2867.13,0.0,6898.67,895.93,0.0,0.0,7870.37,0.0,841.9,26.5,2869.04,791.37,0.99,4529.8,12400.17,1995.77,27.4,2096.3,1.02,0.0,0.0,895.93,0.0,303.16,0.0,0.0,315.06,75.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,644.31,644.31,9751.27,9751.27,10395.58,784.37,0.0,0.0,784.37,0.0,1445.99,403.96,369.98,2219.93,13399.88,4832.14,4.17,2243.4,0.0,7079.71,986.75,0.0,0.0,8190.24,0.0,944.92,181.78,3152.35,930.59,0.0,5209.64,13399.88,2416.28,39.4,2074.12,0.92,0.0,0.0,0.0,0.0,334.07,0.0,0.0,69.76,123.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,1288.62,1288.62,9875.99,9875.99,11164.61,693.46,56.81,212.79,963.06,14.88,671.47,1960.3,174.58,2821.23,14948.9,5488.69,4.84,1706.82,0.0,7200.35,116.02,791.75,35.7,8143.82,1215.65,1071.0,111.66,3795.23,435.54,176.0,6805.08,14948.9,4175.2,6.94,2055.2,0.54,644.31,116.09,1.02,1244.81,279.96,57.36,0.0,79.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,1288.62,1288.62,10426.46,10426.46,11715.08,849.11,41.41,238.29,1128.81,0.0,693.98,1937.93,44.98,2676.89,15520.78,6498.96,113.39,684.44,0.0,7296.79,1.02,1165.15,35.49,8498.45,753.24,1212.7,138.12,4168.35,515.34,234.58,7022.33,15520.78,4225.26,10.06,2556.93,0.85,644.31,0.0,1.02,776.21,181.37,75.55,0.0,60.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,1288.62,1288.62,10643.83,10643.83,11932.45,903.13,70.82,208.62,1182.57,0.0,503.56,2545.7,162.67,3211.93,16326.95,6523.8,105.09,1001.92,0.0,7630.81,161.04,1422.8,36.49,9251.14,1329.02,1380.64,142.99,3504.38,525.0,193.78,7075.81,16326.95,3255.54,9.38,3376.35,1.15,644.31,160.92,1.04,1410.73,396.56,79.63,0.0,68.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,1288.62,1288.62,10833.83,10833.83,12122.45,910.13,54.96,218.22,1183.31,0.0,531.12,2564.38,147.25,3242.75,16548.51,6688.8,103.14,768.74,0.0,7560.68,1.04,1517.27,43.32,9122.31,1244.0,1173.66,243.57,4048.29,481.38,235.3,7426.2,16548.51,2858.08,8.48,3615.31,1.89,644.31,0.0,1.04,1323.69,201.79,79.1,204.68,29.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,1288.62,1288.62,11508.68,11508.68,12797.3,1105.27,65.3,242.76,1413.33,0.0,455.46,1325.37,186.21,1967.04,16177.67,6509.21,136.21,549.73,0.0,7195.15,1.04,1221.85,47.45,8465.49,950.0,1165.56,120.82,4627.98,607.54,240.28,7712.18,16177.67,2706.96,6.38,3159.48,1.23,644.31,0.0,1.04,1021.06,114.78,76.0,107.89,5.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,1288.62,1288.62,11906.13,11906.13,13194.75,1164.11,68.26,301.12,1533.49,0.0,639.56,1255.24,87.15,1981.95,16710.19,6457.07,138.61,656.3,31.4,7283.38,944.36,107.33,1031.47,9366.54,66.0,1055.01,235.21,5103.15,30.2,854.08,7343.65,16710.19,2864.7,205.41,3008.18,0.0,644.31,943.28,1.08,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,966.46,966.46,9239.33,9239.33,10205.79,1245.58,70.24,328.11,1643.93,51.09,844.46,1639.31,117.07,2651.93,14501.65,7018.63,125.8,514.65,51.35,7710.43,39.55,80.6,1015.28,8845.86,1221.13,1155.93,184.25,2287.23,36.7,770.55,5655.79,14501.65,2649.7,288.8,3277.32,0.0,483.23,0.0,39.55,1221.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,966.46,966.46,9538.35,9538.35,10504.81,1151.45,80.52,436.09,1668.06,44.99,961.74,1058.32,375.88,2440.93,14613.8,7019.38,120.08,825.83,89.39,8054.68,117.61,74.96,752.65,8999.9,592.96,1194.08,258.13,2768.95,29.29,770.49,5613.9,14613.8,2849.1,547.67,3573.75,0.0,483.23,0.0,117.61,592.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,932.81,932.81,9551.7,9551.7,10484.51,1130.67,95.73,530.93,1757.33,66.79,1285.77,1387.05,165.51,2905.12,15146.96,7109.37,176.41,843.91,38.8,8168.49,175.78,74.74,1127.25,9546.26,80.81,1210.01,240.52,3496.35,25.75,547.26,5600.7,15146.96,3788.37,312.95,4647.38,0.0,466.41,0.0,175.78,80.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,932.81,932.81,9055.26,9055.26,9988.07,1060.61,152.12,628.8,1841.53,12.31,772.93,1756.34,178.44,2720.02,14549.62,7174.54,310.23,1177.16,249.54,8911.47,277.25,73.02,730.08,9991.82,55.01,1696.9,140.09,1980.53,40.16,645.11,4557.8,14549.62,3828.15,520.3,3442.97,0.0,466.41,0.0,277.25,55.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,918.32,918.32,9762.38,9762.38,10680.7,893.72,453.02,633.34,1980.08,46.11,939.54,904.69,159.46,2049.8,14710.58,7317.28,343.18,1431.06,144.39,9235.91,313.25,85.95,769.14,10404.25,248.38,1476.32,147.39,1749.78,30.16,654.3,4306.33,14710.58,3553.26,277.84,5060.72,0.0,459.16,0.0,313.25,248.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,918.32,918.32,11636.32,11636.32,12554.64,868.18,494.85,260.98,1624.01,20.67,1457.1,1494.42,126.95,3099.14,17277.79,7001.94,341.27,1763.42,471.4,9578.03,313.25,87.38,814.13,10792.79,64.01,1646.17,75.25,3706.07,32.92,960.58,6485.0,17277.79,6067.88,227.41,6404.24,0.0,459.16,0.0,0.03,64.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,918.32,918.32,12320.14,12320.14,13238.46,957.77,555.99,100.83,1614.59,47.75,1263.34,1427.67,146.89,2885.65,17738.7,6916.39,386.44,2744.95,523.97,10571.75,325.25,82.39,1462.49,12441.88,145.58,1840.22,91.33,2117.5,28.98,1073.21,5296.82,17738.7,6296.99,248.87,4215.69,0.0,459.16,0.0,0.03,145.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,918.32,918.32,13653.34,13653.34,14571.66,841.43,657.26,170.57,1669.26,39.16,1496.25,1468.88,173.39,3177.68,19418.6,7020.24,362.49,3961.49,611.59,11955.81,352.25,79.4,899.66,13287.12,172.91,1829.72,153.5,2575.15,28.05,1372.15,6131.48,19418.6,4664.04,270.47,4183.13,0.0,459.16,0.0,0.03,172.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
