Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,1670.06,22.76,1692.82,264.23,35.09,585.22,289.49,123.11,0.0,336.13,59.55,112.68,172.23,0.21,172.02,0.0,172.02,53.08,118.94,0.0,118.94,1288.62,0.46,0.46,33.12,12.85,224.6,100.0,87.15
2013-03-31,1867.27,0.0,1867.27,296.01,9.08,488.93,285.43,136.05,0.0,366.18,285.59,118.97,404.56,0.0,404.56,0.0,404.56,158.53,246.03,0.0,246.03,1288.62,0.95,0.95,48.82,18.94,208.91,100.0,81.06
2013-06-30,1536.54,24.01,1560.55,273.6,-55.11,506.2,321.46,124.47,0.0,361.37,28.56,178.71,207.27,0.0,207.27,0.0,207.27,47.57,159.7,0.0,159.7,1288.62,0.62,0.62,48.82,18.94,208.91,100.0,81.06
2013-09-30,1710.09,28.14,1738.23,260.26,38.98,513.15,322.78,128.57,0.0,335.43,139.06,122.84,261.9,0.0,261.9,0.0,261.9,79.07,182.83,-3.66,179.17,1288.62,0.7,0.7,48.82,18.94,208.91,100.0,81.06
2013-12-31,1620.96,22.91,1643.87,240.87,10.49,519.84,302.48,130.75,0.0,365.88,73.56,120.77,194.33,0.0,194.33,0.0,194.33,63.3,131.03,0.0,131.03,1288.62,0.51,0.51,48.82,18.94,208.91,100.0,81.06
2014-03-31,1781.21,56.99,1838.2,288.43,64.19,478.46,298.61,140.94,0.0,399.28,168.29,135.39,303.68,0.0,303.68,-49.37,254.31,81.86,172.45,0.0,172.45,1288.62,0.67,0.67,48.82,18.94,208.91,100.0,81.06
2014-06-30,1651.29,28.75,1680.04,249.24,-24.78,445.55,345.88,95.51,0.0,387.68,180.96,190.38,371.34,0.0,371.34,0.0,371.34,100.35,270.99,0.0,270.99,1288.62,1.05,1.05,48.15,19.07,208.58,100.0,80.93
2014-09-30,1955.34,40.18,1995.52,277.67,12.44,479.43,355.92,103.76,0.0,395.76,370.54,168.61,539.15,0.0,539.15,0.0,539.15,197.63,341.52,0.0,341.52,1288.62,1.33,1.33,48.15,19.07,208.58,100.0,80.93
2014-12-31,1876.81,29.19,1906.0,251.34,-22.87,447.17,339.21,116.5,0.0,363.94,410.71,151.61,562.32,0.0,562.32,0.0,562.32,207.85,354.47,0.0,354.47,1288.62,1.38,1.38,49.15,19.07,208.58,100.0,80.93
2015-03-31,1778.46,22.79,1801.25,253.34,38.11,430.09,336.9,97.89,0.0,314.79,330.13,162.06,492.19,0.0,492.19,148.42,640.61,285.74,354.87,0.0,354.87,1288.62,1.38,1.38,49.15,19.07,208.58,100.0,80.93
2015-06-30,1470.1,21.17,1491.27,215.47,-87.05,425.26,354.3,99.48,0.0,354.17,129.64,138.21,267.85,1.71,266.14,0.0,266.14,91.82,174.32,0.0,174.32,1288.62,0.68,0.68,49.15,19.07,208.58,100.0,80.93
2015-09-30,1892.88,34.71,1927.59,297.67,-51.79,492.9,347.47,108.53,0.0,492.64,240.17,148.31,388.48,0.51,387.97,0.0,387.97,137.12,250.85,0.0,250.85,1288.62,0.97,0.97,0.0,0.0,0.0,0.0,0.0
