Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-09-30,158.57,1.8,160.38,126.06,0.31,5.33,11.99,3.04,0.0,9.71,3.93,0.68,4.61,2.56,2.05,2.05,0.4,1.65,1.65,19.79,0.17,0.17,3.19,32.27,6.69,99.84,67.62
2012-12-31,169.33,1.66,170.99,131.11,3.57,1.57,12.47,3.47,0.0,14.23,4.57,1.01,5.59,2.91,2.67,2.67,1.22,1.45,1.45,19.79,0.15,0.15,3.19,32.27,6.69,99.84,67.62
2013-03-31,169.06,1.84,170.9,139.0,0.27,-2.46,13.54,3.68,0.0,12.06,4.81,2.73,7.54,2.65,4.89,4.89,1.78,3.1,3.1,19.79,0.31,0.31,3.16,31.96,6.72,99.84,67.93
2013-06-30,140.14,1.48,141.62,108.02,0.34,2.8,9.8,3.63,0.0,14.81,2.24,1.11,3.34,2.03,1.31,1.31,0.27,1.04,1.04,19.79,0.1,0.1,3.16,31.9,6.73,99.84,67.99
2013-09-30,142.83,0.89,143.72,115.74,0.22,-3.12,11.84,3.78,0.0,13.56,1.7,1.09,2.79,2.0,0.79,0.79,0.26,0.53,0.53,19.79,0.05,0.05,3.16,31.9,6.73,99.84,67.99
2013-12-31,156.4,1.54,157.95,123.06,0.22,2.11,12.19,3.92,0.0,13.42,3.03,1.23,4.26,3.17,1.09,1.09,0.3,0.8,0.8,19.79,0.08,0.08,3.15,31.89,6.73,99.84,68.0
2014-03-31,169.5,2.15,171.65,164.6,0.36,-22.15,12.63,3.95,0.0,10.34,1.91,3.23,5.14,3.22,1.92,1.92,0.27,1.66,1.66,19.79,0.17,0.17,3.14,31.76,6.74,99.84,68.13
2014-06-30,130.05,1.7,131.76,107.34,0.25,-2.18,10.63,2.56,0.0,9.78,3.38,1.15,4.53,3.0,1.54,1.54,0.63,0.91,0.91,19.79,0.09,0.09,3.14,31.75,6.74,99.84,68.14
2014-09-30,149.09,2.21,151.3,109.88,0.44,10.41,12.03,2.31,0.0,11.95,4.29,1.13,5.42,3.38,2.04,2.04,0.72,1.32,1.32,19.79,0.13,0.13,3.14,31.75,6.74,99.85,68.14
2014-12-31,144.72,2.37,147.09,114.55,0.7,2.35,12.49,2.33,0.0,15.92,-1.25,7.55,6.3,3.53,2.77,2.77,0.17,2.6,2.6,19.79,0.26,0.26,3.14,31.75,6.74,99.85,68.15
2015-03-31,164.09,3.42,167.51,134.74,2.76,-1.16,11.99,2.37,1.0,10.85,4.96,1.36,6.32,3.1,3.22,3.22,1.3,1.92,1.92,19.79,0.19,0.19,3.14,31.75,6.74,99.85,68.15
2015-06-30,133.56,4.06,137.61,106.31,0.67,-0.28,11.78,2.61,0.0,12.39,4.14,0.85,4.99,3.09,1.9,1.9,0.81,1.09,1.09,19.79,0.11,0.11,3.14,31.76,6.74,99.85,68.14
2015-09-30,149.28,4.12,153.41,116.82,0.79,2.78,12.9,2.59,0.75,13.61,3.18,2.59,5.78,3.54,2.24,2.24,0.55,1.68,1.68,19.79,0.17,0.17,3.16,31.91,6.73,99.85,67.99
2015-12-31,152.58,4.43,157.01,134.12,0.77,-12.49,14.71,2.7,0.75,13.78,2.67,3.59,6.27,3.77,2.5,2.5,0.81,1.69,1.69,19.79,0.17,0.17,3.16,31.91,6.73,99.85,67.99
2016-03-31,178.47,10.8,189.27,132.7,0.82,11.26,16.09,3.45,0.75,14.6,9.61,2.43,12.05,3.61,8.43,8.43,4.08,4.35,4.35,23.49,0.36,0.36,0.0,0.0,0.0,0.0,0.0
2016-06-30,148.85,5.08,153.93,129.16,0.89,-12.61,13.28,3.04,0.0,13.99,6.19,0.88,7.07,3.05,4.01,4.01,1.01,3.0,3.0,23.46,0.2,0.2,0.0,0.0,0.0,0.0,0.0
2016-09-30,174.38,5.09,179.46,130.83,0.51,8.38,14.53,3.15,0.0,14.75,7.31,1.66,8.97,3.45,5.53,5.53,1.09,4.44,4.44,23.46,0.33,0.33,0.0,0.0,0.0,0.0,0.0
2016-12-31,182.45,5.32,187.78,147.75,0.84,-3.47,15.92,3.21,0.0,15.5,8.03,1.11,9.14,3.11,6.03,6.03,1.21,4.83,4.83,23.46,0.36,0.36,0.0,0.0,0.0,0.0,0.0
