Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2017-03-31,223.8,6.26,230.06,182.26,1.21,3.47,14.93,3.15,0.0,15.4,9.65,2.81,12.46,3.44,9.02,9.02,1.65,7.37,7.37,23.46,0.54,0.54,0.0,0.0,0.0,0.0,0.0
2017-06-30,188.96,0.0,188.96,141.65,1.97,4.76,15.28,3.01,0.0,15.91,6.39,1.69,8.08,3.38,4.71,4.71,0.94,3.77,3.77,23.46,0.32,0.32,0.0,0.0,0.0,0.0,0.0
2017-09-30,250.99,0.0,250.99,211.96,1.12,-12.11,17.42,3.03,0.0,15.26,14.32,2.14,16.46,3.41,13.04,13.04,2.05,11.0,11.0,23.46,0.94,0.94,0.0,0.0,0.0,0.0,0.0
2017-12-31,279.07,0.0,279.07,213.66,0.53,1.47,17.12,3.04,0.0,19.22,24.04,1.65,25.69,3.29,22.41,22.41,5.99,16.41,16.41,23.46,1.4,1.4,0.0,0.0,0.0,0.0,0.0
2018-03-31,367.46,0.0,367.46,279.81,0.27,3.22,17.79,2.85,0.0,28.07,35.45,2.46,37.91,3.45,34.46,34.46,13.0,21.46,21.46,23.46,1.83,1.83,0.0,0.0,0.0,0.0,0.0
2018-06-30,336.23,0.0,336.23,274.98,2.33,-5.43,17.35,2.89,0.0,20.18,23.93,1.93,25.86,2.74,23.13,23.13,6.47,16.65,16.65,23.46,1.42,1.42,0.0,0.0,0.0,0.0,0.0
2018-09-30,343.96,0.0,343.96,278.14,6.74,-7.77,19.09,2.93,0.0,26.5,18.34,3.46,21.79,3.18,18.61,18.61,6.21,12.41,12.41,23.46,1.06,1.06,0.0,0.0,0.0,0.0,0.0
2018-12-31,362.64,0.0,362.64,280.91,0.4,15.51,18.37,2.96,0.0,21.47,23.02,2.52,25.54,3.74,21.79,21.79,6.92,14.87,14.87,23.46,1.27,1.27,0.0,0.0,0.0,0.0,0.0
2019-03-31,299.65,0.0,299.65,282.38,5.63,-49.32,20.23,2.97,0.0,16.88,20.88,1.8,22.67,1.86,20.81,20.81,8.58,12.23,12.23,23.46,1.04,1.04,0.0,0.0,0.0,0.0,0.0
2019-06-30,293.36,0.0,293.36,243.33,10.86,-21.98,19.37,3.02,0.0,19.97,18.79,1.9,20.7,3.03,17.67,17.67,5.75,11.92,11.92,23.25,1.03,1.03,0.0,0.0,0.0,0.0,0.0
2019-09-30,268.11,0.0,268.11,208.3,3.86,-6.54,20.96,3.06,0.0,21.31,17.17,1.76,18.94,3.36,15.58,15.58,1.24,14.33,14.33,23.08,1.24,1.24,0.0,0.0,0.0,0.0,0.0
2019-12-31,289.26,0.0,289.26,219.75,1.43,0.62,22.01,3.22,0.0,23.06,19.18,1.7,20.88,4.19,16.69,16.69,4.07,12.61,12.61,22.7,1.11,1.11,0.0,0.0,0.0,0.0,0.0
2020-03-31,305.46,0.0,305.46,237.99,0.2,-3.59,23.28,3.72,0.0,20.18,23.68,-1.33,22.35,4.08,18.27,18.27,4.49,13.77,13.77,22.7,1.21,1.21,0.0,0.0,0.0,0.0,0.0
2020-06-30,100.92,0.0,100.92,71.54,0.03,6.66,14.85,3.43,0.0,7.87,-3.47,2.44,-1.02,3.28,-4.31,-4.31,-0.09,-4.22,-4.22,22.7,-0.37,-0.37,0.0,0.0,0.0,0.0,0.0
2020-09-30,268.28,0.0,268.28,227.16,2.68,-19.3,17.92,3.52,0.0,15.58,20.73,1.8,22.53,3.49,19.05,19.05,4.45,14.59,14.59,22.7,1.29,1.29,0.0,0.0,0.0,0.0,0.0
2020-12-31,400.44,0.0,400.44,303.76,2.62,4.5,20.32,3.5,0.0,24.06,41.68,3.48,45.16,2.48,42.68,42.68,11.74,30.95,30.95,22.7,2.73,2.73,0.0,0.0,0.0,0.0,0.0
2021-03-31,457.37,0.0,457.37,380.58,0.73,-19.07,19.01,3.5,0.0,26.16,46.47,7.58,54.04,2.99,51.06,51.06,12.22,38.84,38.84,22.7,3.42,3.42,0.0,0.0,0.0,0.0,0.0
2021-06-30,321.5,0.0,321.5,248.52,0.48,7.4,19.09,3.65,0.0,15.79,26.58,2.37,28.95,2.71,26.24,26.24,6.92,19.31,19.31,22.7,1.7,1.7,0.0,0.0,0.0,0.0,0.0
2021-09-30,360.9,0.0,360.9,295.65,0.7,-13.3,20.11,3.77,0.0,22.97,31.01,2.24,33.26,3.32,29.94,29.94,6.9,23.03,23.03,23.82,2.02,2.02,0.0,0.0,0.0,0.0,0.0
2021-12-31,436.58,0.0,436.58,353.0,0.59,-5.24,24.68,3.95,0.0,24.1,35.5,5.01,40.5,3.44,37.06,37.06,9.51,27.54,27.54,23.82,2.31,2.31,0.0,0.0,0.0,0.0,0.0
2022-03-31,511.36,0.0,511.36,429.48,0.74,-10.13,20.58,3.91,0.0,22.82,43.95,5.41,49.36,4.25,45.11,45.11,9.09,36.02,36.02,23.82,3.02,3.02,0.0,0.0,0.0,0.0,0.0
2022-06-30,498.57,0.0,498.57,404.67,0.0,2.82,22.29,4.58,0.0,25.35,38.87,2.78,41.65,2.14,39.51,39.51,10.67,28.85,28.85,23.82,2.42,2.42,0.0,0.0,0.0,0.0,0.0
2022-09-30,491.33,0.0,491.33,358.63,0.0,-3.13,23.47,3.88,0.0,66.98,41.5,7.18,48.68,2.13,46.55,46.55,10.89,35.66,35.66,23.82,2.99,2.99,0.0,0.0,0.0,0.0,0.0
2022-12-31,555.3,0.0,555.3,409.53,0.0,-15.27,26.45,4.29,0.0,71.95,58.35,5.03,63.38,3.11,60.27,60.27,15.56,44.71,44.71,23.82,3.75,3.75,0.0,0.0,0.0,0.0,0.0
2023-03-31,612.79,0.0,612.79,448.09,0.0,-28.29,26.22,4.91,0.0,93.42,68.44,7.76,76.2,3.37,72.83,72.83,20.84,51.99,51.99,23.82,4.37,4.37,0.0,0.0,0.0,0.0,0.0
2023-06-30,650.29,0.0,650.29,488.23,0.0,-36.98,26.15,5.12,0.0,91.45,76.32,16.05,92.37,3.14,89.23,89.23,21.97,67.26,67.26,23.82,5.65,5.65,0.0,0.0,0.0,0.0,0.0
2023-09-30,672.31,0.0,672.31,530.59,0.0,-57.7,29.08,5.35,0.0,81.22,83.77,16.62,100.39,3.8,96.59,96.59,22.88,73.71,73.71,23.82,6.19,6.19,0.0,0.0,0.0,0.0,0.0
2023-12-31,753.15,0.0,753.15,543.5,0.0,-16.92,33.38,5.8,0.0,90.2,97.19,22.9,120.09,5.51,114.58,114.58,26.06,88.52,88.52,23.82,7.43,7.43,0.0,0.0,0.0,0.0,0.0
2024-03-31,835.79,0.0,835.79,510.99,0.0,61.88,30.27,6.62,-0.1,103.23,122.9,20.62,143.52,10.69,132.83,132.83,34.68,98.15,98.15,23.82,8.25,8.25,0.0,0.0,0.0,0.0,0.0
2024-06-30,733.63,0.0,733.63,546.8,0.0,-32.41,31.09,6.75,0.17,89.84,91.39,27.36,118.75,7.33,111.42,111.42,27.71,83.71,83.71,23.82,7.03,7.03,0.0,0.0,0.0,0.0,0.0
2024-09-30,754.34,0.0,754.34,496.07,0.0,25.43,32.82,6.9,0.1,91.87,101.15,34.14,135.29,9.03,126.26,126.26,31.89,94.37,94.37,23.82,7.93,7.93,0.0,0.0,0.0,0.0,0.0
2024-12-31,873.1,0.0,873.1,538.08,0.0,49.35,36.81,7.08,4.27,114.05,123.46,29.84,153.3,8.37,144.93,144.93,37.78,107.15,107.15,23.82,9.01,9.0,0.0,0.0,0.0,0.0,0.0
