Date,Net Sales/Income from operations,Total Income From Operations,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS
2019-06-30,165.3,165.3,97.02,5.01,43.15,20.12,2.65,22.77,2.48,20.29,0.0,20.29,0.0,20.29,20.29,6.04,0.0,6.72,0.0
2019-09-30,175.06,175.06,108.44,5.02,38.5,23.1,5.45,28.55,1.81,26.74,0.0,26.74,0.0,26.74,26.74,6.04,-26.04,8.85,2.01
2019-12-31,171.5,171.5,111.59,5.09,35.73,19.09,4.06,23.15,1.64,21.51,0.0,21.51,0.0,21.51,21.51,6.17,0.0,6.97,1.61
2020-03-31,186.35,186.35,124.18,5.11,40.77,16.29,3.82,20.11,2.06,18.05,-11.26,6.79,1.9,4.89,4.89,8.79,220.48,1.11,0.0
2020-06-30,177.02,177.02,108.28,5.13,31.48,32.13,9.17,41.3,1.86,39.44,0.0,39.44,-9.34,48.78,48.78,20.44,298.57,4.77,3.62
2020-09-30,182.84,182.84,110.89,5.12,27.63,39.2,5.07,44.27,1.6,42.67,0.0,42.67,8.59,34.08,34.08,28.24,435.56,2.51,2.42
2020-12-31,192.84,192.84,110.29,5.16,31.31,46.08,8.45,54.53,1.26,53.27,0.0,53.27,11.12,42.15,42.15,28.31,0.0,2.98,2.89
2021-03-31,208.26,208.26,120.66,5.22,32.55,49.83,3.01,52.84,2.2,50.64,0.0,50.64,13.72,36.92,36.92,28.37,0.0,2.61,2.54
2021-06-30,230.41,230.41,137.28,5.09,39.41,48.63,9.27,57.9,1.63,56.27,-6.09,50.18,15.17,35.01,35.01,28.42,0.0,2.46,2.4
2021-09-30,250.43,250.43,151.14,6.19,40.49,52.61,9.59,62.2,2.42,59.78,0.0,59.78,15.3,44.48,44.48,28.46,0.0,3.12,3.06
2021-12-31,265.88,265.88,158.76,6.3,46.8,54.02,8.43,62.45,2.4,60.05,0.0,60.05,15.27,44.78,44.78,28.54,0.0,3.14,3.09
2022-03-31,286.82,286.82,164.92,6.65,48.71,66.54,10.42,76.96,2.21,74.75,6.09,80.84,18.63,62.21,62.21,28.54,0.0,4.38,4.28
2022-06-30,307.81,307.81,176.91,7.1,55.29,68.51,4.12,72.63,2.37,70.26,0.0,70.26,17.72,52.54,52.54,28.58,0.0,3.69,3.62
2022-09-30,337.65,337.65,197.19,7.39,57.08,75.99,4.11,80.1,4.51,75.59,0.0,75.59,20.28,55.31,55.31,28.61,0.0,3.86,3.81
2022-12-31,344.76,344.76,207.4,7.52,58.76,71.08,8.18,79.26,6.01,73.25,0.0,73.25,15.98,57.27,57.27,29.37,0.0,4.0,3.96
2023-03-31,342.33,342.33,205.4,7.95,56.5,72.48,8.71,81.19,8.61,72.58,0.0,72.58,21.32,51.26,51.26,28.66,0.0,3.56,3.54
2023-06-30,357.05,357.05,218.99,7.55,56.75,73.76,13.93,87.69,10.11,77.58,0.0,77.58,20.14,57.44,57.44,28.72,0.0,3.98,3.96
2023-09-30,370.01,370.01,238.76,8.68,59.48,63.09,22.27,85.36,11.19,74.17,0.0,74.17,19.64,54.53,54.53,29.8,0.0,3.66,3.64
2023-12-31,370.58,370.58,244.24,8.94,58.12,59.28,49.59,108.87,10.64,98.23,1.07,99.3,19.47,79.83,79.83,29.81,0.0,5.32,5.3
2024-03-31,375.24,375.24,245.73,9.13,61.97,58.41,25.47,83.88,10.33,73.55,0.36,73.91,19.98,53.93,53.93,29.87,0.0,3.59,3.59
2024-06-30,372.4,372.4,248.8,9.06,63.14,51.4,26.15,77.55,17.73,59.82,0.0,59.82,15.98,43.84,43.84,29.91,0.0,2.91,2.91
2024-09-30,374.65,374.65,253.9,9.37,60.62,50.76,26.41,77.17,24.93,52.24,0.0,52.24,13.98,38.26,38.26,29.95,0.0,2.54,2.54
2024-12-31,373.23,373.23,260.41,9.52,61.57,41.73,22.02,63.75,24.47,39.28,0.0,39.28,10.58,28.7,28.7,29.99,0.0,1.91,1.91
2025-03-31,361.09,361.09,254.83,9.24,80.09,16.93,92.99,109.92,24.55,85.37,-23.44,61.93,4.17,57.76,57.76,30.01,0.0,3.84,3.84
