Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Employees Cost,Depreciation,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS
2022-06-30,96.25,96.25,0.0,0.42,13.08,4.63,0.0,94.24,-16.12,29.38,13.27,32.33,-19.06,-19.06,-4.75,-14.31,-14.31,11.38,-1.26,-1.26
2022-09-30,142.2,142.2,119.86,0.46,18.24,4.93,0.0,53.14,-54.43,18.6,-35.82,33.82,-69.64,-69.64,-18.39,-51.26,-51.26,11.38,-4.5,-4.5
2022-12-31,138.92,138.92,119.2,0.13,18.14,5.26,0.0,16.68,-20.49,19.02,-1.47,30.75,-32.22,-32.22,15.01,-47.23,-47.23,12.49,-4.02,-4.02
2023-03-31,484.71,484.71,0.0,-0.13,21.88,5.35,0.0,428.74,28.88,11.51,40.39,21.23,19.16,19.16,18.89,0.27,0.27,12.49,0.02,0.02
2023-06-30,174.22,174.22,0.0,0.02,20.49,4.35,0.0,148.36,1.01,19.87,20.88,16.94,3.93,3.93,1.12,2.82,2.82,12.49,0.23,0.23
2023-09-30,196.72,196.72,168.76,0.01,17.9,4.58,0.0,17.63,-12.16,24.05,11.9,23.93,-12.03,-12.03,-1.07,-10.96,-10.96,14.05,-0.88,-0.88
2023-12-31,216.54,216.54,174.4,0.06,23.8,4.89,0.0,13.37,0.01,35.8,35.82,14.31,21.51,21.51,0.02,21.49,21.49,14.05,1.53,1.53
2024-03-31,260.61,260.61,0.0,0.13,28.0,5.38,4.22,238.81,-15.93,33.6,17.67,19.31,-1.65,-1.65,-10.46,8.81,8.81,14.05,0.63,0.63
2024-06-30,221.53,221.53,0.0,0.13,23.19,4.61,0.68,208.69,-15.77,35.32,19.55,32.93,-13.38,-13.38,0.0,-13.38,-13.38,14.05,-0.95,-0.95
2024-09-30,453.41,453.41,394.48,0.08,28.35,5.22,0.0,35.89,-10.61,37.77,27.16,41.72,-14.57,-14.57,-10.55,-4.02,-4.02,14.05,-0.29,-0.29
2024-12-31,658.35,658.35,516.98,0.03,41.63,5.49,0.0,64.5,29.72,41.92,71.64,43.89,27.75,27.75,-0.02,27.77,27.77,14.05,1.98,1.98
2025-03-31,491.96,491.96,0.0,0.21,42.81,5.59,3.16,386.77,53.43,47.95,101.38,38.9,62.48,62.48,10.32,52.16,52.16,14.05,3.71,3.71
