Date,Equity Share Capital,Total Share Capital,Revaluation Reserves,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Government/Other Grants,Preference Share Capital,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2004-03-31,50.0,50.0,1.59,490.04,491.63,541.63,0.0,19.68,0.0,0.0,19.68,47.22,97.6,15.63,14.28,174.73,753.51,144.11,0.0,54.31,0.0,0.0,198.42,8.93,2.01,0.0,0.0,209.36,0.0,83.95,115.96,317.51,26.72,0.0,544.15,753.51,131.91,9.65,0.0,299.98,0.59,43.47,0.0,8.93,0.0,194.97,0.0,0.0,16.2,17.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,50.0,50.0,1.43,644.51,645.94,695.94,0.0,23.78,0.0,0.0,23.78,49.33,181.87,16.05,30.29,277.54,1024.26,204.83,0.0,310.0,0.0,0.0,514.83,223.73,1.82,0.0,0.0,740.38,0.0,71.29,172.88,3.42,36.28,0.0,283.88,1024.26,125.88,13.29,3.29,376.15,1.89,43.47,0.2,28.67,0.0,224.53,0.0,0.0,57.11,27.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,50.0,50.0,1.27,751.77,753.04,803.04,0.14,27.97,0.0,0.0,28.11,67.75,98.45,83.44,39.91,289.55,1157.86,227.81,0.0,456.43,0.0,0.0,684.24,139.06,0.0,0.0,0.0,823.3,0.0,105.31,206.04,2.0,21.21,0.0,334.56,1157.86,70.49,11.51,5.21,357.72,1.23,43.47,0.0,139.06,0.0,248.41,0.0,0.0,34.91,37.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,50.0,50.0,1.11,890.53,891.64,941.64,0.28,39.76,0.0,0.0,40.04,58.73,110.58,65.36,40.5,275.18,1304.61,664.99,51.2,29.9,0.0,0.0,746.09,78.6,0.0,0.0,0.0,824.69,0.0,150.66,274.85,7.63,46.78,0.0,479.92,1304.61,144.98,25.08,5.36,448.92,31.11,43.47,0.0,66.81,0.0,239.06,0.0,0.0,18.81,47.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,50.0,50.0,0.95,1277.25,1278.2,1328.2,0.32,39.82,0.0,0.0,40.14,89.26,103.04,63.31,68.17,323.78,1746.42,651.86,27.6,64.63,0.0,0.0,744.09,477.26,0.0,0.0,0.0,1221.35,0.0,167.74,225.66,8.12,123.55,0.0,525.07,1746.42,146.17,37.3,6.42,477.63,44.99,43.47,144.71,468.2,0.0,253.9,0.0,0.0,30.09,54.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,100.0,100.0,0.95,1273.93,1274.88,1374.88,1.33,45.09,0.0,0.0,46.42,101.46,121.83,97.87,76.0,397.15,1879.6,675.28,38.89,37.69,0.0,0.0,751.86,346.69,4.05,0.0,0.0,1102.59,0.0,194.52,310.17,6.04,266.27,0.0,777.01,1879.6,173.88,34.9,10.57,462.88,8.9,93.47,288.86,334.54,0.0,266.91,0.0,0.0,23.9,61.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,100.0,100.0,0.95,1465.34,1466.29,1566.29,66.16,45.3,0.0,0.0,111.46,125.64,159.7,221.93,83.25,590.52,2268.26,659.99,18.41,58.33,0.0,0.0,736.73,418.64,4.26,0.0,0.0,1159.63,0.0,244.8,383.64,77.12,403.07,0.0,1108.64,2268.26,261.74,38.0,12.59,482.87,22.84,93.47,156.71,406.43,0.0,388.05,0.0,0.0,20.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,100.0,100.0,0.9,1845.9,1846.8,1946.8,65.8,39.6,69.5,0.0,174.9,96.3,199.7,57.1,128.7,481.8,2603.5,666.2,13.4,102.7,0.0,0.0,782.3,92.0,0.0,416.2,0.0,1290.5,393.9,274.7,418.1,210.3,16.0,0.0,1313.0,2603.5,201.9,33.7,14.5,524.4,169.1,93.47,153.8,66.0,393.9,382.2,3.0,4.5,50.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,100.0,100.0,0.9,1995.5,1996.4,2096.4,60.5,34.9,64.9,0.0,160.3,86.8,251.1,76.9,148.8,563.6,2820.3,675.7,9.3,82.5,0.0,0.0,767.5,166.4,0.0,534.3,0.0,1468.2,490.6,340.4,445.0,40.0,30.2,5.9,1352.1,2820.3,285.4,77.6,19.2,666.1,11.2,93.47,97.8,137.1,490.6,383.3,4.4,19.3,41.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,100.0,100.0,0.9,2105.9,2106.8,2206.8,40.0,30.2,108.3,0.0,178.5,77.3,265.0,67.9,217.7,627.9,3013.2,845.5,5.9,51.2,0.0,0.0,902.6,166.0,0.0,471.3,0.0,1539.9,453.0,358.9,427.0,179.2,51.0,4.2,1473.3,3013.2,476.4,54.2,21.3,944.9,45.6,93.47,117.6,123.2,453.0,491.7,4.9,17.7,16.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
