Date,Equity Share Capital,Total Share Capital,Revaluation Reserve,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total ShareHolders Funds,Deposits,Borrowings,Other Liabilities and Provisions,Total Capital and Liabilities,Cash and Balances with Reserve Bank of India,Balances with Banks Money at Call and Short Notice,Investments,Advances,Fixed Assets,Other Assets,Total Assets,Number of Branches,Number of Employees,Capital Adequacy Ratios (%),Tier 1 (%),Tier 2 (%),Gross NPA,Gross NPA (%),Net NPA,Net NPA (%),Net NPA To Advances (%),Bills for Collection,Contingent Liabilities,Money Against Share Warrants,Preference Share Capital,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense
2011-03-31,465.97,465.97,225.35,3350.92,3576.27,7.98,4050.21,34365.37,5525.42,1694.83,45635.84,2456.04,1568.56,13550.81,26165.65,596.46,1298.32,45635.84,300.0,7008.0,15.89,12.29,3.6,265.86,1.0,72.82,0.28,0.0,5052.48,87608.63,0.0,0.0,0.0,0.0,0.0
2012-03-31,467.7,467.7,219.34,4043.72,4263.06,10.95,4741.71,42361.55,8682.01,1810.8,57596.07,2903.58,2636.05,14571.95,35063.95,656.8,1763.75,57596.07,400.0,9370.0,13.85,11.37,2.48,347.08,1.0,94.67,0.27,0.0,6151.0,109341.28,0.0,0.0,0.0,0.0,0.0
2013-03-31,522.87,522.87,212.69,6883.98,7096.67,10.71,7630.25,54116.72,9459.56,2099.99,73306.52,3249.84,3598.89,19654.17,44320.61,756.14,1726.87,73306.52,500.0,11502.0,15.36,13.78,1.58,457.78,1.0,136.76,0.31,0.0,6337.51,141240.4,0.0,0.0,0.0,0.0,0.0
2014-03-31,525.64,525.64,397.27,8109.03,8506.3,11.02,9042.96,60502.29,14761.96,2718.73,87025.93,4413.92,2355.53,21562.95,55101.84,1016.45,2575.25,87025.93,602.0,15590.0,14.0,13.0,1.0,620.79,1.0,184.05,0.0,0.0,10657.84,142921.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,529.45,529.45,391.01,9710.02,10101.03,14.05,10644.53,74134.36,20618.06,3718.96,109115.92,4035.14,6744.0,24859.37,68788.2,1157.58,3531.63,109115.92,801.0,19121.0,12.09,11.22,0.87,562.92,1.0,210.48,0.31,0.0,6728.92,215702.02,0.0,0.0,0.0,0.0,0.0
2016-03-31,594.99,594.99,380.77,16706.45,17087.22,13.77,17695.98,93000.35,22155.86,7204.81,140056.99,4521.04,5590.83,31214.31,88419.34,1255.32,9056.14,140056.99,1000.0,23060.0,15.5,14.92,0.58,776.82,1.0,321.75,0.36,0.0,20272.94,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,598.15,598.15,374.59,19658.18,20032.77,15.2,20646.12,126572.22,22453.69,8976.38,178648.41,7748.75,10879.51,36702.14,113080.51,1335.23,8902.28,178648.41,1200.0,25314.0,15.0,15.0,1.0,1054.87,1.0,438.9,0.0,0.0,19006.91,406387.19,0.0,0.0,0.0,0.0,0.0
2018-03-31,600.22,600.22,362.2,22864.65,23226.85,14.57,23841.64,151639.17,38289.08,7856.27,221626.16,10962.41,2253.47,50076.72,144953.66,1338.75,12041.16,221626.16,1400.0,25284.0,15.03,14.58,0.45,1704.91,1.0,745.67,0.51,1.0,37415.48,662099.16,0.0,0.0,0.0,0.0,0.0
2019-03-31,602.69,602.69,0.0,26072.1,26072.1,11.19,26685.98,194867.91,47321.12,8944.41,277819.42,9961.17,4822.23,59266.16,186393.5,1710.01,15666.35,277819.42,0.0,0.0,14.0,0.0,0.0,3947.41,2.0,2248.28,1.21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,693.54,693.54,0.0,33329.66,33329.66,9.48,34706.5,202039.81,60753.55,9557.69,307057.55,13675.26,2328.4,59979.94,206783.17,1820.11,22470.67,307057.55,0.0,0.0,15.0,0.0,0.0,5146.74,2.0,1886.58,0.91,2.0,0.0,0.0,673.82,0.0,0.0,0.0,0.0
2021-03-31,773.37,773.37,0.0,42592.04,42592.04,0.0,43365.41,256204.96,51322.81,12079.57,362972.75,17870.68,38456.51,69694.71,212595.41,1809.37,22546.07,362972.75,0.0,0.0,17.38,0.0,0.0,5794.99,3.0,1476.57,0.69,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,774.66,774.66,307.63,46598.86,46906.49,16.07,47697.23,293681.35,47323.22,13272.79,401974.58,15641.16,52633.33,70970.78,239051.53,1848.69,21829.09,401974.58,2265.0,33582.0,18.42,15.96,1.62,5517.15,2.27,1529.83,0.64,0.64,29654.25,923779.75,0.0,0.0,0.0,0.0,0.0
2023-03-31,820.22,820.22,0.0,53801.45,53801.45,0.0,54621.67,336438.14,49011.23,17733.01,457804.05,42961.27,13549.88,83116.2,289923.68,1992.62,26260.4,457804.05,0.0,0.0,17.86,0.0,0.0,5826.27,2.0,1714.96,0.59,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,778.32,778.32,295.69,61619.58,61915.27,103.52,62797.11,384792.92,47611.41,19733.71,514935.14,18557.13,18244.48,106526.71,343298.27,2197.75,26110.81,514935.14,2984.0,45637.0,17.23,15.82,1.41,6693.38,1.92,1968.9,0.57,0.57,36152.27,1638924.6,0.0,0.0,0.0,0.0,0.0
