Date,(a) Int. /Disc. on Adv/Bills,(b) Income on Investment,(c) Int. on balances With RBI,(d) Others,Other Income,Interest Expended,Employees Cost,Other Expenses,Operating Profit before Provisions and contingencies,Provisions And Contingencies,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,b) Capital Adequacy Ratio - Basel -I,c) Capital Adequacy Ratio - Basel -II,Basic EPS,Diluted EPS,i) Gross NPA,ii) Net NPA,i) % of Gross NPA,ii) % of Net NPA,Return on Assets %,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,1454.81,324.56,21.09,0.03,355.8,1222.69,168.48,292.96,472.16,78.68,393.48,126.21,267.27,267.27,522.25,0.0,15.01,0.0,5.51,5.4,421.62,125.24,0.99,0.3,1.6,44.22,84.7,7.99,100.0,15.3
2013-03-31,1461.5,331.3,29.75,0.22,367.89,1161.54,178.37,307.3,543.45,81.85,461.6,154.2,307.4,307.4,522.87,0.0,0.0,15.36,5.89,5.78,457.78,136.76,1.03,0.31,1.77,44.28,84.71,7.99,100.0,15.29
2013-06-30,1511.59,367.35,33.01,0.25,470.61,1232.72,193.61,314.88,641.6,132.06,509.54,174.7,334.84,334.84,523.44,0.0,0.0,14.42,6.41,6.29,505.23,101.36,1.06,0.21,1.83,44.34,84.73,7.99,100.0,15.27
2013-09-30,1611.31,365.47,41.64,0.15,416.73,1318.63,201.98,326.77,587.92,88.86,499.06,168.83,330.23,330.23,524.33,0.0,0.0,13.64,6.3,6.19,546.39,109.24,1.11,0.22,1.74,44.42,84.76,7.99,100.0,15.24
2013-12-31,1738.65,368.45,36.26,0.13,480.27,1413.41,205.78,357.21,647.36,126.16,521.2,174.3,346.9,346.9,524.53,0.0,0.0,12.98,6.62,6.5,625.84,164.94,1.18,0.31,1.74,44.44,84.76,7.99,100.0,15.24
2014-03-31,1765.8,375.76,37.59,0.12,522.92,1398.06,207.92,377.13,719.08,120.55,598.53,202.48,396.05,396.05,525.64,0.0,0.0,13.96,7.54,7.42,620.79,184.05,1.12,0.33,1.91,44.55,84.79,7.99,100.0,15.21
2014-06-30,1837.38,411.33,48.46,0.14,576.37,1496.65,220.25,407.58,749.2,110.4,638.8,217.74,421.06,421.06,526.34,0.0,0.0,0.0,8.01,7.88,654.42,195.56,1.11,0.33,1.92,44.63,84.81,7.99,100.0,15.19
2014-09-30,1908.92,411.27,58.37,0.2,558.27,1545.65,239.31,427.4,724.67,73.2,651.47,221.27,430.2,430.2,528.29,0.0,0.0,0.0,8.16,8.02,654.54,195.0,1.08,0.33,1.88,44.82,84.87,7.99,100.0,15.13
2014-12-31,1953.85,411.96,70.91,0.23,610.75,1575.58,255.54,442.74,773.84,98.01,675.83,228.64,447.19,447.19,528.51,0.0,0.0,0.0,8.46,8.3,6.73,2.02,1.05,0.32,1.9,44.86,84.88,7.99,100.0,15.12
2015-03-31,2016.76,445.86,99.56,16.77,658.48,1653.81,265.38,467.73,850.51,107.44,743.07,247.8,495.27,495.27,529.45,0.0,0.0,0.0,9.36,9.2,562.92,210.48,0.81,0.31,1.91,44.96,84.91,7.99,100.0,15.09
