Date,(a) Int. /Disc. on Adv/Bills,(b) Income on Investment,(c) Int. on balances With RBI,(d) Others,Other Income,Interest Expended,Employees Cost,Other Expenses,Operating Profit before Provisions and contingencies,Provisions And Contingencies,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,b) Capital Adequacy Ratio - Basel -I,c) Capital Adequacy Ratio - Basel -II,Basic EPS,Diluted EPS,i) Gross NPA,ii) Net NPA,i) % of Gross NPA,ii) % of Net NPA,Return on Assets %,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2015-06-30,2106.43,413.91,157.2,45.96,761.61,1742.84,272.25,547.3,922.72,123.33,799.39,274.35,525.04,525.04,531.19,0.0,0.0,0.0,9.9,9.74,570.12,224.8,0.79,0.31,1.9,45.13,84.96,7.99,100.0,15.04
2015-09-30,2212.55,450.01,97.95,37.26,783.54,1703.49,300.73,570.56,1006.53,158.09,848.44,288.4,560.04,560.04,592.17,0.0,0.0,0.0,9.54,9.4,602.1,240.75,0.77,0.31,1.93,50.35,85.02,8.87,100.0,14.98
2015-12-31,2367.77,502.09,97.66,32.03,839.0,1826.13,326.7,624.74,1060.98,177.08,883.9,302.88,581.02,581.02,593.64,0.0,0.0,0.0,9.8,9.68,681.13,273.34,0.82,0.33,1.92,0.0,0.0,0.0,0.0,0.0
2016-03-31,2557.81,559.93,57.9,31.72,912.8,1939.15,336.41,693.41,1151.19,213.66,937.53,317.18,620.35,620.35,594.99,0.0,0.0,0.0,10.43,10.33,776.82,321.75,0.87,0.36,1.9,0.0,0.0,0.0,0.0,0.0
2016-06-30,2682.14,527.06,52.93,29.56,972.97,1935.27,356.89,738.71,1233.79,230.47,1003.32,341.94,661.38,661.38,595.87,0.0,0.0,0.0,11.11,10.64,860.64,355.5,0.91,0.38,1.94,0.0,0.0,0.0,0.0,0.0
2016-09-30,2816.85,563.21,60.61,28.63,970.42,2008.99,375.79,773.29,1281.65,213.88,1067.77,363.51,704.26,704.26,596.92,0.0,0.0,0.0,11.81,11.69,899.01,369.16,0.9,0.37,1.93,0.0,0.0,0.0,0.0,0.0
2016-12-31,2990.45,619.79,60.88,28.21,1016.8,2120.91,394.04,837.84,1363.34,216.85,1146.49,395.85,750.64,750.64,597.42,0.0,0.0,0.0,12.57,12.46,971.62,400.7,0.94,0.39,1.88,0.0,0.0,0.0,0.0,0.0
2017-03-31,2989.67,644.05,153.85,42.44,1211.3,2162.56,394.3,912.22,1572.23,430.13,1142.1,390.49,751.61,751.61,598.15,19673.38,0.0,0.0,12.57,12.45,1054.87,438.91,0.93,0.39,1.74,0.0,0.0,0.0,0.0,0.0
2017-06-30,3270.7,726.47,98.5,39.84,1167.26,2361.45,422.17,930.62,1588.53,309.97,1278.56,442.01,836.55,836.55,598.52,0.0,0.0,0.0,13.98,13.86,1271.68,508.26,1.09,0.44,1.86,0.0,0.0,0.0,0.0,0.0
2017-09-30,3290.28,767.94,110.8,39.33,1187.57,2387.36,445.04,930.02,1633.5,293.75,1339.75,459.65,880.1,880.1,598.87,0.0,0.0,0.0,14.7,14.54,1345.28,536.89,1.08,0.44,1.9,0.0,0.0,0.0,0.0,0.0
2017-12-31,3469.61,749.46,36.8,30.91,1186.76,2391.97,459.96,956.92,1664.69,236.16,1428.53,492.28,936.25,936.25,599.74,0.0,0.0,0.0,15.62,15.47,1498.7,592.2,1.16,0.46,1.96,0.0,0.0,0.0,0.0,0.0
2018-03-31,3669.32,830.51,75.37,74.91,1208.51,2642.52,453.52,993.19,1769.39,335.55,1433.84,480.75,953.09,953.09,600.22,0.0,0.0,0.0,15.88,15.73,1704.91,745.67,1.17,0.51,1.86,0.0,0.0,0.0,0.0,0.0
2018-06-30,4146.62,861.03,18.68,41.82,1301.6,2945.72,462.04,1050.86,1911.13,350.01,1561.12,525.4,1035.72,1035.72,600.44,0.0,0.0,0.0,17.25,17.08,1740.62,762.35,1.15,0.51,1.91,0.0,0.0,0.0,0.0,0.0
2018-09-30,4452.1,918.31,27.44,40.24,1317.28,3234.81,458.18,1069.94,1992.44,590.27,1402.17,481.92,920.25,920.25,601.3,0.0,0.0,0.0,15.32,15.17,1781.36,787.57,1.09,0.48,1.59,0.0,0.0,0.0,0.0,0.0
2018-12-31,4763.22,918.55,27.93,53.77,1468.85,3475.38,452.05,1187.93,2116.96,606.68,1510.28,525.25,985.03,985.03,602.08,0.0,0.0,0.0,16.37,16.26,1968.15,1029.27,1.13,0.59,1.62,0.0,0.0,0.0,0.0,0.0
2019-03-31,4894.74,979.45,27.98,89.27,1558.99,3759.06,481.24,1242.44,2067.69,1560.69,507.0,146.9,360.1,360.1,602.69,0.0,0.0,0.0,5.98,5.94,3947.41,2248.28,2.1,1.21,0.56,0.0,0.0,0.0,0.0,0.0
2019-06-30,5753.84,1069.94,48.78,88.81,1663.25,4117.38,647.22,1269.06,2590.96,430.62,2160.34,727.84,1432.5,1432.5,603.14,0.0,0.0,0.0,20.68,20.58,4199.66,2380.51,2.15,1.23,2.05,0.0,0.0,0.0,0.0,0.0
2019-09-30,5948.67,1075.37,62.0,64.32,1726.66,4240.82,515.47,1520.79,2599.94,737.71,1862.23,478.86,1383.37,1383.37,692.98,0.0,0.0,0.0,19.97,19.89,4370.2,2202.57,2.19,1.12,1.95,0.0,0.0,0.0,0.0,0.0
2019-12-31,6082.32,1106.41,29.73,66.07,1789.4,4210.51,550.1,1567.68,2745.64,1043.45,1702.19,401.99,1300.2,1300.2,693.07,0.0,0.0,0.0,18.76,18.69,4578.43,2173.29,2.18,1.05,1.8,0.0,0.0,0.0,0.0,0.0
2020-03-31,6223.42,1030.47,51.51,81.17,1772.0,4155.38,495.69,1671.33,2836.17,2440.32,395.85,94.01,301.84,301.84,693.54,0.0,0.0,0.0,4.35,4.34,5146.74,1886.58,2.45,0.91,0.41,0.0,0.0,0.0,0.0,0.0
2020-06-30,6066.0,1001.52,20.8,73.41,1519.19,3852.54,551.63,1415.42,2861.33,2258.88,602.45,141.81,460.64,460.64,693.57,0.0,0.0,0.0,6.64,6.64,5098.95,1703.37,2.53,0.86,0.62,0.0,0.0,0.0,0.0,0.0
2020-09-30,5987.74,952.35,169.64,67.48,1553.84,3899.22,524.11,1477.19,2830.53,1964.44,866.09,219.05,647.04,647.04,756.45,0.0,0.0,0.0,9.07,9.07,4532.15,1055.81,2.21,0.52,0.83,0.0,0.0,0.0,0.0,0.0
2020-12-31,5910.66,930.72,216.25,183.87,1705.46,3835.4,542.7,1595.58,2973.28,1853.52,1119.76,267.0,852.76,852.76,757.11,0.0,0.0,0.0,11.27,11.25,3650.66,464.21,1.74,0.22,1.07,0.0,0.0,0.0,0.0,0.0
2021-03-31,6120.95,961.52,270.68,66.21,1780.12,3884.75,595.07,1658.13,3061.53,1865.69,1195.84,319.89,875.95,875.95,773.37,0.0,0.0,0.0,11.45,11.43,5794.99,1476.57,2.67,0.69,1.03,0.0,0.0,0.0,0.0,0.0
2021-06-30,6181.18,998.38,299.66,95.48,1781.07,4010.99,608.17,1606.05,3130.56,1844.02,1286.54,311.59,974.95,974.95,773.88,0.0,0.0,0.0,12.6,12.58,6185.76,1759.59,2.88,0.84,1.12,0.0,0.0,0.0,0.0,0.0
2021-09-30,6238.86,992.97,350.06,68.47,1837.2,3991.96,601.63,1719.51,3174.46,1703.36,1471.1,357.57,1113.53,1113.53,774.12,0.0,0.0,0.0,14.39,14.36,6245.04,1771.35,2.77,0.8,1.26,0.0,0.0,0.0,0.0,0.0
2021-12-31,6334.99,1023.16,315.76,63.58,1876.78,3943.92,620.02,1845.26,3205.07,1654.05,1551.02,389.75,1161.27,1161.27,774.55,0.0,0.0,0.0,15.0,14.97,5779.27,1633.21,2.48,0.71,1.26,0.0,0.0,0.0,0.0,0.0
2022-03-31,6388.41,1038.37,322.88,110.23,1902.0,3874.73,658.52,1900.13,3328.51,1463.52,1864.99,503.62,1361.37,1361.37,774.66,0.0,0.0,0.0,17.57,17.55,5517.15,1529.83,2.27,0.64,1.47,0.0,0.0,0.0,0.0,0.0
2022-06-30,6720.09,1053.34,347.53,60.81,1928.7,4056.51,660.37,1999.92,3393.67,1250.99,2142.68,539.39,1603.29,1603.29,775.1,0.0,0.0,0.0,20.69,20.67,5932.9,1661.21,2.35,0.67,1.7,0.0,0.0,0.0,0.0,0.0
2022-09-30,7147.76,1128.34,370.56,61.37,2010.82,4405.98,734.72,2058.49,3519.66,1141.06,2378.6,591.88,1786.72,1786.72,775.24,0.0,0.0,0.0,23.05,23.02,5567.12,1583.95,2.11,0.61,1.78,0.0,0.0,0.0,0.0,0.0
2022-12-31,7772.53,1212.82,383.95,88.1,2076.34,4962.06,799.18,2092.12,3680.38,1064.73,2615.65,656.45,1959.2,1959.2,775.42,0.0,0.0,0.0,25.27,25.23,5710.78,1681.45,2.06,0.62,1.86,0.0,0.0,0.0,0.0,0.0
2023-03-31,8304.14,1297.13,340.25,79.19,2150.51,5351.25,836.25,2230.95,3752.77,1030.05,2722.72,682.21,2040.51,2040.51,775.9,0.0,0.0,0.0,26.3,26.27,5826.27,1714.96,1.98,0.59,1.9,0.0,0.0,0.0,0.0,0.0
2023-06-30,8837.17,1399.79,378.43,114.26,2209.77,5862.54,862.88,2383.94,3830.06,991.57,2838.49,714.87,2123.62,2123.62,776.02,0.0,0.0,0.0,27.37,27.33,5941.12,1746.93,1.94,0.58,1.89,0.0,0.0,0.0,0.0,0.0
2023-09-30,9378.86,1560.16,254.24,54.52,2281.75,6171.05,956.6,2520.99,3880.89,973.83,2907.06,725.59,2181.47,2181.47,777.05,0.0,0.0,0.0,28.1,28.04,6164.22,1813.76,1.93,0.57,1.88,0.0,0.0,0.0,0.0,0.0
2023-12-31,9694.47,1589.19,235.95,52.64,2395.85,6276.62,1026.69,2662.57,4002.22,934.23,3067.99,770.14,2297.85,2297.85,777.73,0.0,0.0,0.0,29.56,29.5,6377.05,1875.18,1.92,0.57,1.93,0.0,0.0,0.0,0.0,0.0
2024-03-31,10208.81,1653.05,288.45,48.22,2500.48,6822.09,1049.11,2800.71,4027.1,899.11,3127.99,781.15,2346.84,2346.84,778.32,0.0,0.0,0.0,30.16,30.11,6693.38,1968.9,1.92,0.57,1.9,0.0,0.0,0.0,0.0,0.0
2024-06-30,10351.97,1802.31,344.29,48.2,2441.25,7139.14,1039.65,2882.54,3926.69,1049.84,2876.85,724.69,2152.16,2152.16,778.73,0.0,0.0,0.0,27.65,27.61,7126.8,2095.47,2.02,0.6,1.68,0.0,0.0,0.0,0.0,0.0
2024-09-30,10406.12,1857.03,371.57,51.56,2183.9,7339.02,1092.68,2846.71,3591.77,1820.1,1771.67,446.22,1325.45,1325.45,778.99,0.0,0.0,0.0,17.02,17.0,7638.52,2282.01,2.11,0.64,0.99,0.0,0.0,0.0,0.0,0.0
2024-12-31,10493.24,2005.73,248.5,53.3,2350.24,7572.68,1069.54,2909.88,3598.91,1743.63,1855.28,454.0,1401.28,1401.28,779.05,0.0,0.0,0.0,17.99,17.99,8375.29,2495.76,2.25,0.68,1.03,0.0,0.0,0.0,0.0,0.0
2025-03-31,8339.82,1997.96,242.25,53.82,708.8,7585.51,1099.5,3130.15,-472.51,2416.57,-2889.08,-653.09,-2235.99,-2235.99,779.05,0.0,0.0,0.0,-28.71,-28.7,11046.39,3287.14,3.13,0.95,-1.67,0.0,0.0,0.0,0.0,0.0
