Date,Equity Share Capital,Total Share Capital,Revaluation Reserves,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Raw Materials,Capital Goods,Preference Share Capital,Equity Share Application Money,Money Received Against Share Warrants,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Deferred Tax Assets [Net],Current Investments,"Stores, Spares And Loose Tools",Trade/Other Goods
2004-03-31,3.19,3.19,0.0,2.19,2.19,0.0,5.39,7.77,0.9,0.0,0.0,8.68,0.0,0.0,3.64,1.29,4.93,18.99,7.7,0.0,0.34,8.04,0.0,0.0,0.05,8.09,3.48,6.53,0.15,0.73,0.0,10.9,18.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,3.19,3.19,0.0,5.74,5.74,0.0,8.93,11.42,0.98,0.0,0.0,12.4,0.0,0.0,5.03,1.94,6.97,28.3,10.62,0.0,2.62,13.24,0.0,0.0,0.0,13.24,6.9,6.04,0.12,2.0,0.0,15.06,28.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,5.64,7.19,1.21,7.0,8.21,0.0,15.4,9.82,1.35,0.0,0.0,11.18,6.39,6.17,1.73,3.59,17.87,46.34,22.93,0.0,0.82,23.75,0.0,0.0,0.0,23.75,10.59,9.51,1.25,1.24,0.0,22.58,46.34,0.1,0.0,0.06,0.0,0.0,3.23,0.0,0.0,0.0,0.0,1.55,1.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,11.24,11.24,1.21,55.11,56.32,0.0,67.56,13.37,1.69,0.0,0.0,15.06,11.02,12.1,3.28,6.59,32.98,115.6,30.79,0.0,1.82,32.6,0.0,0.0,3.41,36.02,19.42,20.34,36.68,3.15,0.0,79.59,115.6,6.96,0.33,0.0,1.22,0.0,4.22,0.0,0.0,35.78,1.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,11.24,11.24,1.21,67.41,68.62,0.0,79.86,17.41,1.69,0.0,0.0,19.1,14.66,32.23,0.21,1.51,48.6,147.56,41.14,0.0,17.16,58.3,0.0,0.0,0.0,58.3,26.49,32.75,25.88,4.13,0.0,89.26,147.56,34.78,0.37,0.0,1.45,0.0,4.22,0.0,0.0,44.1,1.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,11.24,11.24,1.21,80.29,81.5,0.0,92.73,38.95,1.69,0.0,0.0,40.64,23.37,27.82,0.78,11.53,63.5,196.87,78.84,0.0,6.01,84.86,0.05,0.0,0.0,84.91,49.54,41.28,2.19,18.94,0.0,111.96,196.87,3.62,1.55,0.0,3.59,0.0,4.22,0.0,0.05,76.2,5.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,11.24,11.24,1.21,105.69,106.9,0.0,118.14,36.9,1.69,0.0,0.0,38.59,3.5,82.98,0.38,17.27,104.13,260.86,87.84,0.0,6.16,93.99,0.05,0.0,0.0,94.05,69.73,67.43,3.77,25.88,0.0,166.82,260.86,6.08,0.79,0.0,5.44,0.0,4.22,0.0,0.05,103.8,3.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,11.24,11.24,1.21,136.34,137.55,0.0,148.79,31.13,1.69,0.0,0.0,32.82,0.0,113.26,28.43,3.18,144.87,326.48,104.01,0.0,8.1,112.11,0.1,9.57,1.93,123.7,86.18,78.41,10.15,27.54,0.5,202.78,326.48,9.96,1.19,0.36,6.6,0.0,4.22,0.0,0.09,153.83,2.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,11.24,11.24,1.21,173.15,174.37,0.0,185.6,63.55,1.69,0.0,0.0,65.24,0.0,169.24,50.18,4.79,224.22,475.06,155.05,0.0,12.37,167.43,1.92,9.11,0.11,178.56,125.52,102.49,35.01,32.67,0.82,296.5,475.06,18.07,2.57,0.39,6.59,0.0,4.22,0.0,1.92,205.06,8.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,11.24,11.24,1.21,229.4,230.61,0.0,241.85,63.06,8.76,0.0,0.0,71.82,0.0,170.05,49.19,7.53,226.77,540.44,205.5,0.0,11.29,216.8,1.92,7.84,0.0,226.55,148.12,104.69,11.4,49.27,0.4,313.89,540.44,14.86,5.02,0.36,7.71,0.0,4.22,0.0,1.92,268.28,4.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
