Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Equity Share Application Money,Hybrid/Debt/Other Securities,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Trade/Other Goods,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Money Received Against Share Warrants,Deferred Tax Assets [Net],Foreign Currency Monetary Item Translation Difference A/C,Preference Share Capital,Revaluation Reserves,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2014-03-31,971.41,971.41,60176.58,60176.58,61147.99,0.0,2275.0,23808.09,2038.98,983.52,1905.05,28735.64,43.69,8263.61,8671.67,1902.81,18881.78,111040.41,24064.43,201.32,18509.4,0.0,42775.15,52318.56,4080.07,302.03,99475.81,2343.24,6007.81,770.81,961.16,1299.2,182.38,11564.6,111040.41,17398.71,91.55,804.58,126.2,2010.53,368.46,252.97,8390.72,51271.94,0.0,2343.24,6011.17,869.59,2871.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,971.41,971.41,65692.48,65692.48,66663.89,0.0,2275.0,23900.37,2250.41,1087.74,2875.92,30114.44,34.88,5801.98,9111.52,1675.41,16623.79,115677.12,25071.38,177.14,23036.67,0.0,48285.19,52164.24,3166.77,211.75,103827.95,1000.08,8042.0,491.46,478.59,1781.77,55.27,11849.17,115677.12,14610.35,398.7,821.06,207.78,883.79,104.59,252.97,11528.97,51088.78,0.0,1000.08,7570.66,618.75,696.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,971.41,971.41,69505.31,69505.31,70476.72,0.0,2275.0,23457.77,2179.83,842.66,2888.18,29368.44,5261.02,7706.13,6115.81,2005.03,21087.99,123208.15,24901.24,527.35,26982.37,0.0,52410.96,52360.42,3787.88,227.4,108786.66,4320.17,7083.81,632.8,1014.67,1243.48,126.56,14421.49,123208.15,38595.95,685.26,544.25,128.79,1001.37,88.23,252.97,4745.79,51244.67,0.0,4320.17,4406.87,679.93,598.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,971.41,971.41,48687.59,48687.59,49659.0,0.01,2275.0,24694.37,6111.27,3644.69,2024.74,36475.07,3239.67,10717.44,8398.62,700.6,23056.33,111465.41,71778.97,788.18,6125.35,38.61,78731.11,8355.9,211.97,4056.03,91355.01,5309.81,10236.85,2006.52,970.31,27.14,1559.77,20110.4,111465.41,25991.16,10298.0,447.38,0.0,3996.55,0.0,252.97,4422.17,5845.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,1146.12,1146.12,60368.7,60368.7,61514.82,0.02,2275.0,24568.95,6259.09,2927.91,1961.21,35717.16,669.88,11242.75,12959.43,735.28,25607.34,125114.34,70942.9,786.18,5641.5,31.77,77402.35,9636.56,213.5,3218.02,90470.43,14640.37,11023.41,1875.63,4696.74,74.13,2333.63,34643.91,125114.34,28359.61,13355.43,334.94,0.0,5898.19,0.0,252.97,497.21,20113.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,1146.12,1146.12,69308.59,69308.59,70454.71,0.0,2275.0,26651.19,7807.0,2798.63,1918.18,39175.0,8.09,10969.56,13837.77,778.23,25593.65,137498.36,70416.82,805.2,5686.02,110.27,77018.31,38929.25,231.16,4284.06,120462.78,477.47,11255.34,1363.04,718.11,55.92,3165.7,17035.58,137498.36,34622.43,14519.26,450.04,0.0,0.0,6497.94,252.97,448.61,34042.88,0.0,477.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,1146.13,1146.13,73416.99,73416.99,74563.12,0.0,2275.0,31381.96,5862.28,3325.34,2113.56,42683.14,7857.27,10600.96,11749.21,663.86,30871.3,150392.56,70505.66,727.72,8070.41,176.64,79480.43,46860.91,199.26,3842.77,130383.37,3235.16,10716.66,1016.73,1226.87,1607.32,2206.45,20009.19,150392.56,32650.32,12381.28,509.47,0.0,0.0,6314.97,252.97,204.31,20078.19,0.0,3235.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,1198.78,1198.78,93207.56,93207.56,94406.34,3.78,775.0,31545.41,8517.78,12602.79,2572.23,55238.21,984.68,13426.21,14579.8,1076.91,30067.6,180490.93,96287.55,855.73,10499.49,408.79,108051.56,29087.33,7570.1,6507.54,151216.53,7096.8,12857.51,2878.58,2396.9,1564.37,2480.24,29274.4,180490.93,33426.07,13408.18,412.85,0.0,0.0,13241.53,252.97,537.85,352.37,0.0,7096.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,1222.37,1222.37,124211.39,124211.39,125433.76,0.0,0.0,20290.81,8087.57,11824.25,2685.0,42887.63,11984.66,21091.14,19506.61,1082.42,53664.83,221986.22,93484.4,806.03,14159.32,382.64,108832.39,43401.43,30195.27,8267.56,190696.65,96.11,19942.94,3280.3,2855.29,2368.01,2746.92,31289.57,221986.22,37797.38,29071.56,505.33,0.0,0.0,17187.78,252.97,1182.53,13051.52,0.0,96.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,1222.4,1222.4,133575.11,133575.11,134797.51,0.0,0.0,30880.89,8684.15,10436.32,2555.25,52556.61,7298.12,18082.4,19975.84,1080.94,46437.3,233791.42,90422.42,763.87,21091.92,514.96,112793.17,44138.9,32779.08,10130.75,199841.9,2050.4,20795.56,3351.72,1077.33,3191.21,3483.3,33949.52,233791.42,43817.56,42522.99,799.51,0.0,0.0,8612.98,252.97,988.94,42787.49,0.0,2050.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,1248.6,1248.6,136445.05,136445.05,137693.65,0.0,0.0,36715.91,8016.77,9862.74,2704.59,57300.01,3841.52,22062.46,23590.0,1146.42,50640.4,245634.06,96455.68,980.46,27196.47,532.59,125165.2,65498.27,8604.38,9601.07,208868.92,500.35,24547.2,1606.14,5954.68,140.82,4015.95,36765.14,245634.06,52543.33,40088.63,1738.06,0.0,0.0,8317.4,252.97,151.32,1504.87,0.09,500.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
