Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Equity Share Application Money,Hybrid/Debt/Other Securities,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Trade/Other Goods,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Money Received Against Share Warrants,Deferred Tax Assets [Net],Foreign Currency Monetary Item Translation Difference A/C,Preference Share Capital,Revaluation Reserves,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2004-03-31,369.18,369.18,4146.68,4146.68,4515.86,0.0,0.0,3240.85,1690.56,0.0,0.0,4931.41,132.43,670.18,1548.19,3343.48,5694.28,15141.55,7094.21,0.0,763.64,0.0,7857.85,2194.12,0.0,155.97,11058.54,0.0,1249.08,651.3,250.74,1931.89,0.0,4083.01,15141.55,2669.02,0.0,163.41,12.44,1496.56,4.75,73.44,2031.69,1878.43,0.0,0.0,767.25,0.0,38.81,0.0,850.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,553.67,553.67,6506.25,6506.25,7059.92,0.0,0.0,2614.31,1607.41,0.0,0.0,4221.72,125.39,778.76,1861.26,2648.56,5413.97,16695.61,7239.58,0.0,1872.66,0.0,9112.24,2432.65,0.0,214.82,12537.7,0.0,1872.4,581.82,246.72,1456.97,0.0,4157.91,16695.61,2983.05,0.0,143.44,34.66,2183.79,8.1,252.97,1952.43,2119.75,0.0,0.0,1227.84,0.0,294.79,0.0,777.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,553.67,553.67,9201.63,9201.63,9755.3,0.0,0.0,2459.66,1716.4,0.0,0.0,4176.06,56.49,814.88,2021.11,2361.44,5253.92,19185.28,8664.05,43.27,1157.73,0.0,9865.05,4069.96,0.0,253.27,14947.68,0.0,2174.75,539.4,288.39,1204.11,30.95,4237.6,19185.28,3872.34,0.0,148.71,106.82,2051.2,58.99,252.97,4079.52,3477.38,0.0,0.0,1565.87,0.0,181.43,0.0,759.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,580.67,580.67,13368.42,13368.42,13949.09,147.06,0.0,9453.07,1718.96,0.0,0.0,11172.03,192.26,1093.1,3537.18,1930.46,6753.0,32021.18,8478.6,64.52,2497.44,0.0,11040.56,6106.18,0.0,202.53,18319.29,0.0,2332.98,631.63,7681.35,1244.85,1811.08,13701.89,32021.18,7185.93,0.0,405.21,160.37,1957.76,146.13,252.97,2979.0,5793.46,0.0,0.0,1907.1,0.0,295.05,0.0,970.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,730.78,6203.3,21097.43,21097.43,27300.73,0.0,0.0,17889.98,1915.7,0.0,0.0,19805.68,131.71,1783.53,3143.03,2913.52,7971.79,55078.2,8188.81,67.3,4367.45,0.0,12623.56,4103.19,0.0,155.11,18115.76,0.0,2604.98,543.48,465.04,33348.94,0.0,36962.44,55078.2,9250.08,0.0,683.77,210.87,2123.41,165.2,252.97,3260.65,3790.47,0.0,0.0,1792.41,0.0,433.23,0.0,1233.9,0.0,5472.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,730.79,6203.45,23501.15,23501.15,29704.6,0.0,0.0,26216.2,1892.3,0.0,0.0,28108.5,729.98,3842.78,3230.68,2934.19,10737.63,68550.73,10921.59,72.95,3487.68,0.0,14482.22,42371.78,0.0,105.07,58265.64,0.0,3480.47,635.98,1590.6,4330.43,247.61,10285.09,68550.73,12188.55,0.0,1137.75,237.75,3308.67,65.88,252.97,1491.89,41665.63,0.0,0.0,4463.19,0.0,542.28,0.0,1306.57,0.0,5472.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,887.41,887.41,36281.34,36281.34,37168.75,0.0,0.0,25239.2,2046.25,0.0,0.0,27285.45,0.0,3341.87,3311.22,3303.68,9956.77,74410.97,12083.39,79.05,3843.59,0.0,16006.03,44979.67,0.0,0.0,62164.28,0.0,3077.75,434.83,3234.14,3628.57,1871.4,12246.69,74410.97,13184.61,0.0,1209.58,183.53,2034.81,64.67,252.97,4397.79,44243.24,0.0,0.0,3369.83,0.0,672.71,0.0,1178.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,959.41,959.41,45807.02,45807.02,46944.63,0.0,1500.0,24499.05,936.8,373.88,2201.47,28011.2,149.13,4464.81,6262.1,2219.85,13095.89,89551.72,11532.58,272.52,5612.28,0.0,17417.38,43565.15,10453.41,2.76,71438.7,2999.79,3953.76,424.02,4138.78,6458.94,137.73,18113.02,89551.72,14288.41,23.55,956.11,125.64,2252.37,121.6,252.97,4914.95,42900.18,0.0,2999.79,4369.54,353.48,712.45,178.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,971.41,971.41,51649.95,51649.95,52621.36,0.0,2275.0,21353.2,970.51,216.05,1851.3,24391.06,65.62,5973.23,8798.55,2066.24,16903.64,96191.06,11142.36,223.9,16058.49,0.0,27424.75,49078.35,6415.8,2.76,82921.66,1204.17,4858.99,904.08,3946.99,1828.09,122.18,12864.5,96191.06,18039.57,35.85,967.19,235.64,1804.87,45.6,252.97,4911.43,48413.38,0.0,1204.17,5912.14,466.34,1425.23,0.0,0.0,404.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,971.41,971.41,54238.27,54238.27,55209.68,0.0,2275.0,23565.57,1843.74,380.87,2113.42,27903.6,70.94,6369.91,8503.54,1544.26,16488.65,101876.93,24650.54,224.51,8722.29,0.0,33597.34,49984.8,6574.15,190.04,90346.33,434.0,5257.94,796.92,2218.11,2207.83,615.8,11530.6,101876.93,18999.02,132.8,1069.99,193.49,2341.08,32.37,252.97,4904.96,49000.56,0.0,434.0,5689.56,880.66,1654.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
