Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS
2018-06-30,235.33,235.33,0.0,0.0,7.94,0.0,32.69,29.2,117.59,47.92,10.26,58.18,85.57,-27.38,-1.36,-28.74,-7.04,-21.7,0.0,-21.7,171.1,-1.27,-1.27
2018-09-30,234.53,234.53,0.0,0.0,12.23,0.0,39.3,27.73,151.35,3.93,18.07,22.0,53.98,-31.98,-1.34,-33.32,-16.13,-17.2,0.0,-17.2,171.1,-1.01,-1.01
2018-12-31,247.44,247.44,0.0,0.0,0.82,0.0,35.14,28.95,97.88,84.66,8.06,92.72,69.61,23.11,0.15,23.27,8.5,14.77,0.0,14.77,171.1,0.86,0.86
2019-03-31,269.87,269.87,0.0,0.0,2.98,0.0,37.68,29.54,131.45,68.21,7.21,75.42,56.0,19.42,-1.55,17.87,3.94,13.93,0.0,13.93,205.02,0.73,0.73
2019-06-30,240.27,240.27,0.0,0.0,3.03,0.0,40.8,28.15,116.87,51.42,5.94,57.35,35.6,21.75,-1.14,20.61,6.58,14.03,0.0,14.03,205.02,0.68,0.68
2019-09-30,235.37,235.37,0.0,0.0,-0.53,0.0,36.7,28.38,117.58,53.25,5.08,58.33,36.85,21.48,-1.38,20.1,9.74,10.36,0.0,10.36,205.02,0.51,0.51
2019-12-31,278.14,278.14,0.0,0.0,0.77,16.11,36.12,28.3,112.78,84.06,6.59,90.65,33.86,56.78,-1.19,55.59,22.21,33.39,0.0,33.39,205.02,1.63,1.63
2020-03-31,222.74,222.74,0.0,0.0,-0.93,13.96,37.17,26.54,130.35,15.66,9.63,25.29,38.3,-13.01,-0.45,-13.46,-37.29,23.83,0.0,23.83,205.02,1.16,1.16
2020-06-30,52.62,52.62,0.0,0.0,0.0,7.19,22.99,27.14,25.72,-30.42,6.02,-24.41,37.97,-62.38,-1.04,-63.42,-31.1,-32.31,0.0,-32.31,205.02,-1.58,-1.58
2020-09-30,58.19,58.19,0.0,0.0,0.0,6.32,19.84,27.28,31.31,-26.56,4.87,-21.69,37.37,-59.06,-1.06,-60.12,-24.37,-35.75,0.0,-35.75,205.02,-1.74,-1.74
2020-12-31,81.25,81.25,0.0,0.0,0.0,8.85,20.48,27.03,40.98,-16.09,5.94,-10.15,35.77,-45.92,-1.06,-46.98,-20.04,-26.94,0.0,-26.94,205.02,-1.31,-1.31
2021-03-31,92.27,92.27,0.0,0.0,0.0,8.85,22.43,26.19,56.53,-21.72,3.88,-17.84,33.89,-51.73,-1.02,-52.75,-33.81,-18.94,-1.3,-20.24,205.02,-0.99,-0.99
2021-06-30,67.19,67.19,5.23,2.77,-0.87,0.0,21.62,26.86,45.15,-33.58,5.47,-28.11,34.69,-62.79,-1.04,-63.83,-27.51,-36.32,-0.28,-36.6,205.02,-1.78,-1.78
2021-09-30,121.36,121.36,0.0,0.0,0.0,6.59,22.12,28.01,58.27,6.38,8.91,15.29,38.05,-22.76,-1.51,-24.27,-14.03,-10.24,-0.69,-10.93,205.02,-0.5,-0.5
2021-12-31,154.47,154.47,18.93,8.21,0.0,0.0,24.49,26.05,64.24,12.56,1.2,13.75,32.59,-18.84,-0.9,-19.74,-12.01,-7.73,-5.29,-13.02,205.02,-0.64,-0.64
2022-03-31,140.05,140.05,0.0,0.0,0.0,0.0,25.89,28.18,83.76,2.22,5.16,7.38,34.62,-27.24,-1.01,-28.25,-18.49,-9.76,0.0,-9.76,205.02,-0.48,-0.48
2022-06-30,239.42,239.42,0.0,0.0,0.0,0.0,31.62,27.63,110.36,69.81,6.67,76.48,38.01,38.47,-1.01,37.46,10.37,27.09,0.0,27.09,205.02,1.32,1.32
2022-09-30,235.08,235.08,22.38,8.96,0.0,0.0,35.18,27.5,86.57,54.5,2.18,56.68,37.85,18.83,1.26,20.09,5.56,14.53,0.0,14.53,205.03,0.71,0.71
