Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Employees Cost,Depreciation,Admin. And Selling Expenses,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,50.56,0.4,50.96,0.0,22.71,2.65,0.0,43.2,-17.6,14.54,-3.07,16.38,-19.45,34.47,15.02,0.0,15.02,-0.24,14.78,523.22,0.16,0.16,28.25,27.0,73.18,95.79,69.93
2013-03-31,58.68,7.55,66.23,0.0,26.85,3.8,0.0,45.08,-9.49,12.32,2.82,9.83,-7.0,50.78,43.78,0.0,43.78,-0.08,43.7,523.22,0.42,0.42,28.25,27.0,72.21,94.52,69.0
2013-06-30,26.49,2.22,28.72,2.72,19.05,2.05,0.0,31.47,-26.57,15.73,-10.84,13.09,-23.93,17.15,-6.78,0.0,-6.78,-0.05,-6.83,523.33,-0.07,-0.07,28.28,27.02,72.21,94.52,68.98
2013-09-30,27.03,2.2,29.23,0.0,17.2,2.06,0.0,30.19,-20.22,11.9,-8.32,11.35,-19.68,-12.9,-32.57,0.0,-32.57,-0.01,-32.59,523.33,-0.31,-0.31,28.28,27.02,74.68,97.76,71.34
2013-12-31,24.28,0.93,25.2,0.0,15.5,1.95,0.0,24.49,-16.74,13.4,-3.34,12.59,-15.93,0.0,-15.93,0.0,-15.93,-0.03,-15.96,523.33,-0.15,-0.15,28.28,27.02,76.39,100.0,72.98
2014-03-31,17.84,1.03,18.87,0.0,11.37,1.98,0.0,19.88,-14.36,9.97,-4.39,16.89,-21.28,0.29,-21.0,0.0,-21.0,1.43,-19.57,523.33,-0.19,-0.19,28.28,27.02,76.39,100.0,72.98
2014-06-30,17.25,0.52,17.77,0.0,10.1,1.33,0.0,16.31,-9.97,6.33,-3.64,14.59,-18.24,-619.73,-637.96,0.0,-637.96,0.0,-637.96,523.33,-6.1,-6.1,28.28,27.02,76.39,100.0,72.98
2014-09-30,16.01,0.8,16.8,0.0,6.42,1.12,0.0,15.06,-5.79,2.0,-3.79,14.73,-18.52,0.0,-18.52,0.0,-18.52,0.0,-18.52,523.41,-0.18,-0.18,22.94,21.92,81.74,100.0,78.08
2014-12-31,21.37,0.28,21.66,0.0,7.7,1.02,0.0,15.34,-2.41,1.87,-0.54,14.86,-15.4,0.0,-15.4,0.0,-15.4,0.0,-15.4,523.41,-0.15,-0.15,22.92,21.89,81.76,100.0,78.11
2015-03-31,17.62,0.47,18.09,0.0,9.78,0.98,0.0,11.85,-4.51,2.19,-2.32,13.34,-15.67,0.0,-15.67,0.0,-15.67,0.0,-15.67,523.42,-0.15,-0.15,22.92,21.9,81.76,100.0,78.1
2015-06-30,15.03,0.34,15.37,0.0,10.4,0.95,0.0,14.21,-10.19,0.88,-9.31,13.38,-22.68,0.0,-22.68,0.0,-22.68,0.0,-22.68,523.47,-0.22,-0.22,22.93,21.9,81.76,100.0,78.1
2015-09-30,16.94,0.31,17.26,0.0,11.19,1.1,0.0,16.96,-12.0,4.78,-7.22,13.04,-20.26,0.0,-20.26,0.0,-20.26,0.0,-20.26,523.47,-0.19,-0.19,26.17,25.0,78.52,100.0,75.0
