Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Share Capital Suspense,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,Other Earnings,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Long Term Borrowings,Intangible Assets Under Development,Deferred Tax Assets [Net],Preference Share Capital,Equity Share Application Money,Raw Materials,"Stores, Spares And Loose Tools"
2006-03-31,5.0,25.4,6.19,6.19,31.6,0.0,0.0,0.0,18.0,0.0,0.0,0.19,0.04,0.23,50.75,0.06,0.0,0.0,0.06,46.99,0.0,0.0,47.05,0.0,0.0,0.0,1.71,2.0,0.0,3.7,50.75,0.0,0.0,0.0,0.0,112.65,10.0,0.0,0.0,18.0,0.0,0.0,20.4,0.92,0.0,0.0
2007-03-31,25.43,25.43,310.5,310.5,335.94,0.0,0.0,0.0,60.13,3.64,4.43,3.73,0.07,11.87,407.94,1.01,0.0,0.0,1.01,352.94,0.0,6.84,360.79,0.0,25.6,4.62,14.77,2.14,0.0,47.14,407.94,134.0,0.0,0.0,3.29,2284.79,36.79,0.0,0.0,60.13,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,25.74,25.74,348.68,348.68,374.42,0.0,0.0,0.0,406.24,0.0,4.97,5.91,4.51,15.39,810.89,1.26,0.56,1.7,3.52,596.69,0.0,9.68,609.88,0.0,0.0,0.77,12.26,7.97,180.0,201.01,810.89,109.0,3.5,6.44,28.89,2891.61,216.44,0.0,0.0,406.24,0.0,0.0,0.0,14.84,0.1,0.0
2009-03-31,35.97,190.29,409.3,409.3,599.59,0.0,0.0,0.0,241.84,0.0,10.61,26.64,7.76,45.0,907.12,3.8,0.83,0.0,4.62,702.59,0.0,0.0,707.22,0.0,0.0,5.67,26.46,47.17,120.6,199.9,907.12,869.7,2.42,0.0,0.0,776.63,273.03,0.0,0.0,241.84,0.0,0.0,154.33,20.67,0.0,0.0
2010-03-31,57.17,211.44,854.73,854.73,1066.16,0.0,0.0,0.0,508.24,0.0,12.3,12.76,7.43,32.49,1628.71,1.36,0.85,0.31,2.51,1097.8,0.0,0.0,1100.32,0.0,0.18,6.03,96.54,244.77,180.88,528.4,1628.71,916.8,0.51,0.0,0.0,1051.49,273.03,0.0,0.0,508.24,0.0,0.0,154.27,21.82,0.0,0.0
2011-03-31,59.45,213.71,847.72,847.72,1061.43,0.0,3.98,1.55,253.43,119.75,15.4,117.06,0.07,252.28,1567.17,2.22,0.1,0.0,2.69,1007.93,18.75,0.0,1029.38,283.02,0.0,7.9,91.24,147.36,8.27,537.8,1567.17,534.61,2.69,0.0,0.39,1550.23,276.03,0.0,283.02,247.9,0.37,0.0,154.27,0.04,0.0,0.0
2012-03-31,71.44,225.71,807.44,807.44,1033.15,0.0,5.52,242.31,331.57,505.62,81.71,624.5,2.79,1214.62,2581.18,19.66,5.37,0.0,25.59,1792.05,586.34,5.06,2409.04,0.0,1.87,47.54,29.13,81.5,12.1,172.13,2581.18,571.95,7.85,0.0,4.42,604.33,387.14,0.0,0.0,83.74,0.57,0.0,154.27,1.84,4.26,0.08
2013-03-31,523.22,677.48,2954.52,2954.52,3632.0,0.0,5.12,242.76,324.88,105.27,53.55,108.53,2.59,269.94,4226.82,15.05,5.18,0.11,22.24,3124.57,678.29,34.18,3859.27,207.0,0.0,43.02,51.45,43.56,22.53,367.55,4226.82,206.75,12.46,0.0,7.09,2510.25,380.75,220.95,0.0,77.01,1.9,0.0,154.27,0.0,0.0,0.0
2014-03-31,523.33,523.33,2879.4,2879.4,3402.73,0.0,3.4,3.5,41.13,437.69,45.37,94.14,217.79,795.0,4238.85,11.05,2.09,0.0,15.85,3460.99,559.28,2.78,4038.9,69.65,0.23,25.11,68.61,33.28,3.07,199.95,4238.85,123.32,5.53,0.0,7.86,2268.71,717.18,83.86,0.0,34.22,2.71,0.0,0.0,0.0,0.0,0.0
2015-03-31,523.42,523.42,2191.28,2191.28,2714.7,0.0,0.29,3.07,3.84,550.36,27.36,16.84,217.8,812.36,3530.91,10.7,1.55,0.0,13.72,3287.04,176.19,5.53,3482.48,0.0,0.63,20.54,3.19,17.12,6.94,48.43,3530.91,3204.82,1.14,0.0,10.06,2721.74,681.59,8.41,0.0,0.48,1.48,0.0,0.0,0.0,0.0,0.0
