Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Deferred Tax Liabilities [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2004-03-31,42.28,82.28,82.85,82.85,165.13,167.63,0.0,0.0,205.67,239.08,148.86,1.76,13.47,403.18,773.98,173.3,0.0,4.07,0.0,0.0,177.36,27.58,2.9,0.0,33.31,241.15,0.0,164.12,148.16,26.85,193.69,0.0,532.82,773.98,55.23,9.34,0.0,80.32,6.99,0.0,0.81,26.83,0.0,0.0,127.66,0.0,1.18,38.04,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,42.28,82.28,94.97,94.97,177.24,176.86,0.0,0.0,212.09,141.16,205.2,40.48,20.93,407.76,797.09,165.13,0.0,9.78,0.0,0.0,174.91,27.02,5.91,0.0,24.4,232.24,0.0,271.62,77.09,44.01,172.14,0.0,564.85,797.09,39.84,9.55,0.0,89.4,7.09,0.0,0.78,26.27,0.0,0.0,134.72,0.0,2.89,35.23,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,42.28,82.28,150.3,150.3,232.57,105.56,0.0,0.0,136.31,162.37,293.23,39.9,26.72,522.22,891.11,176.46,0.0,19.56,0.0,0.0,196.02,27.02,7.0,0.0,14.31,244.35,0.0,374.39,90.12,38.29,143.96,0.0,646.76,891.11,64.22,8.42,0.0,87.36,5.4,0.0,0.76,26.27,0.0,0.0,187.03,0.0,17.79,30.75,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,44.39,44.39,283.06,283.06,327.44,95.72,0.0,0.0,130.11,151.29,458.62,78.24,151.96,840.11,1297.67,187.88,63.27,15.97,0.0,0.0,267.12,27.02,16.95,0.0,4.21,315.3,0.0,677.48,92.06,50.73,162.1,0.0,982.37,1297.67,76.01,9.77,0.01,115.62,4.83,0.0,0.75,26.27,0.0,0.0,433.04,0.0,7.04,34.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,44.39,44.39,391.78,391.78,436.17,109.56,0.0,0.0,146.44,148.34,657.65,148.15,73.9,1028.04,1610.64,209.19,63.27,9.99,0.0,0.0,282.45,47.39,12.17,0.0,0.0,342.01,0.0,1021.09,96.45,51.91,99.17,0.0,1268.62,1610.64,58.41,13.14,0.01,138.39,4.01,0.0,0.75,46.64,0.0,0.0,1126.99,0.0,14.88,36.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,44.39,44.39,506.85,506.85,551.24,111.52,0.0,0.0,144.39,63.89,696.71,244.42,93.44,1098.46,1794.09,211.21,63.27,19.52,0.0,0.0,294.0,7.66,14.69,0.0,0.0,316.36,0.0,1202.69,106.22,54.69,114.13,0.0,1477.73,1794.09,65.46,26.86,0.01,130.11,2.45,0.0,0.1,7.57,0.0,0.0,1098.59,0.0,7.71,32.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,44.39,44.39,679.99,679.99,724.38,72.79,0.0,0.0,95.48,0.0,722.17,427.42,134.74,1284.33,2104.19,199.36,63.27,12.29,0.0,0.0,274.92,7.63,17.93,0.0,0.0,300.48,0.0,1340.33,93.61,186.72,183.06,0.0,1803.71,2104.19,72.19,20.97,0.02,100.61,0.94,0.0,0.25,7.53,0.0,0.0,1990.51,0.0,11.57,22.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,44.39,44.39,980.99,980.99,1025.38,9.45,2.53,41.52,55.02,0.0,1522.7,953.9,178.56,2655.16,3735.56,269.57,13.5,16.64,0.0,0.0,299.71,9.13,0.0,121.53,0.0,430.37,0.0,1993.83,113.68,1096.5,85.59,15.59,3305.19,3735.56,404.1,33.34,0.03,126.9,0.25,0.0,0.24,9.03,0.0,0.0,2899.58,5.82,4.13,1.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,88.78,88.78,1361.12,1361.12,1449.9,5.89,11.44,57.55,74.88,0.0,1750.15,1187.91,236.69,3174.75,4699.53,357.75,10.97,24.85,0.0,0.0,393.58,16.05,3.77,127.94,0.0,541.34,0.0,2878.67,163.11,960.53,123.25,32.63,4158.19,4699.53,495.65,26.66,0.04,160.48,0.35,44.39,0.22,15.96,0.0,0.0,3949.66,7.82,22.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,88.78,88.78,1876.09,1876.09,1964.87,0.0,0.0,62.9,62.9,0.0,2097.26,1456.58,293.18,3847.02,5874.79,440.22,8.42,41.66,0.0,0.0,490.3,18.51,8.04,184.41,0.0,701.25,0.0,3677.94,163.79,1136.55,185.73,9.52,5173.53,5874.79,750.47,36.26,0.06,197.31,0.52,44.39,0.19,18.42,0.0,0.0,2869.57,10.17,20.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,88.78,88.78,2435.18,2435.18,2523.96,0.0,0.0,71.76,71.76,806.27,857.73,1536.1,311.2,3511.3,6107.02,590.34,5.89,32.87,0.0,0.0,629.11,26.57,9.35,203.72,0.0,868.75,0.0,3867.19,152.02,888.93,313.42,16.71,5238.27,6107.02,695.21,32.37,0.07,220.39,0.73,44.39,0.22,26.48,0.0,0.0,1002.67,10.62,25.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,88.78,88.78,3003.23,3003.23,3092.01,0.0,0.0,87.45,87.45,99.79,1939.31,308.95,344.73,2692.78,5872.24,679.86,3.37,54.93,0.0,0.0,738.16,32.63,19.67,242.83,0.0,1033.29,0.0,4047.43,187.35,210.2,389.61,4.36,4838.95,5872.24,1941.02,41.44,0.07,358.24,0.75,44.39,0.23,32.54,0.0,0.0,432.89,17.86,41.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,88.78,88.78,3425.82,3425.82,3514.6,0.0,0.0,106.92,106.92,113.05,1739.2,819.25,83.51,2755.01,6376.53,758.56,10.04,106.05,0.0,0.0,874.65,73.98,23.93,272.21,0.0,1244.77,0.0,4442.24,195.13,111.66,379.08,3.65,5131.76,6376.53,1648.67,42.31,0.07,334.7,2.65,44.39,0.22,73.89,0.0,0.0,472.47,17.31,36.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,88.78,88.78,4223.23,4223.23,4312.01,0.0,0.0,109.43,109.43,1867.09,710.66,1300.36,17.98,3896.09,8317.53,687.15,9.51,140.27,7.56,10.65,855.14,511.6,2.24,0.0,257.48,1626.46,374.53,4806.49,115.36,772.74,0.0,621.95,6691.07,8317.53,481.16,576.0,0.0,280.0,0.0,44.39,0.31,511.29,374.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,88.78,88.78,5105.21,5105.21,5193.99,0.0,0.0,103.94,103.94,1603.86,786.32,1687.05,21.25,4098.48,9396.41,921.07,30.1,40.81,0.36,22.68,1015.02,733.75,48.05,0.0,322.27,2119.09,0.0,5749.2,192.99,612.28,0.0,722.85,7277.32,9396.41,388.09,43.82,0.0,193.86,0.0,44.39,0.44,733.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,88.78,88.78,6092.94,6092.94,6181.72,0.0,0.0,118.85,118.85,2287.63,772.34,2050.94,58.34,5169.25,11469.82,1007.04,38.29,25.11,0.52,24.02,1094.98,806.7,84.76,118.97,279.15,2384.56,69.22,6719.18,358.23,1001.0,244.04,693.59,9085.26,11469.82,491.7,759.0,0.0,193.33,0.0,44.39,0.41,806.29,0.0,69.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,88.78,88.78,6736.08,6736.08,6824.86,0.0,966.75,152.46,1119.21,2133.17,509.94,2492.15,108.62,5243.88,13187.95,1964.92,64.53,10.72,3.06,24.02,2067.25,909.1,172.09,140.59,364.09,3653.12,74.01,7740.62,214.44,356.0,54.35,1095.41,9534.83,13187.95,479.77,748.0,0.0,156.71,0.0,44.39,0.44,908.66,0.0,74.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
