Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Admin. And Selling Expenses,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,2982.89,34.91,3017.8,1876.0,386.1,58.63,116.91,14.19,108.76,188.65,268.56,22.01,290.57,11.69,278.88,0.0,278.88,75.15,203.73,0.0,203.73,88.78,2.29,2.29,41.68,46.9,47.1,100.0,53.1
2013-03-31,2593.13,20.11,2613.24,1689.47,383.87,-138.21,147.64,14.95,66.63,197.33,251.56,29.51,281.07,14.21,266.86,0.0,266.86,81.89,184.97,0.0,184.97,88.78,2.08,2.08,41.68,46.9,46.84,99.5,52.8
2013-06-30,3087.79,19.88,3107.67,1789.56,484.73,146.92,130.57,14.61,104.67,206.29,230.32,38.24,268.56,17.03,251.53,0.0,251.53,69.05,182.48,0.0,182.48,88.78,2.06,2.06,41.68,46.9,46.84,99.5,52.8
2013-09-30,2290.02,38.95,2328.97,1957.88,476.93,-835.02,134.58,14.9,94.35,238.52,246.83,30.38,277.21,19.95,257.26,0.0,257.26,70.61,186.65,0.0,186.65,88.78,2.1,2.1,41.68,46.9,46.84,99.5,52.8
2013-12-31,2650.46,25.31,2675.77,1165.04,396.16,409.92,138.58,15.65,118.04,202.83,229.55,26.07,255.62,27.39,228.23,0.0,228.23,62.66,165.57,0.0,165.57,88.78,1.86,1.86,41.68,46.9,46.84,99.5,52.8
2014-03-31,2786.81,16.57,2803.38,1646.3,233.6,178.61,130.76,20.43,87.37,230.16,276.15,25.5,301.65,22.74,278.91,0.0,278.91,59.37,219.54,-13.1,206.44,88.78,2.33,2.33,41.68,46.9,46.84,99.5,52.8
2014-06-30,2853.66,37.78,2891.44,1810.45,307.95,40.84,146.19,24.34,99.25,212.38,250.04,25.4,275.44,34.97,240.47,0.0,240.47,63.2,177.27,0.0,177.27,88.78,2.0,2.0,41.68,46.9,46.84,99.5,52.8
2014-09-30,3564.67,28.4,3593.07,2461.52,293.97,-44.2,163.93,19.87,105.83,278.96,313.19,17.8,330.99,10.88,320.11,0.0,320.11,80.13,239.98,0.0,239.98,88.78,2.7,2.7,41.68,46.9,46.84,99.5,52.8
2014-12-31,2898.28,24.23,2922.51,1933.17,326.96,-96.15,154.32,23.2,96.75,231.65,252.61,11.52,264.13,21.08,243.05,0.0,243.05,52.32,190.73,0.0,190.73,88.78,2.15,2.15,41.68,46.9,47.1,100.0,53.1
2015-03-31,2474.43,21.76,2496.19,1628.85,195.06,-104.81,161.21,19.98,80.3,265.47,250.13,15.86,265.99,13.73,252.26,0.0,252.26,37.17,215.09,0.0,215.09,88.78,2.42,2.42,41.68,46.9,47.1,100.0,53.1
2015-06-30,2686.76,21.88,2708.64,1365.97,297.71,264.02,175.97,22.87,128.92,254.51,198.67,17.57,216.24,11.83,204.41,0.0,204.41,52.96,151.45,0.0,151.45,88.78,1.71,1.71,41.68,46.9,47.1,100.0,53.1
2015-09-30,2654.66,18.82,2673.48,2051.17,176.28,-250.05,180.35,24.0,89.64,224.3,177.79,13.8,191.59,8.71,182.88,0.0,182.88,36.53,146.35,0.0,146.35,88.78,1.65,1.65,0.0,0.0,0.0,0.0,0.0
2015-12-31,3398.39,27.78,3426.17,2042.78,304.17,221.79,173.8,24.82,119.49,255.26,284.06,16.2,300.26,11.37,288.89,0.0,288.89,62.74,226.15,0.0,226.15,88.78,2.55,2.55,0.0,0.0,0.0,0.0,0.0
2016-03-31,2391.49,0.0,2391.49,1948.65,178.07,-436.07,135.17,22.92,90.98,265.85,185.92,25.74,211.66,10.37,201.29,0.0,201.29,14.41,186.88,0.0,186.88,88.78,2.1,2.1,0.0,0.0,0.0,0.0,0.0
2016-06-30,2748.67,0.0,2748.67,1738.74,186.72,37.76,178.62,23.54,102.69,218.37,262.23,13.25,275.48,8.79,266.69,-90.56,176.13,46.84,129.29,0.0,129.29,88.78,1.46,1.46,0.0,0.0,0.0,0.0,0.0
2016-09-30,2636.44,15.94,2652.38,1951.13,281.46,-428.99,181.6,25.96,98.08,292.75,250.39,11.71,262.1,11.71,250.39,-2.98,247.41,66.65,180.76,0.0,180.76,88.78,2.04,2.04,0.0,0.0,0.0,0.0,0.0
2016-12-31,3871.34,20.73,3892.07,2137.32,281.43,545.19,191.22,26.92,119.47,243.93,346.59,12.75,359.34,8.4,350.94,-0.6,350.34,94.59,255.75,0.0,255.75,88.78,2.88,2.88,0.0,0.0,0.0,0.0,0.0
2017-03-31,3429.7,0.0,3429.7,2638.17,378.26,-446.35,175.5,22.42,130.33,281.69,249.68,27.26,276.94,8.23,268.71,-2.23,266.48,65.77,200.71,0.0,200.71,88.78,2.26,2.26,0.0,0.0,0.0,0.0,0.0
2017-06-30,3909.94,0.0,3909.94,2321.35,531.53,104.77,181.6,24.78,105.92,276.0,363.99,27.59,391.58,10.58,381.0,-10.3,370.7,103.79,266.91,0.0,266.91,88.78,3.01,3.01,0.0,0.0,0.0,0.0,0.0
2017-09-30,3378.48,0.0,3378.48,3320.07,578.13,-1415.22,183.27,25.38,105.43,186.18,395.24,44.25,439.49,14.34,425.15,-0.65,424.5,118.86,305.64,0.0,305.64,88.78,3.44,3.44,0.0,0.0,0.0,0.0,0.0
