Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Employees Cost,Depreciation,Admin. And Selling Expenses,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2022-09-30,1244.57,0.0,1244.57,243.83,41.45,0.0,22.12,105.3,831.87,7.79,839.66,366.57,473.09,0.0,473.09,124.38,348.71,348.71,169.28,4.12,4.12,0.0,0.0,0.0,0.0,0.0
2022-12-31,1242.9,0.0,1242.9,259.42,42.42,0.0,9.79,108.18,823.09,5.99,829.08,398.25,430.83,0.0,430.83,112.51,318.32,318.32,169.28,3.76,3.76,0.0,0.0,0.0,0.0,0.0
2023-03-31,1204.42,0.0,1204.42,275.23,43.79,0.0,4.31,96.36,784.73,10.75,795.48,382.62,412.86,0.0,412.86,103.74,309.12,309.12,169.28,3.65,3.65,0.0,0.0,0.0,0.0,0.0
2023-06-30,1339.78,0.0,1339.78,252.2,43.9,0.0,21.11,111.44,911.13,16.78,927.91,415.36,512.55,0.0,512.55,131.64,380.91,380.91,169.28,4.5,4.5,0.0,0.0,0.0,0.0,0.0
2023-09-30,1450.24,0.0,1450.24,244.37,47.35,0.0,30.85,126.77,1000.9,6.18,1007.08,442.72,564.36,0.0,564.36,144.45,419.91,419.91,169.29,4.96,4.96,0.0,0.0,0.0,0.0,0.0
2023-12-31,1522.05,0.0,1522.05,266.58,47.98,0.0,28.03,120.11,1059.35,6.35,1065.7,481.28,584.42,0.0,584.42,155.8,428.62,428.62,169.29,5.06,5.06,0.0,0.0,0.0,0.0,0.0
2024-03-31,1507.83,0.0,1507.83,259.02,48.6,0.0,28.41,128.18,1043.62,5.43,1049.05,488.76,560.29,0.0,560.29,131.96,428.33,428.33,169.29,5.07,5.07,0.0,0.0,0.0,0.0,0.0
2024-06-30,1620.5,0.0,1620.5,276.91,48.75,0.0,53.27,126.05,1115.52,1.79,1117.31,543.97,573.34,19.78,593.12,152.54,440.58,440.58,169.29,5.21,5.21,0.0,0.0,0.0,0.0,0.0
2024-09-30,1748.24,0.0,1748.24,289.07,50.9,0.0,53.19,122.47,1232.61,1.42,1234.03,593.95,640.08,0.0,640.08,165.14,474.94,474.94,169.29,5.61,5.61,0.0,0.0,0.0,0.0,0.0
2024-12-31,1798.71,0.0,1798.71,297.19,51.38,0.0,77.3,134.07,1238.77,2.03,1240.8,628.67,612.13,0.0,612.13,158.74,453.39,453.39,169.29,5.36,5.36,0.0,0.0,0.0,0.0,0.0
2025-03-31,1737.95,0.95,1738.9,307.67,50.31,0.0,79.27,144.72,1156.93,2.87,1159.8,609.54,550.26,0.0,550.26,135.92,414.34,414.34,169.29,4.9,4.9,0.0,0.0,0.0,0.0,0.0
