Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Employees Cost,Depreciation,Admin. And Selling Expenses,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,586.2,0.0,586.2,80.35,15.41,5.7,0.0,62.35,422.4,11.26,433.65,309.09,124.57,0.0,124.57,40.19,84.38,84.38,168.24,1.0,1.0,57.58,68.45,20.34,76.62,24.17
2013-03-31,312.14,0.0,312.14,89.65,15.28,9.83,0.0,119.9,77.47,10.13,87.6,298.99,-211.39,0.0,-211.39,-69.96,-141.43,-141.43,168.24,-1.68,-1.68,57.58,68.45,22.94,86.41,27.26
2013-06-30,572.33,0.0,572.33,82.9,15.14,0.0,0.0,128.24,346.04,19.77,365.82,285.63,80.19,0.0,80.19,27.32,52.87,52.87,168.24,0.63,0.63,57.58,68.45,20.74,78.12,24.65
2013-09-30,518.79,25.32,544.1,73.27,18.67,0.0,0.0,80.5,371.67,0.36,372.03,266.93,105.09,0.0,105.09,35.38,69.71,69.71,168.24,0.83,0.83,57.58,68.45,23.74,89.43,28.21
2013-12-31,526.0,8.87,534.87,81.71,15.78,0.0,0.0,81.95,355.44,0.19,355.63,247.43,108.19,0.0,108.19,37.14,71.06,71.06,168.24,0.84,0.84,57.58,68.45,25.74,96.96,30.59
2014-03-31,452.63,4.81,457.44,81.49,14.31,0.0,0.0,87.75,273.9,2.29,276.18,226.61,49.57,0.0,49.57,17.2,32.37,32.37,168.24,0.38,0.38,57.58,68.45,26.24,98.85,31.19
2014-06-30,452.96,3.36,456.32,79.72,14.67,0.0,0.0,83.86,278.07,2.13,280.2,213.42,66.77,0.0,66.77,22.79,43.99,43.99,168.24,0.52,0.52,57.58,68.45,26.24,98.85,31.19
2014-09-30,500.12,2.72,502.84,72.98,13.92,9.34,11.81,66.52,328.27,1.74,330.02,213.87,116.15,0.0,116.15,39.72,76.43,76.43,168.24,0.91,0.91,57.2,67.99,26.62,98.86,31.65
2014-12-31,510.8,4.93,515.73,78.67,13.14,10.23,1.02,64.39,348.28,0.71,348.99,226.28,122.71,0.0,122.71,42.07,80.64,80.64,168.24,0.96,0.96,57.07,67.84,26.75,98.87,31.8
2015-03-31,494.09,6.75,500.84,79.54,12.16,14.38,7.72,61.78,325.27,0.63,325.9,219.1,106.8,0.0,106.8,37.12,69.68,69.68,168.24,0.83,0.83,57.07,67.84,26.75,98.87,31.8
2015-06-30,514.1,1.26,515.37,97.1,12.08,18.08,11.07,65.85,311.21,0.62,311.83,226.04,85.79,0.0,85.79,29.87,55.92,55.92,168.24,0.66,0.66,57.04,67.81,26.77,98.87,31.83
2015-09-30,515.17,4.06,519.23,97.89,12.91,14.51,5.67,70.08,318.18,1.09,319.27,226.96,92.31,0.0,92.31,33.09,59.22,59.22,168.24,0.7,0.7,56.94,67.69,26.87,98.87,31.94
2015-12-31,570.89,3.01,573.9,103.03,13.64,14.02,6.65,71.79,364.79,2.08,366.87,216.34,150.53,0.0,150.53,53.27,97.26,97.26,168.24,1.16,1.16,0.0,0.0,0.0,0.0,0.0
2016-03-31,604.58,0.0,604.58,100.73,14.46,10.11,9.09,64.86,405.33,0.54,405.87,215.59,190.28,0.0,190.28,65.44,124.84,124.84,168.24,1.48,1.48,0.0,0.0,0.0,0.0,0.0
2016-06-30,671.53,2.47,674.0,104.94,14.72,10.13,13.43,66.22,464.55,1.37,465.92,234.42,231.5,0.0,231.5,82.26,149.25,149.25,168.27,1.77,1.77,0.0,0.0,0.0,0.0,0.0
2016-09-30,751.5,2.42,753.92,110.33,14.61,17.05,13.39,66.22,532.32,0.87,533.2,259.71,273.49,0.0,273.49,93.79,179.7,179.7,168.32,2.14,2.14,0.0,0.0,0.0,0.0,0.0
2016-12-31,788.45,1.93,790.39,103.09,14.56,7.34,27.95,78.86,558.59,0.32,558.91,268.0,290.92,0.0,290.92,101.03,189.88,189.88,168.32,2.26,2.26,0.0,0.0,0.0,0.0,0.0
2017-03-31,788.71,0.0,788.71,102.57,14.37,9.16,0.83,102.77,559.01,0.39,559.4,240.43,318.97,0.0,318.97,111.76,207.21,207.21,168.38,2.46,2.46,0.0,0.0,0.0,0.0,0.0
2017-06-30,718.65,0.0,718.65,113.68,14.74,7.36,7.51,106.8,468.56,19.69,488.25,200.65,287.6,0.0,287.6,99.83,187.77,187.77,168.39,2.23,2.23,0.0,0.0,0.0,0.0,0.0
2017-09-30,716.08,0.0,716.08,125.38,15.2,0.0,0.0,129.43,446.07,0.86,446.92,188.08,258.84,0.0,258.84,88.66,170.18,170.18,168.39,2.02,2.02,0.0,0.0,0.0,0.0,0.0
2017-12-31,741.68,0.0,741.68,130.85,15.17,0.0,0.0,134.98,460.69,0.54,461.22,196.44,264.79,0.0,264.79,92.08,172.71,172.71,168.39,2.05,2.04,0.0,0.0,0.0,0.0,0.0
2018-03-31,751.78,0.0,751.78,134.21,15.86,0.0,0.0,141.18,460.53,0.58,461.11,205.78,255.33,0.0,255.33,85.82,169.51,169.51,168.51,2.02,2.01,0.0,0.0,0.0,0.0,0.0
2018-06-30,781.05,0.0,781.05,137.34,16.98,0.0,11.35,123.77,491.62,1.75,493.37,227.72,265.65,0.0,265.65,94.49,171.16,171.16,168.51,2.04,2.03,0.0,0.0,0.0,0.0,0.0
2018-09-30,848.77,0.0,848.77,142.47,17.08,0.0,10.98,130.67,547.56,2.11,549.67,245.79,303.87,0.0,303.87,110.07,193.81,193.81,168.56,2.29,2.29,0.0,0.0,0.0,0.0,0.0
2018-12-31,897.67,0.0,897.67,143.05,17.15,0.0,1.4,133.59,602.47,3.28,605.75,271.87,333.89,0.0,333.89,121.97,211.92,211.92,168.56,2.52,2.51,0.0,0.0,0.0,0.0,0.0
2019-03-31,890.72,0.0,890.72,157.31,17.27,0.0,2.25,129.02,584.88,1.85,586.72,272.4,314.33,0.0,314.33,100.76,213.57,213.57,168.56,2.54,2.53,0.0,0.0,0.0,0.0,0.0
2019-06-30,949.38,0.0,949.38,156.41,38.7,0.0,18.58,97.64,638.05,1.13,639.18,303.88,335.3,0.0,335.3,115.0,220.3,220.3,168.65,2.61,2.6,0.0,0.0,0.0,0.0,0.0
2019-09-30,1043.05,0.0,1043.05,160.02,38.48,0.0,13.91,98.43,732.21,34.24,766.45,338.9,427.55,0.0,427.55,91.38,336.17,336.17,168.65,3.95,3.94,0.0,0.0,0.0,0.0,0.0
2019-12-31,1131.04,0.0,1131.04,168.24,37.21,0.0,15.4,99.38,810.81,2.26,813.07,356.65,456.42,0.0,456.42,122.36,334.06,334.06,169.0,3.96,3.95,0.0,0.0,0.0,0.0,0.0
2020-03-31,1187.82,0.0,1187.82,164.45,39.68,0.0,36.96,97.5,849.23,3.26,852.49,391.77,460.72,0.0,460.72,120.96,339.76,339.76,169.0,4.03,4.01,0.0,0.0,0.0,0.0,0.0
2020-06-30,1224.5,0.0,1224.5,133.57,41.66,0.0,50.08,73.16,926.03,1.4,927.43,432.58,494.85,0.0,494.85,125.74,369.11,369.11,169.04,4.37,4.36,0.0,0.0,0.0,0.0,0.0
2020-09-30,1279.36,0.0,1279.36,161.6,38.39,0.0,38.25,69.56,971.56,14.64,986.2,442.34,543.86,0.0,543.86,138.3,405.56,405.56,169.23,4.8,4.8,0.0,0.0,0.0,0.0,0.0
2020-12-31,1352.93,0.0,1352.93,157.42,36.72,0.0,29.53,70.71,1058.55,1.93,1060.48,437.49,622.99,0.0,622.99,157.7,465.29,465.29,169.24,5.5,5.5,0.0,0.0,0.0,0.0,0.0
2021-03-31,1315.46,0.0,1315.46,172.07,38.9,0.0,12.06,80.3,1012.13,3.28,1015.41,407.57,607.84,0.0,607.84,149.89,457.95,457.95,169.27,5.41,5.41,0.0,0.0,0.0,0.0,0.0
2021-06-30,1237.51,0.0,1237.51,168.0,38.27,0.0,29.58,73.47,928.19,5.52,933.71,363.27,570.44,0.0,570.44,145.23,425.21,425.21,169.27,5.02,5.02,0.0,0.0,0.0,0.0,0.0
2021-09-30,1169.89,0.0,1169.89,211.01,34.26,0.0,10.38,100.85,813.39,0.5,813.89,339.63,474.26,0.0,474.26,119.26,355.0,355.0,169.28,4.19,4.19,0.0,0.0,0.0,0.0,0.0
2021-12-31,1100.67,0.0,1100.67,221.43,44.55,0.0,17.08,129.47,688.14,9.74,697.88,351.97,345.91,0.0,345.91,86.85,259.06,259.06,169.28,3.06,3.06,0.0,0.0,0.0,0.0,0.0
2022-03-31,1054.73,0.0,1054.73,207.94,40.38,0.0,23.66,95.09,687.66,8.44,696.1,336.93,359.17,0.0,359.17,93.9,265.27,265.27,169.28,3.13,3.13,0.0,0.0,0.0,0.0,0.0
2022-06-30,1109.9,0.0,1109.9,224.09,34.96,0.0,8.84,102.03,739.98,0.55,740.53,350.97,389.56,0.0,389.56,99.44,290.12,290.12,169.28,3.43,3.43,0.0,0.0,0.0,0.0,0.0
