Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Employees Cost,Depreciation,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,4464.89,0.48,4465.37,19.3,1.53,0.0,18.02,4426.52,0.82,4427.34,2916.83,1510.51,1510.51,393.41,1117.1,1117.1,1320.01,8.46,8.46,34.7,26.28,97.31,100.0,73.72
2013-03-31,4652.63,10.89,4663.52,23.42,1.45,0.0,17.73,4620.92,6.82,4627.74,2901.78,1725.96,1725.96,431.83,1294.13,1294.13,1320.02,9.8,9.8,34.7,26.28,97.31,100.0,73.72
2013-06-30,5014.05,0.75,5014.8,23.09,1.27,0.0,7.57,4982.87,2.3,4985.17,3263.09,1722.08,1722.08,523.84,1198.24,1198.24,1320.02,9.08,9.08,34.7,26.28,97.31,100.0,73.72
2013-09-30,5321.26,11.03,5332.29,19.29,1.2,0.0,51.59,5260.21,4.67,5264.88,3475.19,1789.69,1789.69,515.9,1273.79,1273.79,1320.04,9.65,9.65,34.7,26.29,97.31,100.0,73.71
2013-12-31,5539.08,0.15,5539.23,20.76,1.24,0.0,18.16,5499.07,8.08,5507.15,3452.26,2054.89,2054.89,520.58,1534.31,1534.31,1320.04,11.62,11.62,34.7,26.29,97.31,100.0,73.71
2014-03-31,5498.75,133.61,5632.36,16.42,1.22,0.0,69.21,5545.51,3.73,5549.24,3557.59,1991.65,1991.65,580.24,1411.41,1411.41,1320.04,10.69,10.69,35.91,27.2,96.1,100.0,72.8
2014-06-30,5880.35,38.04,5918.39,20.79,1.47,0.0,31.91,5864.22,5.51,5869.73,3865.7,2004.03,2004.03,555.77,1448.26,1448.26,1320.04,10.97,10.97,35.91,27.2,96.1,100.0,72.8
2014-09-30,6219.81,84.89,6304.7,22.96,1.56,0.0,34.88,6245.3,4.35,6249.65,4228.22,2021.43,2021.43,612.85,1408.58,1408.58,1320.04,10.67,10.67,35.91,27.2,96.1,100.0,72.8
2014-12-31,6346.74,87.91,6434.65,20.03,1.46,0.0,57.99,6355.17,3.7,6358.87,4205.94,2152.93,2152.93,611.2,1541.73,1541.73,1320.04,11.68,11.68,35.91,27.2,96.1,100.0,72.8
2015-03-31,6331.16,58.41,6389.57,19.42,1.6,0.0,3.11,6365.44,31.92,6397.36,4197.53,2199.83,2199.83,639.08,1560.75,1560.75,1320.04,11.03,11.03,35.91,27.2,96.1,100.0,72.8
2015-06-30,6709.32,45.97,6755.29,23.03,1.3,0.0,156.61,6574.35,3.77,6578.12,4284.83,2293.29,2293.29,717.08,1576.21,1576.21,1320.04,11.94,11.94,35.91,27.2,96.09,100.0,72.8
2015-09-30,6891.4,130.62,7022.02,22.43,1.45,0.0,12.47,6985.67,2.07,6987.74,4525.37,2462.37,2462.37,767.07,1695.3,1695.3,1320.04,12.84,12.84,42.51,32.2,89.49,100.0,67.8
2015-12-31,6870.58,120.7,6991.28,23.48,1.68,0.0,11.11,6955.01,2.82,6957.83,4622.61,2335.22,2335.22,752.9,1582.32,1582.32,1320.04,5.99,5.99,0.0,0.0,0.0,0.0,0.0
2016-03-31,6608.14,96.85,6704.99,21.43,1.74,0.0,614.35,6067.47,82.0,6149.47,4179.69,1969.78,1969.78,710.13,1259.65,1259.65,1320.04,4.77,4.77,0.0,0.0,0.0,0.0,0.0
2016-06-30,7072.05,33.55,7105.6,25.26,1.18,0.0,4642.28,2436.88,53.06,2489.94,0.0,2489.94,2489.94,777.39,1712.55,1712.55,1320.04,12.97,12.97,0.0,0.0,0.0,0.0,0.0
2016-09-30,6856.9,71.49,6928.39,26.38,1.35,0.0,4308.25,2592.41,71.37,2663.78,0.0,2663.78,2663.78,790.36,1873.42,1873.42,2640.08,7.1,7.1,0.0,0.0,0.0,0.0,0.0
2016-12-31,6827.36,182.81,7010.17,28.9,1.39,0.0,4213.49,2766.39,52.91,2819.3,0.0,2819.3,2819.3,869.39,1949.91,1949.91,2640.08,7.39,7.39,0.0,0.0,0.0,0.0,0.0
2017-03-31,5513.77,158.3,5672.07,34.43,1.64,0.0,4524.79,1111.21,125.0,1236.21,4099.44,-2863.23,-2863.23,546.26,-3409.49,-3409.49,2640.08,-12.92,-12.92,0.0,0.0,0.0,0.0,0.0
2017-06-30,6779.82,100.56,6880.38,38.44,1.19,412.7,170.01,6258.04,51.52,6309.56,4156.17,2153.39,2153.39,724.8,1428.59,1428.59,2640.08,5.41,5.41,0.0,0.0,0.0,0.0,0.0
2017-09-30,6897.06,136.36,7033.42,36.15,1.39,121.97,25.25,6848.66,75.15,6923.81,4308.2,2615.61,2615.61,729.02,1886.59,1886.59,2640.08,7.15,7.15,0.0,0.0,0.0,0.0,0.0
2017-12-31,6127.46,67.31,6194.77,37.07,1.87,-219.37,29.18,6346.02,125.82,6471.84,4359.49,2112.35,2112.35,507.92,1604.43,1604.43,2640.08,6.07,6.07,0.0,0.0,0.0,0.0,0.0
2018-03-31,6016.52,145.86,6162.38,55.12,1.96,500.06,-7.04,5612.28,214.3,5826.58,4380.99,1445.59,1445.59,509.99,935.6,935.6,2640.08,3.55,3.55,0.0,0.0,0.0,0.0,0.0
2018-06-30,6560.28,467.22,7027.5,44.79,1.21,0.0,24.54,6956.96,24.55,6981.51,4940.62,2040.89,2040.89,667.63,1373.26,1373.26,2640.08,5.2,5.2,0.0,0.0,0.0,0.0,0.0
2018-09-30,7407.08,0.0,7407.08,43.72,1.34,0.0,639.46,6722.56,5.59,6728.15,4671.78,2056.37,2056.37,701.25,1355.12,1355.12,2640.08,5.13,5.13,0.0,0.0,0.0,0.0,0.0
2018-12-31,7362.29,0.0,7362.29,47.26,1.65,0.0,-235.59,7548.97,1.6,7550.57,4790.07,2760.5,2760.5,684.66,2075.84,2075.84,2640.08,7.86,7.86,0.0,0.0,0.0,0.0,0.0
2019-03-31,7701.12,0.0,7701.12,37.8,1.93,0.0,-233.02,7894.41,1.52,7895.93,4979.93,2916.0,2916.0,798.44,2117.56,2117.56,2640.08,8.02,8.02,0.0,0.0,0.0,0.0,0.0
2019-06-30,7580.62,0.0,7580.62,49.98,1.75,0.0,226.45,7302.44,4.68,7307.12,5366.49,1940.63,1940.63,557.87,1382.76,1382.76,2640.08,5.24,5.24,0.0,0.0,0.0,0.0,0.0
2019-09-30,8022.54,0.0,8022.54,59.12,2.02,0.0,795.37,7166.03,1.75,7167.78,5439.13,1728.65,1728.65,571.39,1157.26,1157.26,2640.08,4.38,4.38,0.0,0.0,0.0,0.0,0.0
2019-12-31,8210.66,0.0,8210.66,46.75,2.46,-53.35,324.82,7889.98,0.96,7890.94,5495.49,2395.45,2395.45,715.33,1680.12,1680.12,2640.08,6.36,6.36,0.0,0.0,0.0,0.0,0.0
2020-03-31,9552.38,0.0,9552.38,37.97,2.9,432.7,1400.88,7677.93,0.2,7678.13,5550.32,2127.81,2127.81,692.81,1435.0,1435.0,2640.08,5.44,5.44,0.0,0.0,0.0,0.0,0.0
2020-06-30,8757.67,0.0,8757.67,50.55,1.94,353.04,566.36,7785.78,16.75,7802.53,5676.18,2126.35,2126.35,426.79,1699.56,1699.56,2640.08,6.44,6.44,0.0,0.0,0.0,0.0,0.0
2020-09-30,9231.0,0.0,9231.0,48.07,2.4,953.17,-96.66,8324.02,0.95,8324.97,5829.42,2495.55,2495.55,410.5,2085.05,2085.05,2640.08,7.9,7.9,0.0,0.0,0.0,0.0,0.0
2020-12-31,10083.91,0.0,10083.91,52.19,3.16,1397.21,-43.48,8674.83,1.87,8676.7,5885.11,2791.59,2791.59,458.8,2332.79,2332.79,2640.08,8.84,8.84,0.0,0.0,0.0,0.0,0.0
2021-03-31,9672.29,0.0,9672.29,43.81,3.67,792.98,236.36,8595.47,2.13,8597.6,5803.78,2793.82,2793.82,467.21,2326.61,2326.61,2640.08,8.81,8.81,0.0,0.0,0.0,0.0,0.0
2021-06-30,9325.61,0.0,9325.61,48.51,2.8,450.54,325.35,8498.41,0.44,8498.85,5739.31,2759.54,2759.54,485.95,2273.59,2273.59,2640.08,8.61,8.61,0.0,0.0,0.0,0.0,0.0
2021-09-30,9722.93,0.0,9722.93,53.03,3.59,456.27,190.49,9019.55,36.29,9055.84,5672.41,3383.43,3383.43,624.78,2758.65,2758.65,2640.08,10.45,10.45,0.0,0.0,0.0,0.0,0.0
2021-12-31,9626.49,0.0,9626.49,55.64,3.96,963.58,36.2,8567.11,5.01,8572.12,5687.52,2884.6,2884.6,504.39,2380.21,2380.21,2640.08,9.02,9.02,0.0,0.0,0.0,0.0,0.0
2022-03-31,9870.37,0.0,9870.37,55.93,2.85,351.75,691.73,8768.11,4.03,8772.14,5572.06,3200.08,3200.08,590.63,2609.45,2609.45,2640.08,9.88,9.88,0.0,0.0,0.0,0.0,0.0
2022-06-30,9033.52,0.0,9033.52,53.71,4.78,171.72,804.87,7998.44,3.03,8001.47,5461.58,2539.89,2539.89,430.37,2109.52,2109.52,2640.08,7.99,7.99,0.0,0.0,0.0,0.0,0.0
2022-09-30,10078.11,0.0,10078.11,51.11,4.09,151.83,516.67,9354.41,0.34,9354.75,5684.78,3669.97,3669.97,671.22,2998.75,2998.75,2640.08,11.36,11.36,0.0,0.0,0.0,0.0,0.0
2022-12-31,10355.23,0.0,10355.23,61.16,5.01,-125.56,748.74,9665.88,9.17,9675.05,5995.5,3679.55,3679.55,674.62,3004.93,3004.93,2640.08,11.38,11.38,0.0,0.0,0.0,0.0,0.0
2023-03-31,10184.89,0.0,10184.89,53.03,5.18,-494.2,200.3,10420.58,1.34,10421.92,6140.71,4281.21,4281.21,788.94,3492.27,3492.27,2640.08,13.23,13.23,0.0,0.0,0.0,0.0,0.0
2023-06-30,10138.94,0.0,10138.94,58.06,3.64,2.15,-213.4,10288.49,3.24,10291.73,6620.69,3671.04,3671.04,664.1,3006.94,3006.94,2640.08,11.39,11.39,0.0,0.0,0.0,0.0,0.0
2023-09-30,11787.33,0.0,11787.33,63.39,3.94,-98.88,71.75,11747.13,1.16,11748.29,6963.14,4785.15,4785.15,937.72,3847.43,3847.43,3300.1,11.66,11.66,0.0,0.0,0.0,0.0,0.0
2023-12-31,11852.5,0.0,11852.5,63.66,5.11,262.6,199.92,11321.21,1.83,11323.04,7173.51,4149.53,4149.53,772.33,3377.2,3377.2,3300.1,10.23,10.23,0.0,0.0,0.0,0.0,0.0
2024-03-31,12243.69,0.0,12243.69,57.61,5.71,-337.02,246.39,12271.0,5.41,12276.41,7256.44,5019.97,5019.97,884.52,4135.45,4135.45,3300.1,12.53,12.53,0.0,0.0,0.0,0.0,0.0
2024-06-30,11910.1,0.0,11910.1,62.87,3.68,62.02,-250.61,12032.14,6.14,12038.28,7499.01,4539.27,4539.27,821.39,3717.88,3717.88,3300.1,11.27,11.27,0.0,0.0,0.0,0.0,0.0
2024-09-30,13206.57,0.0,13206.57,58.94,4.29,-124.1,323.01,12944.43,8.74,12953.17,7500.68,5452.49,5452.49,1082.05,4370.44,4370.44,3300.1,13.24,13.24,0.0,0.0,0.0,0.0,0.0
2024-12-31,13043.69,0.0,13043.69,64.04,5.41,74.48,106.25,12793.51,8.84,12802.35,7723.05,5079.3,5079.3,924.38,4154.92,4154.92,3300.1,12.59,12.59,0.0,0.0,0.0,0.0,0.0
2025-03-31,14938.86,0.0,14938.86,87.13,6.45,444.71,493.18,13907.39,4.82,13912.21,7810.9,6101.31,6101.31,992.36,5108.95,5108.95,3300.1,15.48,15.48,0.0,0.0,0.0,0.0,0.0
