Date,(a) Int. /Disc. on Adv/Bills,(b) Income on Investment,(c) Int. on balances With RBI,(d) Others,Other Income,Interest Expended,Employees Cost,Other Expenses,Operating Profit before Provisions and contingencies,Provisions And Contingencies,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,a) % of Share by Govt.,b) Capital Adequacy Ratio - Basel -I,c) Capital Adequacy Ratio - Basel -II,Basic EPS,Diluted EPS,i) Gross NPA,ii) Net NPA,i) % of Gross NPA,ii) % of Net NPA,Return on Assets %,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,4134.91,1123.29,74.94,0.0,513.84,3951.59,606.39,271.95,1017.05,810.97,0.0,206.08,89.58,116.5,0.0,116.5,797.0,9989.4,69.62,10.78,11.65,1.46,1.46,6515.57,3595.14,4.13,2.33,0.19,24.21,30.38,55.49,100.0,69.62
2013-03-31,3999.82,1122.04,68.04,36.88,671.37,3930.87,517.53,303.61,1146.14,1186.56,0.0,-40.42,-99.28,58.86,0.0,58.86,924.1,10888.66,73.8,10.74,11.85,0.72,0.72,6607.96,4027.21,4.02,2.5,0.09,24.21,26.2,68.2,100.0,73.8
2013-06-30,4153.24,1172.45,76.94,0.0,784.52,4086.42,705.47,340.84,1054.42,843.01,0.0,211.41,85.61,125.8,0.0,125.8,924.1,10888.66,73.8,0.0,11.28,1.36,1.36,7431.69,4580.4,4.45,2.81,0.19,24.21,26.2,68.2,100.0,73.8
2013-09-30,4368.61,1239.23,61.0,0.0,330.91,4217.02,668.48,323.25,791.0,619.9,0.0,171.1,38.55,132.55,0.0,132.55,924.1,10888.66,73.8,0.0,0.0,1.43,1.43,8201.56,4874.94,4.65,2.83,0.2,24.21,26.2,68.2,100.0,73.8
2013-12-31,4337.75,1281.28,78.31,0.0,492.92,4339.39,587.56,302.58,960.73,811.24,0.0,149.49,74.42,75.07,0.0,75.07,1153.85,10888.66,79.01,0.0,0.0,0.78,0.78,9168.08,5481.11,5.27,3.24,0.11,24.21,20.99,91.17,100.0,79.01
2014-03-31,4422.84,1297.25,154.66,0.0,601.18,4464.09,401.11,419.64,1191.09,1204.26,324.2,311.03,42.7,268.33,0.0,268.33,1235.35,13289.1,73.8,0.0,11.15,2.29,2.29,9020.48,5658.12,4.98,3.2,0.39,32.36,26.2,91.17,100.0,73.8
2014-06-30,4564.61,1290.98,94.28,57.17,277.65,4580.16,684.34,333.78,686.41,299.27,0.0,387.14,115.42,271.72,0.0,271.72,1235.35,13289.1,73.8,0.0,0.0,2.2,2.2,10350.83,6643.62,5.84,3.85,0.39,32.36,26.2,91.17,100.0,73.8
2014-09-30,4504.08,1324.1,134.13,0.0,478.46,4617.85,711.27,382.21,729.44,892.38,0.0,-162.94,82.57,-245.51,0.0,-245.51,1235.35,13289.1,73.8,0.0,0.0,-1.99,-1.99,13333.75,9108.69,7.35,5.17,-0.35,32.36,26.2,91.17,100.0,73.8
2014-12-31,4533.35,1398.06,127.82,0.0,588.22,4702.37,851.2,367.56,726.32,1183.04,0.0,-456.72,59.31,-516.03,0.0,-516.03,1235.35,13289.1,73.8,0.0,0.0,-4.18,-4.18,14500.51,9511.15,8.12,5.52,-0.72,32.36,26.2,91.17,100.0,73.8
2015-03-31,4343.54,1456.6,109.62,0.0,794.27,4653.99,402.72,467.14,1180.18,986.23,150.0,343.95,308.45,35.5,0.0,35.5,1235.35,13153.46,73.8,0.0,0.0,0.29,0.29,14922.45,9813.33,8.33,5.68,0.05,32.36,26.2,91.17,100.0,73.8
2015-06-30,4386.67,1640.97,109.63,0.0,534.84,4808.25,947.39,360.16,556.31,663.57,0.0,-107.26,-122.02,14.76,0.0,14.76,1235.35,13153.46,73.8,0.0,0.0,0.12,0.12,16451.2,10640.43,9.4,6.31,0.02,32.36,26.2,91.17,100.0,73.8
2015-09-30,4283.88,1619.26,92.59,0.0,774.21,4597.67,769.13,412.97,990.17,1557.76,170.0,-397.59,153.24,-550.83,0.0,-550.83,1235.35,13153.46,73.8,0.0,0.0,-4.46,-4.46,19423.75,12539.23,11.0,7.41,-0.74,32.36,26.2,91.17,100.0,73.8
2015-12-31,4197.51,1629.01,86.08,0.0,533.18,4564.83,891.52,364.73,624.7,1896.06,0.0,-1271.36,153.7,-1425.06,0.0,-1425.06,1720.97,13153.46,81.19,0.0,0.0,-8.67,-8.67,22672.4,14173.75,12.64,8.32,-1.89,0.0,0.0,0.0,0.0,0.0
2016-03-31,3794.26,1594.27,83.16,0.0,686.03,4163.83,782.34,497.27,714.28,2666.16,0.0,-1951.88,-1015.69,-936.19,0.0,-936.19,1807.26,10621.28,77.32,0.0,0.0,-5.56,-5.56,30048.63,19212.57,17.4,11.89,-1.25,0.0,0.0,0.0,0.0,0.0
2016-06-30,3737.22,1374.32,104.0,0.0,652.9,3970.47,820.08,387.34,690.55,2137.81,0.0,-1447.26,3.24,-1450.5,0.0,-1450.5,1899.01,10621.28,73.58,0.0,0.0,-7.86,-7.86,33913.15,21321.24,20.48,13.97,-2.0,0.0,0.0,0.0,0.0,0.0
2016-09-30,3649.26,1221.18,121.55,0.0,969.63,3706.18,729.78,461.62,1064.04,1697.56,0.0,-633.52,131.61,-765.13,0.0,-765.13,2454.73,10621.28,79.56,0.0,0.0,-4.02,-4.02,34724.12,20765.31,21.77,14.3,-1.1,0.0,0.0,0.0,0.0,0.0
2016-12-31,3500.35,1254.03,127.11,0.0,718.01,3546.73,807.29,390.84,854.64,1406.03,0.0,-551.39,3.05,-554.44,0.0,-554.44,2454.73,10621.28,79.56,0.0,0.0,-2.26,-2.26,34502.13,19900.75,22.42,14.32,-0.79,0.0,0.0,0.0,0.0,0.0
2017-03-31,3166.21,1359.96,63.89,39.54,1032.1,3305.64,687.53,627.54,1040.99,1789.74,0.0,-748.75,-102.09,-646.66,0.0,-646.66,2454.73,9124.38,79.56,0.0,0.0,-2.63,-2.63,35098.25,19749.32,22.39,13.99,-0.93,0.0,0.0,0.0,0.0,0.0
2017-06-30,2818.73,1287.75,80.72,0.0,987.3,3162.59,791.04,444.27,776.6,1607.88,0.0,-831.28,-332.19,-499.09,0.0,-499.09,2454.73,9124.38,79.56,0.0,0.0,-2.03,-2.03,35453.12,20165.61,23.6,14.97,-0.74,0.0,0.0,0.0,0.0,0.0
2017-09-30,3335.57,1214.46,95.74,0.0,964.58,3125.39,709.33,737.07,1038.56,2238.09,0.0,-1199.53,22.97,-1222.5,0.0,-1222.5,2852.56,9124.38,82.41,0.0,0.0,-4.72,-4.72,34708.59,18949.55,22.73,13.86,-1.82,0.0,0.0,0.0,0.0,0.0
