Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Equity Share Application Money,Deferred Tax Liabilities [Net],Raw Materials,"Stores, Spares And Loose Tools",Preference Share Capital,Current Investments,Capital Goods,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2004-03-31,1752.61,1761.8,-278.08,-278.08,1483.72,1385.82,0.0,0.0,2319.68,3226.17,1512.08,115.73,5.4,4859.38,8895.08,4763.61,0.0,3.2,0.0,0.0,4766.81,0.0,1524.31,0.0,61.05,6352.18,1189.35,809.33,27.33,516.9,0.0,2542.91,8895.08,749.0,68.66,0.0,4294.46,0.0,0.0,0.0,0.0,933.86,7626.98,0.0,9.19,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232.3,0.0,0.0,0.0,0.0,0.0
2005-03-31,1752.61,1761.8,401.83,401.83,2163.63,3192.39,0.0,0.0,4096.57,274.14,2222.61,144.53,278.95,2920.22,9180.42,4404.85,0.0,77.98,0.0,0.0,4482.82,0.0,982.16,0.0,30.53,5495.51,1911.62,960.8,9.16,803.34,0.0,3684.92,9180.42,796.98,78.15,0.0,5662.01,0.0,0.0,0.0,0.0,904.18,10335.11,0.0,9.19,0.0,1.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,1752.62,1761.8,633.54,633.54,2395.34,3253.07,0.0,0.0,4119.07,54.2,2131.73,147.19,182.47,2515.59,9030.01,4095.88,0.0,409.23,0.0,0.0,4505.11,27.28,728.87,0.0,0.0,5261.25,1890.7,1153.02,5.19,719.85,0.0,3768.75,9030.01,861.53,74.72,2.04,11917.19,0.0,27.28,0.0,0.0,866.0,16416.83,0.0,9.19,0.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,1752.62,1761.8,994.99,994.99,2756.8,2346.11,0.0,0.0,3205.07,22.2,2804.48,145.51,181.53,3153.72,9115.59,4261.42,0.0,98.71,0.0,0.0,4360.13,27.28,260.01,0.0,0.0,4647.41,2498.27,1194.87,132.9,635.81,6.33,4468.17,9115.59,669.59,99.54,1.09,11615.27,0.0,27.28,0.0,0.0,858.96,18528.38,0.0,9.19,0.0,1.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,1752.64,1761.82,2021.12,2021.12,3782.94,2008.81,0.0,0.0,2830.13,49.26,4556.59,128.78,1017.98,5752.6,12365.67,3970.6,2.2,133.67,0.0,0.0,4106.47,645.14,290.54,0.0,0.0,5042.14,3624.3,2204.7,406.66,1087.85,0.03,7323.53,12365.67,746.67,37.45,1.62,11141.45,0.0,645.14,0.0,0.0,821.32,25271.25,0.0,9.19,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,1752.65,1761.83,2967.57,2967.57,4729.4,1982.15,0.0,0.0,2754.89,4.66,2970.25,159.07,1607.81,4741.78,12226.07,3641.41,8.34,414.95,0.0,0.0,4064.7,642.89,204.19,0.0,0.0,4911.78,1890.43,1286.98,1771.12,2357.59,8.17,7314.29,12226.07,5739.54,75.0,2.22,11636.18,0.0,642.89,0.0,0.0,772.74,28804.03,0.0,9.19,0.0,1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,1752.66,1761.85,3834.7,3834.7,5596.55,1497.07,0.0,0.0,2211.03,199.33,6192.6,117.28,2098.08,8607.29,16414.87,3283.43,8.93,1860.29,0.0,0.0,5152.64,1623.66,53.74,0.0,0.0,6830.04,3114.36,1657.22,2344.01,2469.24,0.0,9584.83,16414.87,9788.6,33.27,2.03,11041.34,0.55,1623.66,0.0,0.0,713.96,26296.06,0.0,9.19,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,1752.66,1761.85,4767.05,4767.05,6528.9,1065.67,3.36,23.48,1439.67,59.9,8892.21,1101.21,479.24,10532.56,18501.13,3081.85,7.76,3995.34,0.0,0.0,7084.95,15.0,0.0,1561.31,1.3,8662.56,4097.38,2530.08,2467.65,658.26,57.92,9838.57,18501.13,6027.9,10.53,3.38,14602.47,0.69,15.0,27.28,0.0,347.16,30659.69,65.94,9.19,27.28,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,1752.66,1757.26,5471.94,5471.94,7229.19,3891.91,2.03,28.87,4375.95,1859.79,11104.66,1281.94,304.56,14550.95,26156.09,4052.5,7.34,7089.17,0.0,0.0,11149.02,15.0,0.0,753.05,2.14,11919.21,7817.58,3459.27,2234.72,576.12,121.93,14236.88,26156.09,6169.64,15.92,4.24,23418.32,0.0,15.0,27.28,0.0,453.14,47618.65,31.63,4.59,27.28,139.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,1752.66,1752.66,4715.03,4715.03,6467.69,5780.79,0.03,45.14,6560.29,1199.0,10960.76,1413.09,100.38,13673.24,26701.22,5776.85,3.78,7554.48,0.0,0.0,13335.11,15.0,0.0,469.92,97.44,13917.47,6715.26,3972.7,1605.86,474.89,15.05,12783.75,26701.22,4443.55,202.97,2.15,32179.85,0.0,15.0,0.0,0.0,734.33,55869.09,53.42,0.0,0.0,11.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,1752.66,1752.66,5316.21,5316.21,7068.87,8853.57,1.9,46.7,9372.43,0.0,21031.17,1923.76,121.44,23076.37,39517.68,5989.61,1.81,8551.55,0.0,0.0,14542.97,15.0,0.0,273.66,269.48,15101.11,8448.96,4481.15,10672.33,723.14,90.99,24416.56,39517.68,2030.82,191.07,0.0,33952.38,0.0,15.0,0.0,0.0,470.27,65395.16,85.65,0.0,0.0,5.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,1752.66,1752.66,3552.3,3552.3,5304.96,7864.65,0.01,34.63,7899.29,10.87,18336.95,2573.91,209.74,21131.47,34335.72,14108.71,0.54,1377.51,0.0,0.0,15486.76,1349.67,0.0,358.33,261.42,17456.18,3399.61,2358.82,10268.71,690.0,162.42,16879.55,34335.72,1013.22,245.63,0.0,19507.84,0.0,1349.67,0.0,0.0,0.0,48832.88,22.86,0.0,0.0,30.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,1752.66,1752.66,4678.71,4678.71,6431.37,6806.04,0.0,40.37,6846.41,2.56,21338.87,2310.47,354.38,24006.28,37284.07,14880.64,0.49,188.23,0.0,0.0,15069.35,1349.67,223.03,38.18,695.48,17375.71,3196.72,2395.25,13712.64,5.29,598.47,19900.57,37284.07,1020.93,3120.1,0.0,874.6,0.0,1349.67,0.0,0.0,0.0,30778.98,143.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,1752.66,1752.66,8314.76,8314.76,10067.42,4815.78,0.0,59.67,5352.11,1817.29,6033.97,2845.65,285.12,10982.03,26404.62,14158.14,2.44,219.87,0.0,0.0,14380.46,1349.64,0.0,41.6,1233.0,17004.7,4039.0,2621.16,2130.85,5.96,602.95,9399.92,26404.62,0.0,45122.0,0.0,10031.0,0.0,1349.64,0.0,3.05,476.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,1752.66,1752.66,9276.57,9276.57,11029.23,1499.48,359.55,43.41,2808.61,3077.76,4710.29,4180.93,403.76,12372.73,26214.42,14025.15,5.36,667.54,0.0,7.8,14705.85,1349.64,0.0,60.8,1647.66,17763.94,4734.72,2660.92,832.99,8.28,213.57,8450.47,26214.42,1799.45,47303.0,0.0,12716.0,0.0,1349.64,0.0,3.84,906.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,1752.66,1752.66,8974.37,8974.37,10727.03,3220.9,348.21,68.17,4652.83,4856.76,4675.04,1821.48,458.13,11811.4,27191.26,13982.79,5.57,982.5,0.0,7.8,14978.66,1502.65,0.0,92.73,1414.97,17989.0,5811.04,2322.3,487.54,11.16,570.23,9202.26,27191.26,2801.41,4144.7,0.0,2217.1,0.0,1502.65,0.0,0.0,1015.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,1752.66,1752.66,6046.87,6046.87,7799.53,7951.52,186.87,94.75,8592.74,2436.08,3271.12,3128.19,181.3,9016.69,25408.96,14222.01,9.45,1730.2,0.0,7.8,15969.46,1757.66,345.85,110.87,1055.64,19239.47,3889.98,1042.27,28.0,13.32,1195.93,6169.49,25408.96,1837.41,45138.0,0.0,16557.0,0.0,1757.66,0.0,0.0,359.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,1752.66,1752.66,5775.7,5775.7,7528.37,9922.25,976.71,114.17,11013.12,5436.99,3997.66,2217.33,552.6,12204.57,30746.06,13691.5,8.12,2359.25,0.0,7.8,16066.66,3394.84,418.78,122.58,1008.21,21011.07,6609.87,2416.47,52.06,14.89,641.7,9734.99,30746.06,1412.74,2767.41,0.0,559.35,0.0,3394.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,1752.66,1752.66,5443.67,5443.67,7196.34,14215.5,528.68,160.61,14904.8,6869.67,9367.17,1241.49,478.83,17957.17,40058.31,20992.42,383.6,169.77,0.0,7.8,21553.58,15.5,2100.08,117.3,840.85,24627.31,10486.86,4327.67,43.86,15.58,557.04,15431.0,40058.31,1559.01,50591.49,0.0,31012.27,0.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
