Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,17992.09,10.76,18002.85,17404.86,0.0,300.22,45.93,155.03,320.76,-223.95,8.44,-215.51,77.71,-293.22,0.0,-293.22,66.36,-359.58,-359.58,1752.6,-2.05,0.0,20.01,11.42,155.25,100.0,88.58
2013-03-31,18579.51,79.24,18658.75,18756.49,0.0,-503.61,39.71,166.31,144.1,55.75,16.82,72.57,70.56,2.01,44.45,46.46,108.36,-61.9,-61.9,1752.6,-0.35,0.0,20.01,11.42,155.25,100.0,88.58
2013-06-30,15265.91,2.76,15268.67,14412.32,0.0,527.58,50.19,168.79,624.2,-514.41,26.54,-487.87,77.85,-565.72,111.77,-453.95,0.0,-453.95,-453.95,1752.6,-2.59,-2.59,20.01,11.42,155.25,100.0,88.58
2013-09-30,18762.33,2.42,18764.75,18198.84,0.0,-273.87,51.93,176.08,304.4,307.37,31.03,338.4,92.6,245.8,0.0,245.8,10.03,235.77,235.77,1752.6,1.35,1.35,20.01,11.42,155.25,100.0,88.58
2013-12-31,18654.73,195.6,18850.33,19181.21,0.0,-425.03,56.06,184.5,101.01,-247.42,93.83,-153.59,92.8,-246.39,0.0,-246.39,1.29,-247.68,-247.68,1752.6,-1.41,-1.41,20.01,11.42,155.25,100.0,88.58
2014-03-31,19127.51,579.3,19706.81,19060.15,0.0,-502.76,57.29,177.05,149.84,765.24,157.18,922.42,58.19,864.23,0.0,864.23,-202.81,1067.04,1067.04,1752.6,6.09,6.09,20.01,11.42,155.25,100.0,88.58
2014-06-30,15741.39,2.16,15743.55,15481.29,0.0,201.62,58.04,94.56,150.07,-242.03,221.07,-20.96,53.09,-74.05,0.0,-74.05,-37.95,-36.1,-36.1,1752.6,-0.21,-0.21,20.01,11.42,155.25,100.0,88.58
2014-09-30,15911.34,2.47,15913.81,16216.26,0.0,345.62,54.65,112.27,677.54,-1492.53,187.61,-1304.92,112.29,-1417.21,33.42,-1383.79,-432.32,-951.47,-951.47,1752.6,-5.43,-5.43,20.01,11.42,155.25,100.0,88.58
2014-12-31,14711.85,3.57,14715.42,14624.71,0.0,1199.33,58.54,142.88,636.39,-1946.43,179.94,-1766.49,127.9,-1894.39,0.03,-1894.36,0.0,-1894.36,-1894.36,1752.6,-10.81,-10.81,20.01,11.42,155.25,100.0,88.58
2015-03-31,11092.79,179.81,11272.6,9639.25,0.0,139.56,69.51,148.9,167.09,1108.29,201.83,1310.12,113.81,1196.31,0.0,1196.31,26.61,1169.7,1169.7,1752.6,6.67,6.67,20.01,11.42,155.25,100.0,88.58
