Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,12474.25,29.94,12504.19,785.23,8655.67,38.45,168.26,242.39,854.49,1759.7,154.18,1913.88,55.18,1858.7,0.0,1858.7,573.84,1284.86,0.0,1284.86,1268.48,10.13,10.13,54.11,42.65,72.74,100.0,57.35
2013-03-31,12408.58,62.12,12470.7,886.16,8791.0,-169.87,237.05,272.56,1527.59,926.21,269.59,1195.8,54.94,1140.86,0.0,1140.86,510.99,629.87,-11.69,618.18,1268.48,4.87,4.87,54.11,42.65,72.74,100.0,57.35
2013-06-30,12855.64,44.16,12899.8,1049.54,9647.25,-377.94,200.42,280.81,872.18,1227.54,57.68,1285.22,61.17,1224.05,0.0,1224.05,415.75,808.3,-0.13,808.17,1268.48,6.37,6.37,54.11,42.65,72.74,100.0,57.35
2013-09-30,13944.55,57.9,14002.45,1381.4,9514.02,399.18,203.09,288.84,1041.39,1174.53,221.92,1396.45,108.19,1288.26,0.0,1288.26,447.41,840.85,74.82,915.67,1268.48,7.22,7.22,54.11,42.65,72.74,100.0,57.35
2013-12-31,15980.62,57.9,16038.52,1301.35,11082.72,-245.88,218.38,300.8,1392.36,1988.79,208.19,2196.98,91.25,2105.73,344.95,2450.68,744.66,1706.02,-26.62,1679.4,1268.48,13.24,13.24,54.11,42.65,72.74,100.0,57.35
2014-03-31,14464.29,102.87,14567.16,1111.14,10990.43,-402.22,225.84,305.7,1202.09,1134.18,410.73,1544.91,105.58,1439.33,0.0,1439.33,466.23,973.1,-1.07,972.03,1268.48,7.66,7.66,55.67,43.88,77.17,100.0,56.11
2014-06-30,13337.11,35.12,13372.23,1055.54,10664.64,-604.13,227.35,233.65,983.99,811.19,172.43,983.62,93.18,890.44,0.0,890.44,269.0,621.44,0.0,621.44,1268.48,4.9,4.9,55.67,43.89,71.17,100.0,56.11
2014-09-30,14063.18,66.54,14129.72,1305.58,9381.93,115.77,232.64,236.75,1071.57,1785.48,288.81,2074.29,91.63,1982.66,0.0,1982.66,679.76,1302.9,0.0,1302.9,1268.48,10.27,10.27,55.67,43.89,71.17,100.0,56.11
2014-12-31,14933.75,35.66,14969.41,1324.5,11396.35,-117.64,244.23,251.03,1136.24,734.7,140.29,874.99,85.08,789.91,62.86,852.77,292.54,560.23,43.85,604.08,1268.48,4.76,4.76,55.67,43.89,71.17,100.0,56.11
2015-03-31,14235.41,35.21,14270.62,1127.54,8905.41,838.17,202.18,252.83,2553.92,390.57,259.33,649.9,91.41,558.49,0.0,558.49,25.89,532.6,-21.85,510.75,1268.48,4.03,4.03,55.67,43.89,71.17,100.0,56.11
2015-06-30,12519.04,25.64,12544.68,771.5,9950.01,-383.31,241.34,308.44,929.23,727.47,90.49,817.96,215.87,602.09,0.0,602.09,214.0,388.09,0.0,388.09,1268.48,3.06,3.06,0.0,0.0,0.0,0.0,0.0
2015-09-30,14063.67,55.92,14119.59,923.59,10199.81,701.19,250.57,322.55,1212.73,509.15,318.15,827.3,278.65,548.65,0.0,548.65,218.23,330.42,0.0,330.42,1268.48,2.6,2.6,0.0,0.0,0.0,0.0,0.0
2015-12-31,13357.17,46.83,13404.0,848.79,10001.04,22.15,252.02,335.64,1132.34,812.02,263.41,1075.43,152.4,923.03,0.0,923.03,247.24,675.79,0.0,675.79,1268.48,5.33,5.33,0.0,0.0,0.0,0.0,0.0
2016-03-31,11659.96,0.0,11659.96,844.64,8255.9,72.06,214.51,343.16,1008.07,921.62,219.52,1141.14,152.94,988.2,0.0,988.2,156.07,832.13,0.0,832.13,1268.48,4.92,4.92,0.0,0.0,0.0,0.0,0.0
2016-06-30,10686.58,20.13,10706.71,677.93,7506.92,-206.46,269.35,335.44,865.69,1257.84,605.4,1863.24,177.44,1685.8,0.0,1685.8,350.62,1335.18,0.0,1335.18,1268.48,10.53,10.53,0.0,0.0,0.0,0.0,0.0
2016-09-30,11858.16,19.22,11877.38,776.74,8382.55,-183.25,249.5,356.31,1117.1,1178.43,316.87,1495.3,119.83,1375.47,0.0,1375.47,333.86,1041.61,-116.96,924.65,1268.48,7.29,7.29,0.0,0.0,0.0,0.0,0.0
2016-12-31,12132.44,0.0,12132.44,778.52,8242.42,76.2,266.51,357.91,1042.73,1368.15,275.6,1643.75,160.13,1483.62,0.0,1483.62,500.7,982.92,0.0,982.92,1268.48,7.75,7.75,0.0,0.0,0.0,0.0,0.0
2017-03-31,13452.0,0.0,13452.0,918.05,9067.78,355.8,472.17,347.12,1082.86,1208.22,467.71,1675.93,21.96,1653.97,-788.04,865.93,605.77,260.16,0.0,260.16,1691.3,1.54,1.54,0.0,0.0,0.0,0.0,0.0
2017-06-30,11406.47,0.0,11406.47,733.4,7868.38,-193.95,205.38,345.08,893.91,1554.27,115.83,1670.1,101.37,1568.73,0.0,1568.73,543.09,1025.64,0.0,1025.64,1691.3,6.06,6.06,0.0,0.0,0.0,0.0,0.0
2017-09-30,12409.65,0.0,12409.65,923.28,8025.92,144.77,343.41,342.45,902.84,1726.98,292.85,2019.83,92.55,1927.28,0.0,1927.28,617.65,1309.63,0.0,1309.63,1691.3,7.74,7.74,0.0,0.0,0.0,0.0,0.0
2017-12-31,14414.34,0.0,14414.34,1002.42,9717.14,65.95,399.94,366.77,1259.01,1603.11,302.74,1905.85,47.89,1857.96,0.0,1857.96,595.74,1262.22,0.0,1262.22,1691.3,7.46,7.46,0.0,0.0,0.0,0.0,0.0
2018-03-31,15430.69,0.0,15430.69,1053.32,11147.14,-50.89,352.73,360.84,1233.12,1334.43,275.58,1610.01,33.3,1576.71,27.69,1604.4,583.48,1020.92,0.0,1020.92,2255.07,4.53,4.53,0.0,0.0,0.0,0.0,0.0
2018-06-30,17298.59,0.0,17298.59,962.07,13022.33,-466.39,379.48,378.88,1157.48,1864.74,119.61,1984.35,44.1,1940.25,0.0,1940.25,681.0,1259.25,0.0,1259.25,2255.07,5.58,5.58,0.0,0.0,0.0,0.0,0.0
2018-09-30,19275.32,0.0,19275.32,1183.08,13617.61,-242.57,587.02,350.56,1202.63,2576.99,365.64,2942.63,45.46,2897.17,0.0,2897.17,934.21,1962.96,0.0,1962.96,2255.07,8.7,8.7,0.0,0.0,0.0,0.0,0.0
2018-12-31,19788.98,0.0,19788.98,1203.91,14418.96,-21.32,391.95,363.41,1122.0,2310.07,220.05,2530.12,22.65,2507.47,0.0,2507.47,826.24,1681.23,0.0,1681.23,2255.07,7.46,7.46,0.0,0.0,0.0,0.0,0.0
2019-03-31,18763.41,0.0,18763.41,1235.2,13603.44,347.83,399.26,457.37,1493.6,1226.71,865.88,2092.59,26.33,2066.26,-326.33,1739.93,617.7,1122.23,0.0,1122.23,2255.07,4.98,4.98,0.0,0.0,0.0,0.0,0.0
2019-06-30,18310.6,0.0,18310.6,998.3,13247.57,285.58,419.72,405.71,1100.47,1853.25,151.18,2004.43,23.91,1980.52,0.0,1980.52,692.99,1287.53,0.0,1287.53,2255.07,5.71,5.71,0.0,0.0,0.0,0.0,0.0
2019-09-30,18039.92,0.0,18039.92,1370.5,13622.03,-58.37,426.81,439.75,1116.26,1122.94,440.07,1563.01,27.5,1535.51,0.0,1535.51,471.26,1064.25,0.0,1064.25,4510.14,2.36,2.36,0.0,0.0,0.0,0.0,0.0
2019-12-31,17767.32,0.0,17767.32,1075.99,13363.19,-395.15,347.17,488.95,1303.75,1583.42,312.37,1895.79,24.16,1871.63,0.0,1871.63,620.98,1250.65,0.0,1250.65,4510.14,2.77,2.77,0.0,0.0,0.0,0.0,0.0
2020-03-31,17753.12,0.0,17753.12,967.18,13314.4,-430.68,325.55,501.58,1101.31,1973.78,513.22,2487.0,32.93,2454.07,101.63,2555.7,-462.5,3018.2,0.0,3018.2,4510.14,6.69,6.69,0.0,0.0,0.0,0.0,0.0
2020-06-30,12086.9,0.0,12086.9,770.58,8831.84,400.75,397.82,458.29,1063.27,164.35,241.34,405.69,49.5,356.19,0.0,356.19,100.68,255.51,0.0,255.51,4510.14,0.57,0.57,0.0,0.0,0.0,0.0,0.0
2020-09-30,13642.74,0.0,13642.74,1019.85,9536.86,308.64,408.25,484.29,1031.0,853.85,723.92,1577.77,27.43,1550.34,0.0,1550.34,310.67,1239.67,0.0,1239.67,4510.14,2.75,2.75,0.0,0.0,0.0,0.0,0.0
2020-12-31,15454.29,0.0,15454.29,1083.69,10750.42,87.48,404.14,489.5,1209.04,1430.02,470.79,1900.81,33.12,1867.69,0.0,1867.69,380.36,1487.33,0.0,1487.33,4510.14,3.3,3.3,0.0,0.0,0.0,0.0,0.0
2021-03-31,15546.22,0.0,15546.22,1031.76,10779.87,-253.18,336.09,475.8,1086.85,2089.03,568.41,2657.44,45.85,2611.59,0.0,2611.59,703.92,1907.67,0.0,1907.67,4440.39,4.24,4.24,0.0,0.0,0.0,0.0,0.0
2021-06-30,17383.9,0.0,17383.9,777.84,12720.92,-101.57,425.71,508.57,1149.72,1902.71,197.58,2100.29,46.56,2053.73,0.0,2053.73,523.81,1529.92,0.0,1529.92,4440.39,3.45,3.45,0.0,0.0,0.0,0.0,0.0
2021-09-30,21510.98,0.0,21510.98,1253.12,15944.17,-867.29,410.75,524.37,1295.15,2950.71,773.99,3724.7,42.4,3682.3,0.0,3682.3,819.35,2862.95,0.0,2862.95,4440.39,6.45,6.45,0.0,0.0,0.0,0.0,0.0
