Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS
2020-06-30,50.36,0.0,50.36,7.39,12.47,11.47,16.8,2.23,2.17,4.4,3.73,0.67,0.0,0.67,-1.14,1.81,1.81,4.53,0.0,0.4,0.0
2020-09-30,110.53,0.0,110.53,18.88,13.77,13.58,27.49,36.81,2.37,39.17,4.22,34.96,0.0,34.96,8.94,26.02,26.02,4.53,0.0,5.74,2.55
2020-12-31,96.93,0.0,96.93,13.43,14.72,12.32,23.41,33.05,2.83,35.88,3.52,32.36,0.0,32.36,8.23,24.13,24.13,4.53,0.0,5.32,2.37
2021-03-31,109.24,0.26,109.5,-39.71,14.75,12.37,80.6,41.49,3.46,44.95,3.35,41.59,0.0,41.59,10.74,30.86,30.86,4.53,356.02,6.81,0.0
2021-06-30,119.33,0.0,119.33,20.52,15.66,11.79,27.81,43.56,3.25,46.81,3.91,42.9,0.0,42.9,10.62,32.28,32.28,10.2,0.0,3.17,3.17
2021-09-30,109.5,0.0,109.5,15.24,16.59,12.34,27.41,37.92,3.16,41.07,3.9,37.17,0.0,37.17,9.85,27.33,27.33,10.2,0.0,2.68,2.68
2021-12-31,108.31,0.0,108.31,15.72,17.72,12.87,27.68,34.32,3.2,37.52,4.14,33.38,0.0,33.38,8.35,25.03,25.03,10.2,0.0,2.45,2.44
2022-03-31,113.74,0.0,113.74,17.47,18.71,15.14,30.5,31.92,3.31,35.23,4.3,30.93,0.0,30.93,7.46,23.47,23.47,10.2,0.0,2.3,2.29
2022-06-30,102.01,0.0,102.01,12.69,18.97,14.07,31.13,25.15,2.93,28.08,4.74,23.34,0.0,23.34,6.14,17.21,17.21,10.2,0.0,1.69,1.68
2022-09-30,118.26,0.0,118.26,16.26,19.25,15.8,34.79,32.16,3.39,35.56,4.85,30.7,0.0,30.7,7.76,22.94,22.94,10.21,0.0,2.25,2.24
2022-12-31,110.97,0.0,110.97,13.41,19.25,20.2,34.62,23.49,3.72,27.21,5.53,21.68,0.0,21.68,5.52,16.16,16.16,10.21,0.0,1.58,1.58
2023-03-31,118.33,0.0,118.33,15.23,19.04,11.32,35.97,36.77,4.53,41.3,5.76,35.54,0.0,35.54,8.62,26.92,26.92,10.21,0.0,2.64,2.63
2023-06-30,118.73,0.0,118.73,14.03,20.32,12.44,36.88,35.05,5.86,40.91,5.87,35.04,0.0,35.04,9.04,26.0,26.0,10.21,0.0,2.55,2.54
2023-09-30,136.13,0.0,136.13,16.06,21.35,13.66,42.35,42.72,6.92,49.63,5.84,43.79,0.0,43.79,10.94,32.85,32.85,10.23,0.0,3.21,3.2
2023-12-31,129.12,0.0,129.12,15.62,22.38,14.4,40.03,36.68,5.25,41.94,6.05,35.89,-2.05,33.84,8.59,25.25,25.25,10.23,0.0,2.47,2.46
2024-03-31,141.05,0.0,141.05,17.14,22.41,14.91,44.25,42.34,3.41,45.75,5.95,39.8,0.0,39.8,9.29,30.51,30.51,10.23,0.0,2.98,2.97
2024-06-30,142.42,0.0,142.42,17.15,24.79,15.19,44.76,40.53,3.83,44.36,6.05,38.31,0.0,38.31,9.45,28.86,28.86,10.26,0.0,2.82,2.81
2024-09-30,168.61,0.0,168.61,21.33,25.38,15.37,51.73,54.79,4.8,59.6,6.07,53.53,0.0,53.53,14.03,39.5,39.5,10.26,0.0,3.85,3.84
2024-12-31,156.26,0.0,156.26,19.69,26.16,16.86,47.93,45.62,4.99,50.61,6.26,44.35,0.0,44.35,10.81,33.53,33.53,10.26,0.0,3.26,3.26
2025-03-31,159.85,0.0,159.85,20.56,25.87,17.11,49.27,47.04,5.68,52.72,6.58,46.14,-1.03,45.12,12.0,33.12,33.12,10.26,0.0,3.23,3.22
