Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Equity Share Application Money,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Deferred Tax Liabilities [Net],Preference Share Capital,Raw Materials,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods
2004-03-31,31.03,104.56,107.93,107.93,212.49,0.0,3.9,0.0,0.0,8.8,65.69,36.39,57.56,15.8,175.44,396.72,42.59,0.0,0.0,0.0,42.59,83.99,15.62,0.0,0.0,142.2,0.0,70.97,15.84,29.44,138.27,0.0,254.53,396.72,7.35,0.02,0.0,0.0,0.0,84.5,0.0,0.0,4.9,73.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,31.03,96.03,98.71,98.71,194.74,0.0,10.6,0.0,0.0,15.88,42.43,34.11,75.06,17.03,168.63,379.24,37.58,0.0,0.0,0.0,37.58,93.64,11.56,0.0,0.0,142.78,0.0,66.51,12.48,23.87,133.61,0.0,236.46,379.24,11.03,0.04,0.0,0.0,0.0,93.64,0.0,0.0,5.28,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,31.03,96.03,96.76,96.76,192.79,0.0,38.6,0.0,0.0,43.73,88.69,36.27,62.31,31.49,218.77,455.28,34.26,0.0,0.0,0.0,34.26,95.77,5.12,0.0,0.0,135.16,0.0,166.14,18.92,16.11,118.94,0.0,320.12,455.28,14.94,0.38,0.0,0.22,0.0,95.77,0.0,0.0,5.13,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,39.95,49.95,716.29,716.29,766.24,4.53,0.6,0.0,0.0,6.23,0.29,25.5,46.52,33.54,105.85,882.85,32.81,0.0,0.0,0.0,32.81,325.78,5.41,0.0,0.0,364.0,0.0,215.37,19.55,122.48,161.45,0.0,518.85,882.85,10.88,0.79,0.0,0.95,0.0,325.78,0.0,0.0,5.63,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,40.81,50.81,812.94,812.94,863.75,0.0,0.0,0.0,0.0,7.22,0.0,17.05,57.13,55.65,129.83,1000.8,26.88,0.0,0.0,0.0,26.88,502.91,5.54,0.0,0.0,535.33,0.0,243.74,37.01,13.67,171.05,0.0,465.47,1000.8,14.9,0.55,0.0,1.96,0.0,502.91,0.0,0.0,7.22,10.0,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,40.81,50.81,846.14,846.14,896.95,0.21,0.0,0.0,0.0,9.22,0.0,15.52,56.77,63.28,135.58,1041.96,34.82,0.0,2.5,0.0,37.31,361.53,5.6,0.0,0.0,404.44,0.0,301.07,37.13,98.8,200.51,0.0,637.52,1041.96,45.4,0.3,0.0,0.0,0.48,361.53,0.0,0.0,9.22,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,40.81,50.81,907.58,907.58,958.39,0.4,0.0,0.0,0.0,9.14,0.0,26.31,110.28,97.92,234.51,1202.44,29.47,2.9,0.0,0.0,32.37,409.55,7.31,0.0,0.0,449.23,0.0,287.96,98.92,105.12,261.2,0.0,753.21,1202.44,37.86,0.15,0.0,0.0,0.73,409.55,0.0,0.0,9.14,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,40.84,40.84,987.44,987.44,1028.28,0.0,100.0,0.0,0.58,101.46,0.0,58.28,92.18,37.2,187.67,1317.41,30.95,0.97,0.0,0.0,31.92,297.88,0.0,0.0,2.04,331.85,64.26,168.7,148.86,202.81,333.05,67.88,985.56,1317.41,36.45,0.41,0.0,0.0,0.87,297.88,0.0,64.26,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,40.84,40.84,1079.32,1079.32,1120.16,0.0,109.83,0.0,0.72,110.55,0.0,110.38,106.42,40.76,257.56,1488.27,29.07,0.0,0.0,0.0,29.07,320.13,0.32,0.0,2.75,352.28,128.47,233.57,88.28,127.26,463.53,94.89,1135.99,1488.27,37.72,0.41,0.0,0.0,0.39,320.13,0.0,128.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,40.84,40.84,1148.84,1148.84,1189.68,0.0,110.0,0.0,1.04,111.04,197.23,119.74,178.62,44.1,539.69,1840.41,24.75,0.0,0.82,0.0,25.57,320.13,1.58,17.65,0.66,365.59,111.01,581.11,24.1,90.68,599.02,68.9,1474.82,1840.41,36.04,0.78,0.0,0.0,2.12,321.3,0.0,111.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,40.85,40.85,1096.46,1096.46,1137.31,0.0,550.0,0.0,103.87,653.87,45.66,129.61,161.78,43.26,380.31,2171.49,28.57,0.0,0.0,0.0,28.57,656.9,2.59,214.3,0.93,903.29,93.36,654.9,26.31,34.62,320.93,138.08,1268.2,2171.49,72.47,0.89,0.0,0.0,0.0,658.02,0.0,93.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,41.01,41.01,1282.12,1282.12,1323.13,0.0,500.0,0.0,104.54,604.99,0.0,163.12,104.56,38.19,305.87,2233.99,29.8,0.0,0.0,0.0,29.8,573.4,0.0,256.32,1.11,860.63,0.0,789.33,15.52,41.65,302.71,224.15,1373.36,2233.99,74.94,1.81,0.06,0.0,0.05,593.02,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,41.03,41.03,1359.91,1359.91,1400.94,0.0,375.0,0.0,60.14,436.1,191.47,239.81,268.04,35.7,735.02,2572.06,28.71,0.0,0.7,0.0,29.41,573.4,0.0,58.82,0.76,662.39,200.92,1079.97,51.32,145.79,210.81,220.86,1909.67,2572.06,73.11,2.97,0.13,0.0,0.0,593.02,0.0,200.92,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
