Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS
2022-12-31,235.76,235.76,113.69,-8.42,17.12,3.43,62.04,47.9,5.38,53.28,0.48,52.8,0.0,52.8,13.14,39.66,39.66,18.15,4.37,4.37
2023-03-31,234.83,234.83,115.86,-12.73,19.67,3.3,70.54,38.2,6.94,45.14,1.97,43.17,0.0,43.17,10.43,32.74,32.74,18.15,3.61,3.61
2023-06-30,293.19,293.19,121.48,22.72,19.99,3.39,61.0,64.61,8.15,72.76,0.55,72.21,0.0,72.21,17.72,54.5,54.5,18.15,6.0,0.0
2023-09-30,247.55,247.55,100.3,10.28,22.11,3.81,59.24,51.81,7.28,59.09,1.14,57.95,0.0,57.95,14.22,43.73,43.73,18.15,4.82,4.8
2023-12-31,274.87,274.87,94.16,28.09,24.09,4.64,68.02,55.87,4.57,60.44,1.39,59.05,0.0,59.05,14.1,44.95,44.95,18.15,4.95,4.94
2024-03-31,269.33,269.33,120.43,-23.34,30.35,5.08,90.01,46.8,11.9,58.7,2.29,56.41,0.0,56.41,13.46,42.95,42.95,18.15,4.73,4.73
2024-06-30,291.62,291.62,113.07,15.71,24.63,5.32,68.28,64.59,5.79,70.38,1.88,68.5,0.0,68.5,15.29,53.21,53.21,18.15,5.86,5.85
2024-09-30,303.53,303.53,138.35,0.41,25.95,5.63,74.42,58.77,12.53,71.3,2.77,68.53,0.0,68.53,19.11,49.43,49.43,18.15,5.45,5.43
2024-12-31,332.01,332.01,148.12,0.28,26.06,6.01,87.8,63.74,8.63,72.36,2.26,70.11,7.17,77.28,19.97,57.31,57.31,18.15,6.31,6.3
2025-03-31,369.14,369.14,175.83,-17.83,28.34,6.79,101.43,74.58,12.13,86.72,1.24,85.48,0.54,86.02,20.88,65.13,65.13,18.15,7.18,7.16
