Date,Net Sales/Income from operations,Total Income From Operations,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,95.2,95.2,46.78,4.05,24.6,19.77,3.42,23.19,0.0,23.19,23.19,7.2,15.99,0.0,15.99,69.44,0.0,2.3,2.27,4.35,62.62,2.6,100.0,37.38
2013-03-31,98.27,98.27,49.29,4.21,21.67,23.1,6.41,29.51,0.0,29.51,29.51,8.14,21.37,0.0,21.37,69.5,0.0,3.08,3.04,4.35,62.65,2.6,100.0,37.35
2013-06-30,104.56,104.56,48.72,4.24,19.58,32.02,7.32,39.34,0.0,39.34,39.34,11.3,28.04,0.0,28.04,69.87,0.0,4.01,3.98,4.67,66.87,2.31,100.0,33.13
2013-09-30,112.66,112.66,57.73,4.44,19.7,30.79,8.65,39.44,0.0,39.44,39.44,10.78,28.66,0.0,28.66,70.05,0.0,4.1,4.07,4.69,66.95,2.31,100.0,33.05
2013-12-31,119.86,119.86,59.59,4.25,26.93,29.09,11.08,40.17,0.0,40.17,40.17,10.42,29.75,0.0,29.75,70.07,0.0,4.25,4.22,4.69,66.96,2.31,100.0,33.04
2014-03-31,124.21,124.21,62.54,4.36,24.3,33.01,12.89,45.9,0.0,45.9,45.9,11.75,34.15,0.0,34.15,70.15,0.0,4.8,4.85,4.7,67.0,2.31,100.0,33.0
2014-06-30,135.03,135.03,67.33,5.71,33.7,28.29,9.7,37.99,0.0,37.99,37.99,9.88,28.11,0.0,28.11,70.17,0.0,4.01,3.99,4.7,67.01,2.31,100.0,32.99
2014-09-30,147.4,147.4,75.78,6.31,29.02,36.29,8.51,44.8,0.0,44.8,44.8,13.31,31.49,0.0,31.49,70.17,0.0,4.49,4.45,4.7,67.01,2.31,100.0,32.99
2014-12-31,154.42,154.42,78.64,6.11,25.67,44.0,3.46,47.46,0.0,47.46,47.46,15.32,32.14,0.0,32.14,70.39,0.0,4.57,4.53,4.72,67.11,2.31,100.0,32.89
2015-03-31,156.28,156.28,87.07,5.97,26.85,36.39,27.23,63.62,0.0,63.62,63.62,13.13,50.49,-3.33,47.16,70.49,0.0,6.69,6.64,4.74,67.22,2.3,99.57,32.64
2015-06-30,166.03,166.03,88.61,6.73,32.22,38.47,13.65,52.12,0.0,52.12,52.12,16.07,36.05,0.0,36.05,70.49,0.0,4.71,4.67,4.74,67.22,2.3,99.57,32.64
2015-09-30,171.27,171.27,96.18,7.89,35.37,31.83,26.26,58.09,0.0,58.09,58.09,11.79,46.3,0.0,46.3,70.49,0.0,6.57,6.53,4.75,67.42,2.29,99.56,32.44
