Date,Net Sales/Income from operations,Total Income From Operations,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2015-12-31,171.33,171.33,95.36,8.08,38.57,29.32,9.57,38.89,0.0,38.89,38.89,11.9,26.99,0.0,26.99,70.52,0.0,3.83,3.81,0.0,0.0,0.0,0.0,0.0
2016-03-31,179.61,179.61,97.76,8.41,36.85,36.59,15.54,52.13,0.0,52.13,52.13,16.8,35.33,0.0,35.33,69.47,0.0,5.02,4.98,0.0,0.0,0.0,0.0,0.0
2016-06-30,176.29,176.29,108.51,8.96,38.52,20.3,28.66,48.96,0.0,48.96,48.96,10.03,38.93,0.0,38.93,69.48,0.0,5.6,5.6,0.0,0.0,0.0,0.0,0.0
2016-09-30,180.32,180.32,111.67,10.2,46.21,12.24,26.01,38.25,0.0,38.25,38.25,8.63,29.62,0.0,29.62,69.5,0.0,4.26,4.26,0.0,0.0,0.0,0.0,0.0
2016-12-31,180.27,180.27,111.86,10.69,42.68,15.04,19.72,34.76,0.0,34.76,34.76,7.32,27.44,0.0,27.44,69.5,0.0,3.95,3.95,0.0,0.0,0.0,0.0,0.0
2017-03-31,181.72,181.72,108.83,10.28,40.72,21.89,12.62,34.51,0.0,34.51,34.51,9.16,25.35,0.0,25.35,69.54,0.0,3.65,3.62,0.0,0.0,0.0,0.0,0.0
2017-06-30,190.04,190.04,106.97,9.64,50.58,22.85,26.61,49.46,0.0,49.46,49.46,11.3,38.16,0.0,38.16,69.56,0.0,5.49,5.45,0.0,0.0,0.0,0.0,0.0
2017-09-30,194.47,194.47,108.14,9.33,46.73,30.27,20.05,50.32,0.0,50.32,50.32,12.86,37.46,0.0,37.46,67.33,0.0,5.45,5.44,0.0,0.0,0.0,0.0,0.0
2017-12-31,196.79,196.79,107.59,9.02,42.65,37.53,2.58,40.11,0.0,40.11,40.11,11.51,28.6,0.0,28.6,67.36,0.0,4.25,4.24,0.0,0.0,0.0,0.0,0.0
2018-03-31,200.47,200.47,118.88,8.43,35.81,37.35,16.62,53.97,0.0,53.97,53.97,15.01,38.96,0.0,38.96,67.39,0.0,5.78,5.78,0.0,0.0,0.0,0.0,0.0
2018-06-30,211.43,211.43,117.61,8.39,36.4,49.03,8.23,57.26,0.0,57.26,57.26,18.73,38.53,0.0,38.53,67.4,0.0,5.72,5.71,0.0,0.0,0.0,0.0,0.0
2018-09-30,221.03,221.03,124.11,8.44,39.45,49.03,18.41,67.44,0.0,67.44,67.44,19.06,48.38,0.0,48.38,67.42,0.0,7.18,7.17,0.0,0.0,0.0,0.0,0.0
2018-12-31,226.78,226.78,125.82,8.55,45.75,46.66,34.08,80.74,0.04,80.7,80.7,23.36,57.34,0.0,57.34,67.42,0.0,8.5,8.49,0.0,0.0,0.0,0.0,0.0
2019-03-31,232.26,232.26,129.6,8.27,43.83,50.56,32.24,82.8,0.09,82.71,82.71,20.16,62.55,0.0,62.55,64.76,933.87,9.62,9.61,0.0,0.0,0.0,0.0,0.0
2019-06-30,240.17,240.17,134.01,13.63,41.92,50.61,31.06,81.67,1.79,79.88,79.88,22.61,57.27,0.0,57.27,64.77,0.0,8.84,8.78,0.0,0.0,0.0,0.0,0.0
2019-09-30,242.57,242.57,136.53,12.96,38.78,54.3,44.13,98.43,2.26,96.17,96.17,19.23,76.94,0.0,76.94,64.85,0.0,11.86,11.77,0.0,0.0,0.0,0.0,0.0
2019-12-31,235.42,235.42,133.31,12.82,35.06,54.23,26.38,80.61,2.55,78.06,78.06,16.03,62.03,0.0,62.03,64.87,0.0,9.55,9.49,0.0,0.0,0.0,0.0,0.0
2020-03-31,234.95,234.95,129.09,12.66,31.49,61.71,38.14,99.85,2.31,97.54,97.54,21.47,76.07,0.0,76.07,64.91,0.0,11.7,11.67,0.0,0.0,0.0,0.0,0.0
2020-06-30,162.43,162.43,107.78,11.64,17.16,25.85,76.91,102.76,1.49,101.27,101.27,17.95,83.32,0.0,83.32,64.92,0.0,12.84,12.7,0.0,0.0,0.0,0.0,0.0
2020-09-30,167.53,167.53,106.11,10.79,16.73,33.9,26.66,60.56,2.52,58.04,58.04,10.69,47.35,0.0,47.35,61.78,0.0,7.41,7.3,0.0,0.0,0.0,0.0,0.0
2020-12-31,169.54,169.54,111.67,10.48,19.72,27.67,30.38,58.05,1.62,56.43,56.43,6.49,49.94,0.0,49.94,61.86,0.0,8.08,7.9,0.0,0.0,0.0,0.0,0.0
2021-03-31,175.68,175.68,117.63,9.42,23.51,25.12,15.57,40.69,1.77,38.92,38.92,5.35,33.57,0.0,33.57,61.88,0.0,5.43,5.29,0.0,0.0,0.0,0.0,0.0
2021-06-30,165.41,165.41,112.1,8.51,70.49,-25.69,22.79,-2.9,1.49,-4.39,-4.39,-0.87,-3.52,0.0,-3.52,62.28,0.0,-0.57,-0.55,0.0,0.0,0.0,0.0,0.0
2021-09-30,155.98,155.98,118.77,7.16,21.26,8.79,35.59,44.38,1.58,42.8,42.8,9.88,32.92,0.0,32.92,83.55,0.0,3.94,4.64,0.0,0.0,0.0,0.0,0.0
2021-12-31,158.89,158.89,129.61,7.27,24.06,-2.05,28.55,26.5,2.1,24.4,24.4,5.0,19.4,0.0,19.4,83.59,0.0,2.32,2.29,0.0,0.0,0.0,0.0,0.0
2022-03-31,166.67,166.67,143.55,6.93,29.16,-12.97,35.23,22.26,1.67,20.59,20.59,-1.55,22.14,0.0,22.14,83.61,0.0,2.65,2.61,0.0,0.0,0.0,0.0,0.0
2022-06-30,185.6,185.6,148.95,6.98,28.25,1.42,-59.99,-58.57,1.26,-59.83,-59.83,-11.48,-48.35,0.0,-48.35,84.24,0.0,-5.75,-5.69,0.0,0.0,0.0,0.0,0.0
2022-09-30,205.26,205.26,162.47,7.71,25.75,9.33,56.5,65.83,1.55,64.28,64.28,12.07,52.21,0.0,52.21,84.3,0.0,6.19,6.15,0.0,0.0,0.0,0.0,0.0
2022-12-31,221.37,221.37,167.32,8.47,26.93,18.65,71.24,89.89,2.25,87.64,87.64,12.37,75.27,0.0,75.27,84.31,0.0,8.93,8.86,0.0,0.0,0.0,0.0,0.0
2023-03-31,232.53,232.53,172.26,9.0,26.88,24.39,74.16,98.55,2.61,95.94,95.94,12.15,83.79,0.0,83.79,84.32,0.0,9.94,9.85,0.0,0.0,0.0,0.0,0.0
2023-06-30,246.98,246.98,182.55,10.04,27.74,26.65,81.4,108.05,1.94,106.11,106.11,22.71,83.4,0.0,83.4,85.03,0.0,9.84,9.8,0.0,0.0,0.0,0.0,0.0
2023-09-30,260.61,260.61,185.38,12.21,26.45,36.57,57.92,94.49,2.39,92.1,92.1,20.31,71.79,0.0,71.79,85.03,0.0,8.44,8.44,0.0,0.0,0.0,0.0,0.0
2023-12-31,265.05,265.05,178.51,12.12,26.17,48.25,74.85,123.1,2.17,120.93,120.93,28.92,92.01,0.0,92.01,85.03,0.0,10.82,10.82,0.0,0.0,0.0,0.0,0.0
2024-03-31,270.27,270.27,173.33,11.8,26.3,58.84,91.29,150.13,2.78,147.35,147.35,31.7,115.65,0.0,115.65,85.04,0.0,13.6,13.6,0.0,0.0,0.0,0.0,0.0
2024-06-30,280.57,280.57,172.87,11.71,27.06,68.93,86.87,155.8,1.91,153.89,153.89,12.67,141.22,0.0,141.22,85.04,0.0,16.6,16.6,0.0,0.0,0.0,0.0,0.0
2024-09-30,284.83,284.83,174.52,11.73,28.25,70.33,113.61,183.94,2.38,181.56,181.56,27.49,154.07,0.0,154.07,85.04,0.0,18.12,18.12,0.0,0.0,0.0,0.0,0.0
2024-12-31,287.33,287.33,173.17,12.01,27.56,74.59,77.41,152.0,2.83,149.17,149.17,17.86,131.31,0.0,131.31,85.04,0.0,15.44,15.44,0.0,0.0,0.0,0.0,0.0
2025-03-31,289.2,289.2,174.83,11.81,28.29,74.27,108.65,182.92,3.39,179.53,179.53,21.93,157.6,0.0,157.6,85.04,0.0,18.53,18.53,0.0,0.0,0.0,0.0,0.0
