Date,Equity Share Capital,Total Share Capital,Revaluation Reserve,Reserves and Surplus,Total Reserves and Surplus,Total ShareHolders Funds,Deposits,Borrowings,Other Liabilities and Provisions,Total Capital and Liabilities,Cash and Balances with Reserve Bank of India,Balances with Banks Money at Call and Short Notice,Investments,Advances,Fixed Assets,Other Assets,Total Assets,Number of Branches,Number of Employees,Capital Adequacy Ratios (%),Tier 1 (%),Tier 2 (%),Gross NPA,Gross NPA (%),Net NPA,Net NPA (%),Net NPA To Advances (%),Bills for Collection,Contingent Liabilities,Equity Share Application Money,Preference Share Capital
2011-03-31,627.52,2450.52,576.8,4391.91,4968.7,7419.22,145277.6,5474.77,5226.86,163398.45,10404.03,6576.41,42927.28,99070.81,738.87,3681.05,163398.45,2206.0,23148.0,13.71,8.52,5.19,3150.36,3.0,1824.55,1.84,2.0,8770.25,54012.16,0.0,1823.0
2012-03-31,664.71,2487.71,608.0,5517.72,6125.72,8613.43,154003.49,12901.42,4980.05,180498.4,7811.53,5792.16,45771.5,115540.01,804.75,4778.46,180498.4,2394.0,23259.0,12.35,8.09,4.26,4086.2,3.0,2263.94,1.96,2.0,10128.61,52074.69,0.0,1823.0
2013-03-31,752.63,2575.63,671.21,6435.57,7106.79,9682.41,173431.05,9492.43,6045.51,198651.4,5705.36,6638.75,52244.9,128282.86,889.59,4889.93,198651.4,2614.0,24201.0,14.15,9.06,5.09,7130.09,5.0,4069.31,3.17,3.0,10725.44,70026.51,0.0,1823.0
2014-03-31,1014.71,1014.71,712.97,9498.61,10211.58,11226.29,199533.55,20718.24,7646.68,239124.75,8049.21,6962.8,67451.69,149584.21,1061.76,6015.08,239124.75,2894.0,24557.0,13.4,8.9,4.5,6621.37,4.0,3556.43,2.38,2.0,16925.51,79564.93,0.0,0.0
2015-03-31,1075.59,1075.59,609.73,10863.64,11473.36,12548.96,214336.71,10252.54,8778.71,245916.91,8267.52,13901.45,68859.43,147350.87,1114.0,6423.64,245916.91,3020.0,25236.0,12.17,9.05,3.12,10265.05,7.0,6330.58,4.3,4.0,21238.81,80491.6,0.0,0.0
2016-03-31,1075.59,1075.59,2365.66,8145.71,10511.36,11586.95,207118.24,17240.44,8001.9,244882.53,7949.96,10609.28,83974.2,125905.37,2884.64,13559.09,244882.53,3073.0,24724.0,9.63,7.63,2.0,20907.73,15.0,11443.59,9.09,9.0,18543.36,66248.6,935.0,0.0
2017-03-31,1559.73,1559.73,2325.17,7718.57,10043.74,11603.47,201284.51,9534.96,7766.76,231339.71,8790.25,9309.63,74019.12,119724.45,2849.48,16646.77,231339.71,3100.0,24620.0,10.93,8.27,2.66,22540.95,17.0,10703.39,8.94,9.0,6644.41,0.0,1150.0,0.0
2018-03-31,2308.16,2308.16,2351.78,5165.25,7517.02,9825.18,181849.28,12449.26,6800.45,216056.18,8125.08,6622.96,70962.15,107470.02,2875.1,20000.87,216056.18,3104.0,23943.0,10.94,8.94,2.0,30549.92,25.0,14082.07,13.1,13.0,8837.8,0.0,5132.0,0.0
2019-03-31,5423.4,5423.4,2349.76,6021.22,8370.97,13794.37,197906.78,8323.68,6862.57,230484.08,8823.01,15609.09,82231.69,99313.84,2822.31,21684.13,230484.08,3088.0,23133.0,10.7,8.64,2.06,22540.95,17.0,10703.39,8.94,9.0,8538.84,87384.98,3596.68,0.0
2020-03-31,9918.34,9918.34,2348.37,6942.91,9291.28,19209.62,193203.44,15695.06,7800.02,235908.15,6776.73,11029.43,90998.81,101174.25,2840.37,23088.55,235908.15,3088.0,22436.0,11.7,8.98,2.72,19281.95,17.0,5510.66,5.45,5.0,7822.35,39082.16,0.0,0.0
2021-03-31,9918.34,9918.34,2691.44,7396.63,10088.07,20006.41,205919.39,15382.63,9427.67,253336.11,9445.41,14154.83,93782.95,111354.54,3218.23,21380.14,253336.11,3087.0,22012.0,13.74,11.14,2.6,11351.97,10.0,4389.51,3.94,4.0,7109.67,73353.47,2600.0,0.0
2022-03-31,11955.96,11955.96,0.0,11637.54,11637.54,23593.5,224072.9,13508.14,6609.48,267784.02,10287.55,15860.44,96873.8,122784.41,3334.92,18642.9,267784.02,0.0,0.0,13.74,0.0,0.0,10237.43,8.0,3315.78,2.7,0.0,0.0,0.0,0.0,0.0
2023-03-31,11955.96,11955.96,0.0,13808.55,13808.55,25764.51,249337.74,20501.08,5259.66,300862.99,10300.01,18428.09,95169.35,155870.18,3509.51,17585.85,300862.99,0.0,0.0,16.51,0.0,0.0,7726.46,5.0,2018.02,1.29,1.0,0.0,0.0,0.0,0.0
2024-03-31,11955.96,11955.96,0.0,15400.83,15400.83,27356.79,263129.77,25331.44,7873.45,323691.45,10197.17,18828.19,92904.4,182021.87,3781.47,15958.35,323691.45,0.0,0.0,16.98,0.0,0.0,6463.3,3.46,162.64,0.89,0.56,0.0,0.0,0.0,0.0
2025-03-31,12539.56,12539.56,0.0,18465.32,18465.32,31004.88,293542.18,28687.49,9246.54,362481.09,10358.92,25768.0,94272.49,215134.58,3851.95,13095.15,362481.09,0.0,0.0,18.49,0.0,0.0,5918.54,2.69,1068.31,0.5,0.76,0.0,0.0,0.0,0.0
