Date,(a) Int. /Disc. on Adv/Bills,(b) Income on Investment,(c) Int. on balances With RBI,(d) Others,Other Income,Interest Expended,Employees Cost,Other Expenses,Operating Profit before Provisions and contingencies,Provisions And Contingencies,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,a) % of Share by Govt.,b) Capital Adequacy Ratio - Basel -I,c) Capital Adequacy Ratio - Basel -II,Basic EPS,Diluted EPS,i) Gross NPA,ii) Net NPA,i) % of Gross NPA,ii) % of Net NPA,Return on Assets %,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,3197.1,923.13,29.52,21.43,189.7,2993.69,350.6,185.85,830.74,727.64,103.1,0.63,102.47,102.47,664.71,5631.6,65.19,0.0,12.09,1.54,1.54,6711.29,3927.0,5.53,3.32,0.21,23.14,34.81,43.33,100.0,65.19
2013-03-31,3127.14,973.08,33.97,75.9,316.97,2862.41,378.96,253.37,1032.32,976.66,55.66,6.11,49.55,49.55,752.63,6616.79,69.26,12.48,14.22,0.02,0.02,7130.09,4069.31,5.42,3.17,0.1,23.14,30.74,52.13,100.0,69.26
2013-06-30,3152.18,968.39,36.87,49.48,461.89,2842.88,376.23,185.27,1264.43,741.3,523.13,12.02,511.11,511.11,752.63,6562.08,69.26,0.0,13.72,6.79,6.79,7177.97,3939.3,5.58,3.15,1.01,23.14,30.74,52.13,100.0,69.26
2013-09-30,3395.76,1025.89,8.37,14.05,209.23,2874.68,382.23,230.18,1166.21,758.68,407.53,7.33,400.2,400.2,752.63,6562.08,69.26,0.0,13.23,5.32,5.32,7375.98,4228.22,5.32,3.13,0.76,23.14,30.74,52.13,100.0,69.26
2013-12-31,3542.94,1138.4,28.73,18.5,190.47,3162.82,395.02,224.68,1136.52,811.68,324.84,10.31,314.53,314.53,752.63,6562.08,69.26,0.0,12.11,4.18,4.18,7353.3,4216.55,5.2,3.06,0.57,23.14,30.74,52.13,100.0,69.26
2014-03-31,3539.8,1253.01,40.13,17.42,458.92,3290.45,394.05,251.55,1373.23,904.64,468.59,183.89,284.7,284.7,1014.71,9624.18,77.2,0.0,13.4,3.34,3.34,6621.37,3556.43,4.32,2.38,0.49,23.14,22.8,78.33,100.0,77.2
2014-06-30,3700.35,1316.87,34.37,21.35,322.23,3589.81,398.37,204.93,1202.06,517.14,684.92,163.52,521.4,521.4,1014.71,9624.18,77.2,0.0,12.91,5.14,5.14,6346.32,3344.02,4.31,2.33,0.9,23.14,22.8,78.33,100.0,77.2
2014-09-30,3520.18,1323.91,39.61,13.95,358.97,3514.65,404.96,281.25,1055.76,935.3,120.46,16.93,103.53,103.53,1014.71,9624.18,77.2,0.0,12.69,1.02,1.02,7446.64,4388.66,5.2,3.15,0.17,23.14,22.8,78.33,100.0,77.2
2014-12-31,3420.52,1292.38,58.29,16.4,659.8,3366.93,412.19,243.14,1425.13,907.54,517.59,214.0,303.59,303.59,1014.71,9624.18,77.2,0.0,12.54,2.99,2.99,9530.63,6051.46,6.5,4.25,0.51,23.14,22.8,78.33,100.0,77.2
2015-03-31,3259.54,1261.34,62.79,17.14,662.55,3325.14,426.15,284.8,1227.27,968.38,258.89,49.61,209.28,209.28,1075.59,10863.64,72.83,0.0,12.92,2.06,2.06,10265.05,6330.58,6.76,4.3,0.35,29.23,27.17,78.33,100.0,72.83
