Date,Net Sales/Income from operations,Total Income From Operations,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS
2021-06-30,1266.85,1266.85,162.13,-6.23,195.27,81.54,971.07,-136.93,51.81,-85.12,22.7,-107.82,-2.19,-110.01,-110.01,-110.01,1.64,-67.16,-2.05
2021-09-30,1344.09,1344.09,13.92,3.49,416.85,97.59,1416.91,-604.66,36.02,-568.64,24.11,-592.75,0.0,-592.75,-592.75,-592.75,18.72,-31.67,-10.3
2021-12-31,1622.2,1622.2,-176.05,-0.13,278.38,132.24,1481.44,-93.68,34.68,-59.0,24.14,-83.14,0.0,-83.14,-83.14,-83.14,64.21,-1.29,0.0
2022-03-31,1677.85,1677.85,0.0,0.0,286.96,166.8,1326.12,-102.02,47.35,-54.67,22.94,-77.62,0.0,-77.62,-77.62,-77.62,64.21,-1.3,-1.3
2022-06-30,1599.32,1599.32,0.0,0.0,299.59,143.46,1498.08,-341.82,57.2,-284.62,23.22,-307.83,0.0,-307.83,-307.83,-307.83,72.45,-4.53,-4.53
2022-09-30,1653.27,1653.27,0.0,0.0,303.44,162.4,1487.57,-300.14,102.37,-197.77,23.21,-220.98,0.0,-220.98,-220.98,-220.98,72.58,-3.0,-3.0
2022-12-31,1683.29,1683.29,0.0,1.58,297.8,169.71,1452.26,-238.06,93.24,-144.82,21.17,-165.99,0.0,-165.99,-165.99,-165.99,72.81,-2.24,-2.24
2023-03-31,1722.78,1722.78,0.0,0.0,316.65,181.4,1390.53,-165.8,78.36,-87.44,18.75,-106.19,-11.31,-117.5,-117.5,-117.5,72.87,-1.59,-1.59
2023-06-30,1777.19,1777.19,0.0,0.0,314.41,148.51,1456.28,-142.01,106.22,-35.79,19.32,-55.11,0.0,-55.11,-55.11,-55.11,73.12,-0.76,-0.76
2023-09-30,1771.27,1771.27,0.0,0.0,333.06,154.4,1441.11,-157.3,107.21,-50.08,19.47,-69.55,0.0,-69.55,-69.55,-69.55,73.38,-0.94,-0.94
2023-12-31,2026.85,2026.85,0.0,0.0,330.72,169.93,1573.25,-47.05,138.85,91.81,21.99,69.82,-16.84,52.97,52.97,52.97,73.5,0.72,0.7
2024-03-31,1878.77,1878.77,0.0,0.0,330.92,186.4,1496.78,-135.33,123.06,-12.27,26.96,-39.23,-57.06,-96.29,-96.29,-96.29,73.68,-1.31,-1.31
2024-06-30,2006.16,2006.16,0.0,0.0,309.78,115.31,1590.88,-9.81,115.21,105.4,28.05,77.35,-5.38,71.98,71.98,71.98,73.86,0.98,0.95
2024-09-30,2019.96,2019.96,0.0,0.0,328.32,126.9,1639.27,-74.52,124.3,49.78,30.4,19.37,-0.29,19.08,19.08,19.08,74.0,0.26,0.25
2024-12-31,2204.28,2204.28,0.0,0.0,337.31,137.61,1757.72,-28.36,103.61,75.24,33.19,42.05,-4.04,38.01,38.01,38.01,74.28,0.51,0.5
2025-03-31,2022.05,2022.05,0.0,0.0,320.64,139.49,1581.16,-19.25,113.27,94.02,33.42,60.6,-77.15,-16.54,-16.54,-16.54,74.56,-0.22,-0.22
