Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-09-30,580.92,6.04,586.96,372.28,0.0,-29.43,173.21,12.24,107.45,-48.79,21.18,-27.61,34.95,-62.56,0.12,-62.44,0.0,-62.44,-62.44,41.64,0.0,-14.99,-14.99,1.91,45.97,2.25,100.0,54.03
2012-12-31,670.4,6.12,676.52,386.38,0.0,51.73,179.2,12.78,86.07,-39.64,13.43,-26.21,37.13,-63.34,0.0,-63.34,0.0,-63.34,-63.34,41.64,0.0,-15.21,-15.21,1.91,45.97,2.25,100.0,54.03
2013-03-31,1106.76,15.28,1122.04,646.97,1.9,60.0,206.71,13.59,172.78,20.09,52.82,72.91,40.02,32.89,10.0,42.89,-42.46,85.35,85.35,41.64,0.0,20.49,20.49,1.91,45.97,2.25,100.0,54.03
2013-06-30,590.47,7.06,597.53,361.09,1.16,-44.44,187.8,13.1,87.26,-8.44,12.23,3.79,29.96,-26.17,0.33,-25.84,0.0,-25.84,-25.84,41.64,0.0,-6.2,-6.2,1.91,45.97,2.25,100.0,54.03
2013-09-30,743.21,7.85,751.06,420.91,0.0,26.3,191.32,13.1,112.59,-13.16,7.04,-6.12,33.15,-39.27,0.44,-38.83,0.05,-38.88,-38.88,41.64,0.0,-9.34,-9.34,1.91,45.97,2.25,100.0,54.03
2013-12-31,772.2,11.1,783.3,415.47,1.96,27.24,187.92,13.14,111.08,26.49,8.57,35.06,29.68,5.38,0.13,5.51,0.0,5.51,5.51,41.64,0.0,1.32,1.32,1.91,45.97,2.25,100.0,54.03
2014-03-31,773.51,6.11,779.62,416.75,0.0,87.96,149.72,14.22,75.6,35.37,35.55,70.92,17.67,53.25,14.99,68.24,4.35,63.89,63.89,41.64,0.0,15.34,15.34,1.91,45.97,2.25,100.0,54.03
2014-06-30,498.08,3.61,501.69,188.16,0.0,126.78,190.7,12.47,63.36,-79.78,5.63,-74.15,21.38,-95.53,0.0,-95.53,0.0,-95.53,-95.53,41.64,0.0,-22.94,-22.94,1.91,45.97,2.25,100.0,54.03
2014-09-30,447.04,4.24,451.28,288.41,0.0,-73.44,187.12,13.25,80.28,-44.34,7.5,-36.84,18.3,-55.14,0.0,-55.14,0.0,-55.14,-55.14,41.64,0.0,-13.24,-13.24,1.91,45.97,2.25,100.0,54.03
2014-12-31,563.15,13.74,576.89,302.14,0.32,-11.86,186.77,13.02,94.16,-7.66,14.56,6.9,18.32,-11.42,0.0,-11.42,0.0,-11.42,-11.42,41.64,0.0,-2.74,-2.74,1.91,45.97,2.25,100.0,54.03
2015-03-31,1268.28,11.05,1279.33,594.65,0.0,167.78,204.53,13.4,149.42,149.55,31.81,181.36,12.51,168.85,0.15,169.0,0.15,168.85,168.85,41.64,0.0,40.55,40.55,1.91,45.97,2.25,100.0,54.03
2015-06-30,581.02,9.23,590.25,275.47,0.0,97.26,196.03,12.86,78.9,-70.27,7.1,-63.17,11.7,-74.87,0.0,-74.87,0.0,-74.87,-74.87,41.64,0.0,-17.98,-17.98,1.91,45.97,2.25,100.0,54.03
