Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,1148.5,1148.5,0.0,435.9,55.1,288.1,196.7,172.7,52.9,225.6,0.2,225.4,0.0,225.4,73.8,151.6,151.6,1888.6,16270.3,0.86,0.86,38.86,20.58,150.0,100.0,79.42
2013-03-31,1162.6,1162.6,0.0,450.8,49.3,278.8,194.0,189.7,114.8,304.5,0.2,304.3,3.1,307.4,113.5,193.9,193.9,1888.7,15783.7,1.03,1.02,38.87,20.58,150.0,100.0,79.42
2013-06-30,1193.3,1193.3,0.0,462.2,52.8,304.3,188.8,185.2,353.0,538.2,0.1,538.1,0.0,538.1,96.9,441.2,441.2,1888.8,16243.1,2.34,2.33,38.88,25.58,150.0,100.0,79.42
2013-09-30,1234.1,1234.1,0.0,504.5,52.4,274.3,174.3,228.6,25.3,253.9,33.5,220.4,0.0,220.4,72.1,148.3,148.3,1888.8,16374.3,0.79,0.78,38.88,20.59,150.0,100.0,79.41
2013-12-31,1277.9,1277.9,0.0,508.7,54.7,264.0,175.8,274.7,43.1,317.8,-18.1,335.9,0.0,335.9,108.2,227.7,227.7,1888.9,16584.7,1.2,1.2,38.89,20.59,150.0,100.0,79.41
2014-03-31,1294.0,1294.0,0.0,478.3,55.2,258.8,206.0,295.7,100.1,395.8,-6.4,402.2,0.0,402.2,129.5,272.7,272.7,1889.3,15859.3,1.44,1.44,38.93,20.61,150.0,100.0,79.39
2014-06-30,1322.9,1322.9,0.0,500.0,60.3,273.6,193.2,295.8,1023.2,1319.0,-5.7,1324.7,0.0,1324.7,118.0,1206.7,1206.7,1890.0,17053.5,6.38,6.37,39.0,20.64,150.0,100.0,79.36
2014-09-30,1369.3,1369.3,0.0,526.9,59.8,275.7,199.2,307.7,348.2,655.9,-1.1,657.0,0.0,657.0,129.8,527.2,527.2,1890.3,16573.0,2.79,2.78,47.53,25.14,141.5,100.0,74.86
2014-12-31,1359.4,1359.4,0.0,501.0,61.6,285.1,188.9,322.8,85.3,408.1,-0.8,408.9,0.0,408.9,135.0,273.9,273.9,1890.6,16834.5,1.45,1.45,47.56,25.15,141.5,100.0,74.85
2015-03-31,1337.3,1337.3,0.0,456.4,62.7,287.8,184.9,345.5,538.7,884.2,1.1,883.1,0.0,883.1,165.7,717.4,717.4,1893.8,16069.7,3.79,3.78,53.21,28.1,136.0,100.0,71.81
2015-06-30,1371.7,1371.7,0.0,501.2,63.5,281.7,204.2,321.1,36.3,357.4,-13.2,370.6,0.0,370.6,130.4,240.2,240.2,1896.3,17469.2,1.27,1.27,53.47,28.19,136.0,100.0,71.72
2015-09-30,1372.6,1372.6,0.0,505.5,66.2,287.1,205.5,308.3,17.5,325.8,-233.1,558.9,0.0,558.9,194.4,364.5,364.5,1896.7,16342.1,1.92,1.92,0.0,0.0,0.0,0.0,0.0
2015-12-31,1395.9,1395.9,0.0,501.3,65.6,291.0,208.5,329.5,38.3,367.8,-25.0,392.8,0.0,392.8,134.3,258.5,258.5,1896.7,16585.0,1.36,1.36,0.0,0.0,0.0,0.0,0.0
2016-03-31,1418.1,1418.1,0.0,482.1,62.5,295.2,203.8,374.5,18.5,393.0,-157.2,550.2,0.0,550.2,85.8,464.4,464.4,1896.7,17032.9,2.45,2.45,0.0,0.0,0.0,0.0,0.0
2016-06-30,1453.1,1453.1,0.0,503.9,69.9,287.9,218.3,373.1,966.6,1339.7,-176.5,1516.2,0.0,1516.2,39.3,1476.9,1476.9,1896.7,18496.7,7.79,7.79,0.0,0.0,0.0,0.0,0.0
