Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Other Earnings,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,"Stores, Spares And Loose Tools",Capital Goods,Long Term Borrowings,Short Term Borrowings,Deferred Tax Assets [Net],Raw Materials,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2014-03-31,140.0,140.0,1623.16,1623.16,1763.16,96.27,0.0,8.13,391.91,188.71,382.53,91.97,696.94,2852.01,1888.15,7.1,262.34,2157.59,69.17,10.97,0.0,2237.73,48.18,37.09,219.59,251.37,38.36,19.69,614.28,2852.01,433.93,0.94,0.01,69.17,48.18,0.88,21.21,287.51,33.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,140.0,140.0,1958.13,1958.13,2098.13,127.18,0.0,11.28,283.77,189.16,397.42,105.01,691.59,3073.49,1950.45,5.36,254.1,2209.91,249.67,12.49,0.0,2472.07,41.19,40.89,235.19,231.45,36.42,16.28,601.42,3073.49,323.79,0.7,0.03,249.67,41.19,11.06,11.06,145.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,140.0,140.0,2273.23,2273.23,2413.23,164.7,0.0,14.52,179.22,204.82,467.14,101.7,773.66,3366.11,1993.87,15.78,294.85,2304.5,259.17,13.45,0.0,2577.12,0.0,47.17,240.03,453.76,32.59,15.44,788.99,3366.11,476.02,0.79,0.0,259.17,0.0,0.62,19.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,140.0,140.0,2786.56,2786.56,2926.56,180.62,20.34,0.0,200.96,274.0,684.61,0.0,958.61,4086.13,2103.18,13.97,351.79,2468.94,259.17,7.77,20.19,2756.07,417.87,51.72,201.39,608.59,2.49,48.0,1330.06,4086.13,282.03,0.0,0.0,259.17,417.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,140.0,140.0,3372.9,3372.9,3512.9,225.31,13.64,0.0,238.95,338.58,837.73,0.0,1176.31,4928.16,2415.55,16.48,386.02,2818.05,258.12,8.37,61.03,3145.57,889.57,52.37,226.14,558.03,6.48,50.0,1782.59,4928.16,3450.79,9.8,0.0,258.12,889.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,140.0,140.0,3989.85,3989.85,4129.85,267.84,20.93,0.0,288.77,488.48,1042.24,0.0,1530.72,5949.34,2855.3,21.55,478.08,3354.93,258.12,11.47,82.45,3706.97,1285.87,50.94,221.48,607.09,3.78,73.21,2242.37,5949.34,4719.36,7.52,0.01,258.12,1285.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,140.0,140.0,4922.36,4922.36,5062.36,211.91,79.02,23.47,314.4,224.96,1313.24,257.29,1795.49,7172.25,3538.73,18.17,776.69,4333.59,258.12,13.38,69.52,4674.61,0.0,51.11,170.39,2179.94,1.99,94.21,2497.64,7172.25,4978.94,39.1,0.06,258.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,140.0,140.0,5731.85,5731.85,5871.85,242.19,95.57,25.64,363.4,418.6,1586.54,347.01,2352.15,8587.4,4303.8,17.07,846.94,5167.81,258.12,13.69,52.27,5491.89,1567.7,45.55,260.71,1132.29,7.64,81.62,3095.51,8587.4,4524.34,9.81,0.0,258.12,1567.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,140.0,140.0,6796.15,6796.15,6936.15,273.67,94.67,26.75,395.09,786.69,1931.62,402.77,3121.08,10452.32,4989.61,12.13,1378.6,6380.34,258.12,0.0,51.17,6689.63,1717.68,45.52,520.56,1361.64,0.0,117.29,3762.69,10452.32,5281.77,2.1,0.0,258.12,1717.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,140.0,140.0,6946.56,6946.56,7086.56,316.78,113.01,27.99,457.78,901.33,2814.43,515.82,4231.58,11775.92,5720.54,13.0,1433.74,7167.28,258.12,0.0,122.62,7548.02,419.13,49.17,903.35,2633.23,0.0,223.02,4227.9,11775.92,6731.71,5.49,0.0,258.12,419.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,140.0,140.0,8411.74,8411.74,8551.74,369.54,87.95,32.6,490.09,984.24,2494.71,599.79,4078.74,13120.57,6590.28,8.63,1396.44,7995.35,276.99,0.0,492.98,8765.32,880.62,52.23,1018.52,2149.26,0.0,254.62,4355.25,13120.57,5665.36,1.11,0.0,276.99,880.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,280.0,280.0,9004.02,9004.02,9284.02,456.26,106.81,37.8,600.87,934.57,2618.31,750.9,4303.78,14188.67,7165.16,5.72,1485.66,8656.54,292.58,15.29,599.31,9563.72,1329.07,48.76,707.78,2256.8,0.0,282.54,4624.95,14188.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
