Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Other Earnings,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,"Stores, Spares And Loose Tools",Capital Goods,Long Term Borrowings,Short Term Borrowings,Deferred Tax Assets [Net],Raw Materials,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2004-03-31,140.0,140.0,111.76,111.76,251.76,37.0,0.0,0.0,97.0,58.37,2.67,72.88,133.93,482.69,339.04,0.0,37.9,376.94,0.0,0.0,0.0,377.01,0.0,11.98,10.51,4.74,78.45,0.0,105.68,482.69,15.24,0.35,0.01,0.0,0.0,0.0,17.19,60.0,0.0,0.07,2.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,140.0,140.0,172.47,172.47,312.47,38.47,0.0,0.0,86.47,56.43,4.32,128.35,189.1,588.03,343.63,0.0,31.03,374.66,60.98,0.0,0.0,435.79,0.0,18.05,10.83,6.77,116.6,0.0,152.24,588.03,61.7,0.04,0.04,60.98,0.0,0.0,3.07,48.0,0.0,0.14,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,140.0,140.0,238.7,238.7,378.7,35.49,0.0,0.0,35.49,56.44,5.7,193.58,255.72,669.91,365.45,0.0,29.91,395.36,42.51,0.0,0.0,438.15,0.0,18.4,18.97,11.03,183.35,0.0,231.76,669.91,55.23,0.12,0.0,42.51,0.0,0.0,6.2,0.0,0.0,0.28,1.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,140.0,140.0,327.52,327.52,467.52,30.69,0.0,0.0,30.69,73.68,6.39,275.64,355.71,853.92,358.72,4.72,30.99,394.43,127.64,0.0,0.0,522.6,0.0,20.83,18.82,40.45,251.22,0.0,331.33,853.92,58.75,0.04,0.09,127.64,0.0,0.0,14.36,0.0,0.0,0.52,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,140.0,140.0,436.46,436.46,576.46,24.75,0.0,0.0,24.75,77.25,8.42,385.35,471.02,1072.23,352.86,4.72,58.97,416.55,108.84,0.0,0.0,526.29,0.0,22.92,22.64,139.89,360.49,0.0,545.94,1072.23,66.93,0.01,0.04,108.84,0.0,0.0,13.54,0.0,0.0,0.9,4.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,140.0,140.0,543.42,543.42,683.42,22.17,0.0,0.0,22.17,83.6,28.68,475.94,588.23,1293.82,434.65,4.83,81.63,521.1,104.18,0.0,0.0,626.56,0.0,23.74,31.87,146.17,465.47,0.0,667.26,1293.82,73.16,0.0,0.01,104.18,0.0,0.0,54.17,0.0,0.0,1.28,5.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,140.0,140.0,685.45,685.45,825.45,25.8,0.0,0.0,25.8,121.68,59.72,77.59,258.99,1110.24,646.58,4.83,182.62,834.03,17.02,0.0,0.0,853.03,0.0,27.81,33.49,121.25,74.66,0.0,257.22,1110.24,462.47,1.24,0.02,17.02,0.0,0.0,57.22,0.0,0.0,1.98,5.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,140.0,140.0,863.86,863.86,1003.86,40.77,116.8,4.36,399.43,142.57,94.92,81.51,363.34,1766.63,1158.14,1.31,327.21,1486.66,0.0,39.05,0.0,1525.71,41.64,35.9,74.48,17.31,57.49,14.1,240.92,1766.63,408.42,0.6,0.01,0.0,41.64,8.17,154.85,237.5,44.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,140.0,140.0,1088.94,1088.94,1228.94,62.72,192.81,5.41,598.44,181.16,181.15,81.55,495.38,2322.76,1578.77,0.82,375.13,1954.72,0.0,5.4,0.0,1960.12,98.41,37.38,129.8,31.99,55.61,9.45,362.64,2322.76,159.58,1.08,0.0,0.0,98.41,4.99,68.33,337.5,51.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,140.0,140.0,1352.99,1352.99,1492.99,84.34,0.0,8.04,395.51,211.52,391.63,90.39,739.52,2628.02,1842.26,5.07,291.29,2138.62,0.0,5.81,0.0,2144.43,142.59,39.65,178.86,50.96,59.62,11.91,483.59,2628.02,299.87,1.01,0.01,0.0,142.59,4.89,21.66,303.13,45.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
