Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2022-09-30,3554.01,0.0,3554.01,2610.03,-0.68,49.65,91.43,367.49,436.09,109.99,546.08,3.08,543.0,543.0,126.85,416.15,416.15,140.0,5.95,5.95,0.0,0.0,0.0,0.0,0.0
2022-12-31,3710.81,0.0,3710.81,2864.0,-0.41,43.77,92.49,374.98,335.98,55.74,391.72,2.61,389.11,389.11,110.85,278.26,278.26,140.0,3.98,3.98,0.0,0.0,0.0,0.0,0.0
2023-03-31,3687.18,0.0,3687.18,2794.07,-1.55,46.68,93.77,381.7,372.51,65.44,437.95,2.55,435.4,435.4,105.65,329.75,329.75,140.0,4.71,4.71,0.0,0.0,0.0,0.0,0.0
2023-06-30,3406.99,0.0,3406.99,2332.38,1.67,50.84,98.93,379.72,543.45,45.66,589.11,2.37,586.74,586.74,148.34,438.4,438.4,140.0,6.26,6.26,0.0,0.0,0.0,0.0,0.0
2023-09-30,3458.51,0.0,3458.51,2380.8,-0.49,51.55,102.23,369.71,554.71,133.97,688.68,2.46,686.22,686.22,151.41,534.81,534.81,140.0,7.64,7.64,0.0,0.0,0.0,0.0,0.0
2023-12-31,3556.19,0.0,3556.19,2547.63,-1.74,58.28,101.82,387.88,462.32,54.98,517.3,1.77,515.53,515.53,123.46,392.07,392.07,140.0,5.6,5.6,0.0,0.0,0.0,0.0,0.0
2024-03-31,3596.79,0.0,3596.79,2552.9,-0.07,65.96,110.77,455.45,411.78,109.44,521.22,2.55,518.67,518.67,135.87,382.8,382.8,140.0,5.47,5.47,0.0,0.0,0.0,0.0,0.0
2024-06-30,3520.6,0.0,3520.6,2481.96,-0.15,50.71,114.31,406.23,467.54,72.67,540.21,2.21,538.0,538.0,136.55,401.45,401.45,140.0,5.74,5.74,0.0,0.0,0.0,0.0,0.0
2024-09-30,3697.29,0.0,3697.29,2707.45,-0.61,48.43,118.39,406.1,417.53,149.32,566.85,2.32,564.53,564.53,133.44,431.09,431.09,140.0,6.16,6.16,0.0,0.0,0.0,0.0,0.0
2024-12-31,3759.06,0.0,3759.06,2944.37,-1.08,50.16,121.55,401.98,242.08,128.75,370.83,2.09,368.74,368.74,82.92,285.82,285.82,140.0,4.08,4.08,0.0,0.0,0.0,0.0,0.0
2025-03-31,3950.57,0.0,3950.57,2941.76,-0.52,50.97,119.82,461.13,377.41,90.81,468.22,2.59,465.63,465.63,116.4,349.23,349.23,280.0,2.49,2.49,0.0,0.0,0.0,0.0,0.0
