Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,868.03,1.41,869.45,576.02,-0.1,13.82,47.42,92.61,139.68,2.6,142.28,14.13,128.16,128.16,41.82,86.34,86.34,140.0,6.17,6.17,7.7,55.0,6.3,100.0,45.0
2013-03-31,881.78,0.63,882.41,585.09,-0.08,17.82,48.86,94.12,136.6,3.13,139.72,12.52,127.21,127.21,43.68,83.53,83.53,140.0,5.97,5.97,7.7,55.0,6.3,100.0,45.0
2013-06-30,901.46,1.24,902.7,595.74,-0.27,14.68,53.15,98.63,140.77,3.81,144.58,12.8,131.78,131.78,44.2,87.58,87.58,140.0,6.26,6.26,7.7,55.0,6.3,100.0,45.0
2013-09-30,1009.02,1.01,1010.03,692.62,-0.06,14.76,54.79,101.58,146.34,3.84,150.18,9.81,140.37,140.37,47.62,92.75,92.75,140.0,6.62,6.62,7.7,55.0,6.3,100.0,45.0
2013-12-31,1040.43,0.96,1041.39,715.32,-0.11,15.64,55.83,115.39,139.32,7.02,146.34,11.89,134.45,134.45,44.99,89.46,89.46,140.0,6.39,6.39,7.7,55.0,6.3,100.0,45.0
2014-03-31,966.48,1.57,968.05,677.75,0.28,14.48,55.76,83.35,136.43,6.42,142.85,9.63,133.22,133.22,42.73,90.49,90.49,140.0,6.46,6.46,7.7,55.0,6.3,0.0,45.0
2014-06-30,867.18,1.55,868.73,541.68,0.29,16.19,36.83,102.22,171.52,7.77,179.29,9.13,170.16,170.16,56.13,114.03,114.03,140.0,8.15,8.15,7.7,55.0,6.3,100.0,45.0
2014-09-30,948.86,2.19,951.05,609.71,-0.17,16.87,36.96,107.79,179.89,8.55,188.44,10.39,178.05,178.05,58.44,119.61,119.61,140.0,8.54,8.54,7.7,55.0,6.3,100.0,45.0
2014-12-31,940.97,3.44,944.41,625.84,-0.33,16.34,37.56,110.55,154.45,11.38,165.83,6.33,159.5,159.5,51.3,108.2,108.2,140.0,7.73,7.73,7.7,55.0,6.3,100.0,45.0
2015-03-31,912.91,3.88,916.79,0.0,0.05,16.59,37.37,724.32,138.46,6.83,145.29,3.97,141.32,141.32,45.44,95.88,95.88,140.0,6.85,6.85,7.7,55.0,6.3,100.0,45.0
2015-06-30,899.43,2.33,901.76,558.62,0.08,16.87,45.98,121.92,158.29,5.58,163.87,3.55,160.32,160.32,57.81,102.51,102.51,140.0,7.32,7.32,7.7,55.0,6.3,100.0,45.0
2015-09-30,965.81,3.37,969.18,624.09,-0.13,16.7,46.45,130.12,151.95,6.55,158.5,2.74,155.76,155.76,54.13,101.63,101.63,140.0,7.26,7.26,0.0,0.0,0.0,0.0,0.0
2015-12-31,926.92,2.3,929.22,568.33,0.17,24.28,46.05,142.22,148.17,11.21,159.38,1.72,157.66,157.66,51.81,105.85,105.85,140.0,7.56,7.56,0.0,0.0,0.0,0.0,0.0
2016-03-31,885.63,0.0,885.63,524.33,0.61,20.51,17.77,162.32,160.09,6.55,166.64,1.91,164.73,164.73,55.67,109.06,109.06,140.0,7.79,7.79,0.0,0.0,0.0,0.0,0.0
2016-06-30,897.04,2.62,899.66,477.33,0.03,23.76,46.55,138.9,213.09,8.03,221.12,0.0,221.12,221.12,73.11,148.01,148.01,140.0,10.57,10.57,0.0,0.0,0.0,0.0,0.0
2016-09-30,962.43,4.06,966.49,534.98,-0.2,23.71,48.28,163.11,196.61,21.08,217.69,0.0,217.69,217.69,73.51,144.18,144.18,140.0,10.3,10.3,0.0,0.0,0.0,0.0,0.0
2016-12-31,942.9,3.84,946.74,518.12,-0.02,25.89,47.87,155.72,199.16,15.24,214.4,0.0,214.4,214.4,69.59,144.81,144.81,140.0,10.34,10.34,0.0,0.0,0.0,0.0,0.0
2017-03-31,1001.89,0.0,1001.89,553.55,-0.07,18.35,24.37,217.87,187.82,20.88,208.7,1.21,207.49,207.49,73.42,134.07,134.07,140.0,9.58,9.58,0.0,0.0,0.0,0.0,0.0
2017-06-30,1049.22,0.0,1049.22,548.5,0.14,25.1,43.9,198.17,233.41,17.88,251.29,0.36,250.93,250.93,89.67,161.26,161.26,140.0,11.52,11.52,0.0,0.0,0.0,0.0,0.0
2017-09-30,1126.09,0.0,1126.09,593.05,-0.03,25.89,45.02,225.59,236.57,24.97,261.54,0.36,261.18,261.18,92.31,168.87,168.87,140.0,12.06,12.06,0.0,0.0,0.0,0.0,0.0
2017-12-31,1183.9,0.0,1183.9,673.06,-0.33,27.4,45.33,220.7,217.74,32.55,250.29,0.36,249.93,249.93,84.01,165.92,165.92,140.0,2.37,2.37,0.0,0.0,0.0,0.0,0.0
2018-03-31,1232.93,0.0,1232.93,677.2,-0.18,27.66,47.04,236.88,244.33,26.73,271.06,0.61,270.45,270.45,95.73,174.72,174.72,140.0,2.5,2.5,0.0,0.0,0.0,0.0,0.0
2018-06-30,1287.4,0.0,1287.4,742.07,-0.3,31.1,47.26,219.48,247.79,26.24,274.03,0.56,273.47,273.47,97.58,175.89,175.89,140.0,2.51,2.51,0.0,0.0,0.0,0.0,0.0
2018-09-30,1421.5,0.0,1421.5,842.5,-0.04,30.09,50.3,240.94,257.71,33.17,290.88,0.56,290.32,290.32,103.04,187.28,187.28,140.0,2.68,2.68,0.0,0.0,0.0,0.0,0.0
2018-12-31,1508.44,0.0,1508.44,907.68,-0.42,34.74,51.28,248.58,266.58,40.3,306.88,0.91,305.97,305.97,107.98,197.99,197.99,140.0,2.83,2.83,0.0,0.0,0.0,0.0,0.0
2019-03-31,1542.64,0.0,1542.64,905.65,0.19,46.62,52.24,258.98,278.96,51.31,330.27,0.02,330.25,330.25,104.75,225.5,225.5,140.0,3.22,3.22,0.0,0.0,0.0,0.0,0.0
2019-06-30,1576.12,0.0,1576.12,921.9,-0.2,36.67,60.47,259.29,297.99,35.4,333.39,1.63,331.76,331.76,113.4,218.36,218.36,140.0,3.12,3.12,0.0,0.0,0.0,0.0,0.0
2019-09-30,1692.45,0.0,1692.45,990.45,0.05,36.36,62.14,272.95,330.5,38.96,369.46,1.81,367.65,367.65,-13.33,380.98,380.98,140.0,5.44,5.44,0.0,0.0,0.0,0.0,0.0
2019-12-31,1664.17,0.0,1664.17,940.69,0.27,43.66,64.13,287.75,327.67,50.76,378.43,2.01,376.42,376.42,92.57,283.85,283.85,140.0,4.06,4.06,0.0,0.0,0.0,0.0,0.0
2020-03-31,1552.53,0.0,1552.53,825.73,0.47,35.01,65.51,314.58,311.23,31.26,342.49,2.67,339.82,339.82,86.47,253.35,253.35,140.0,3.62,3.62,0.0,0.0,0.0,0.0,0.0
2020-06-30,638.57,0.0,638.57,298.63,0.46,31.4,68.17,224.64,15.27,30.63,45.9,2.37,43.53,43.53,11.69,31.84,31.84,140.0,0.45,0.45,0.0,0.0,0.0,0.0,0.0
2020-09-30,1440.74,0.0,1440.74,610.34,-0.63,31.25,71.11,392.66,336.01,65.71,401.72,2.29,399.43,399.43,91.49,307.94,307.94,140.0,4.4,4.4,0.0,0.0,0.0,0.0,0.0
2020-12-31,1446.16,0.0,1446.16,606.29,0.56,37.46,74.99,301.18,425.68,25.91,451.59,3.05,448.54,448.54,113.67,334.87,334.87,140.0,4.78,4.78,0.0,0.0,0.0,0.0,0.0
2021-03-31,1550.63,0.0,1550.63,714.51,-0.62,34.28,76.12,310.7,415.64,27.98,443.62,3.63,439.99,439.99,108.99,331.0,331.0,140.0,4.73,4.73,0.0,0.0,0.0,0.0,0.0
2021-06-30,1257.39,0.0,1257.39,562.09,-0.08,37.39,77.81,277.13,303.05,29.83,332.88,2.94,329.94,329.94,85.65,244.29,244.29,140.0,3.49,3.49,0.0,0.0,0.0,0.0,0.0
2021-09-30,1831.19,0.0,1831.19,929.97,-1.7,52.39,80.48,320.35,449.7,77.45,527.15,2.56,524.59,524.59,124.05,400.54,400.54,140.0,5.72,5.72,0.0,0.0,0.0,0.0,0.0
2021-12-31,2215.46,0.0,2215.46,1385.35,-1.14,47.65,83.5,313.99,386.11,30.37,416.48,2.83,413.65,413.65,105.13,308.52,308.52,140.0,4.41,4.41,0.0,0.0,0.0,0.0,0.0
2022-03-31,2405.92,0.0,2405.92,1518.68,-0.84,38.52,75.27,349.1,425.19,77.39,502.58,4.88,497.7,497.7,136.1,361.6,361.6,140.0,5.17,5.17,0.0,0.0,0.0,0.0,0.0
2022-06-30,3193.85,0.0,3193.85,2172.77,-2.21,48.08,85.67,357.7,531.84,30.74,562.58,2.35,560.23,560.23,139.37,420.86,420.86,140.0,6.01,6.01,0.0,0.0,0.0,0.0,0.0
