Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-09-30,1372.48,18.79,1391.27,805.47,15.02,-26.84,108.09,42.13,252.31,195.09,6.22,201.31,29.99,171.32,124.85,296.17,58.16,238.01,0.0,238.01,29.11,8.17,8.17,13.17,45.24,12.51,78.48,42.98
2012-12-31,1412.63,18.74,1431.37,854.23,22.29,-88.73,109.95,42.24,251.13,240.26,1.08,241.34,28.5,212.84,-64.96,147.88,3.6,144.28,0.0,144.28,29.11,4.96,4.96,13.17,45.24,12.35,77.46,42.42
2013-03-31,1455.24,17.69,1472.93,732.22,16.71,53.97,111.27,45.98,305.78,207.0,6.63,213.63,25.95,187.68,9.54,197.22,33.68,163.54,0.0,163.54,29.12,5.62,5.61,13.15,45.16,12.22,76.54,41.97
2013-06-30,1595.78,15.96,1611.74,795.59,18.84,56.58,123.46,45.93,249.01,322.33,2.87,325.2,20.73,304.47,-139.53,164.94,21.31,143.63,0.0,143.63,29.12,4.93,4.93,13.15,45.16,12.97,81.21,44.54
2013-09-30,1581.62,16.38,1598.0,808.38,4.29,18.55,119.64,47.03,286.85,313.26,2.05,315.31,19.69,295.62,-78.38,217.24,37.54,179.7,0.0,179.7,29.12,6.17,6.16,13.15,45.16,12.64,79.15,43.41
2013-12-31,1892.91,5.04,1897.95,880.28,64.24,-46.48,133.47,47.19,286.62,532.63,13.13,545.76,17.45,528.31,20.21,548.52,130.36,418.16,0.0,418.16,29.12,14.36,14.34,13.18,45.27,12.44,78.08,42.73
2014-03-31,1979.26,23.76,2003.02,938.09,9.52,-64.4,137.63,45.82,371.07,565.29,14.82,580.11,28.75,551.36,37.41,588.77,158.17,430.6,0.0,430.6,29.15,14.78,14.77,13.23,45.39,12.93,81.24,44.37
2014-06-30,1934.56,16.44,1951.0,913.85,5.48,-6.03,148.0,63.4,301.71,524.59,5.69,530.28,7.38,522.9,0.0,522.9,129.5,393.4,0.0,393.4,29.15,13.5,13.48,13.31,45.66,13.65,86.18,46.83
2014-09-30,1988.66,19.04,2007.7,982.5,7.35,-61.4,159.62,59.54,321.05,539.04,18.65,557.69,57.95,499.74,0.0,499.74,108.08,391.66,0.0,391.66,29.15,13.44,13.42,13.38,45.9,14.33,90.87,49.16
2014-12-31,2074.36,23.63,2097.99,983.65,1.79,12.16,172.62,59.55,364.38,503.84,11.71,515.55,25.71,489.84,0.0,489.84,95.57,394.27,0.0,394.27,29.15,13.52,13.52,13.39,45.94,14.41,91.44,49.43
