Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Increase/Decrease in Stocks,Employees Cost,Depreciation,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-09-30,646.22,3.62,649.84,40.85,0.0,37.45,0.45,0.0,535.82,35.28,39.16,74.44,0.0,74.44,-0.11,74.33,25.04,49.29,0.0,49.29,120.0,4.11,4.11,1.2,10.0,1.08,100.0,90.0
2012-12-31,713.45,2.77,716.22,57.25,5.04,41.62,0.39,0.0,594.85,17.07,36.2,53.27,0.0,53.27,-1.15,52.12,16.92,35.19,0.0,35.19,120.0,2.93,2.93,1.2,10.0,10.8,100.0,90.0
2013-03-31,1287.61,2.94,1290.55,118.61,113.77,56.25,0.07,0.0,903.95,97.9,39.74,137.65,0.0,137.65,-3.43,134.22,37.71,96.52,-0.54,95.97,120.0,8.0,8.0,1.2,10.0,10.8,100.0,90.0
2013-06-30,710.55,3.23,713.78,13.0,2.83,41.45,0.35,0.0,639.33,16.82,28.07,44.9,0.0,44.9,-2.9,41.99,16.66,25.33,0.0,25.33,120.0,2.11,2.11,1.2,10.0,10.8,100.0,90.0
2013-09-30,862.56,3.27,865.83,107.5,31.01,38.9,0.34,0.0,630.91,57.17,35.3,92.47,0.0,92.47,-0.24,92.23,32.18,60.05,0.0,60.05,120.0,5.0,5.0,1.2,10.0,10.8,100.0,90.0
2013-12-31,990.42,2.19,992.61,48.45,40.89,66.85,0.35,0.0,790.82,45.25,35.54,80.79,0.0,80.79,-0.26,80.53,24.67,55.86,0.0,55.86,120.0,4.65,4.65,1.2,10.0,10.8,100.0,90.0
2014-03-31,1445.24,20.87,1466.11,168.77,13.31,34.91,0.31,0.0,1145.79,103.02,35.76,138.78,0.0,138.78,-18.98,119.8,12.86,106.93,0.0,106.93,120.0,8.91,8.91,1.2,10.0,10.8,100.0,90.0
2014-06-30,834.48,8.69,843.17,42.62,5.46,48.68,0.77,0.0,712.02,33.62,24.75,58.37,0.0,58.37,-6.43,51.94,19.47,32.46,0.0,32.46,120.0,2.71,2.71,1.2,10.0,10.8,100.0,90.0
2014-09-30,904.37,23.45,927.82,15.74,27.29,49.88,0.6,0.0,784.23,50.08,27.66,77.73,0.0,77.73,0.0,77.73,17.64,60.09,0.0,60.09,120.0,5.01,5.01,1.2,10.0,10.8,100.0,90.0
2014-12-31,1101.84,19.82,1121.66,13.44,13.94,49.56,0.52,0.0,996.54,47.66,22.04,69.69,0.0,69.69,0.0,69.69,18.91,50.78,0.0,50.78,120.0,4.23,4.23,1.2,10.0,10.8,100.0,90.0
2015-03-31,1780.31,26.0,1806.31,107.84,62.56,47.01,0.46,0.0,1423.43,165.01,35.32,200.33,8.69,191.64,0.0,191.64,57.68,133.96,0.0,133.96,120.0,11.16,11.16,1.2,10.0,10.8,100.0,90.0
2015-06-30,1147.32,2.18,1149.5,21.97,35.86,66.83,0.61,0.0,985.34,38.89,31.19,70.08,7.61,62.47,0.0,62.47,19.2,43.27,0.0,43.27,120.0,3.61,3.61,1.2,10.0,10.8,100.0,90.0
2015-09-30,1116.61,8.74,1125.35,9.55,58.32,50.32,0.46,0.0,940.82,65.89,31.77,97.66,5.29,92.38,0.0,92.38,25.13,67.25,0.0,67.25,120.0,5.6,5.6,1.2,10.0,10.8,100.0,90.0
2015-12-31,1421.11,4.9,1426.01,12.62,20.62,53.13,0.54,0.0,1278.19,60.91,34.2,95.11,9.9,85.21,0.0,85.21,25.63,59.58,0.0,59.58,120.0,4.97,4.97,0.0,0.0,0.0,0.0,0.0
2016-03-31,2241.23,62.05,2303.28,188.5,-237.8,51.98,0.62,0.0,2121.74,178.24,31.89,210.13,13.97,196.16,0.0,196.16,57.46,138.7,0.0,138.7,120.0,2.31,2.31,0.0,0.0,0.0,0.0,0.0
2016-06-30,1245.19,18.92,1264.12,2.3,-65.48,54.74,0.61,0.0,1227.69,44.26,34.71,78.97,9.65,69.32,0.0,69.32,23.9,45.41,0.0,45.41,120.0,0.76,0.76,0.0,0.0,0.0,0.0,0.0
2016-09-30,1215.73,33.09,1248.81,1.68,-19.98,52.97,0.61,0.0,1142.04,71.48,31.93,103.41,10.41,93.0,0.0,93.0,25.8,67.2,0.0,67.2,120.0,1.12,1.12,0.0,0.0,0.0,0.0,0.0
2016-12-31,1408.26,12.25,1420.51,1.87,-52.72,55.65,0.66,0.0,1340.08,74.96,36.56,111.52,17.79,93.73,0.0,93.73,30.02,63.71,0.0,63.71,120.0,1.06,1.06,0.0,0.0,0.0,0.0,0.0
2017-03-31,2342.0,3.95,2345.95,4.16,-14.08,72.73,0.72,0.0,2073.33,209.09,22.67,231.76,0.16,231.6,0.0,231.6,73.29,158.32,16.45,174.77,180.0,1.94,1.94,0.0,0.0,0.0,0.0,0.0
2017-06-30,1260.56,6.0,1266.56,2.53,-29.76,88.5,0.69,0.0,1140.41,64.19,19.75,83.94,0.02,83.92,0.0,83.92,27.98,55.94,0.0,55.94,180.0,0.62,0.62,0.0,0.0,0.0,0.0,0.0
2017-09-30,1128.43,4.3,1132.72,0.77,-22.68,85.58,0.69,0.0,984.73,83.64,20.99,104.63,0.16,104.47,0.0,104.47,30.35,74.12,0.0,74.12,180.0,0.82,0.82,0.0,0.0,0.0,0.0,0.0
2017-12-31,1312.56,8.94,1321.5,2.42,-15.29,75.07,0.69,0.0,1190.58,68.02,26.3,94.32,0.17,94.15,0.0,94.15,32.26,61.89,0.0,61.89,180.0,0.69,0.69,0.0,0.0,0.0,0.0,0.0
2018-03-31,2170.14,14.09,2184.23,2.71,-19.5,60.52,0.64,0.0,1959.01,180.85,39.09,219.94,-0.14,220.08,0.0,220.08,78.43,141.65,0.0,141.65,180.0,0.79,0.79,0.0,0.0,0.0,0.0,0.0
