Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Admin. And Selling Expenses,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-09-30,334.8,0.8,335.6,88.34,60.67,0.01,20.79,7.14,85.1,61.21,12.34,25.62,37.96,0.0,37.96,37.96,13.13,24.83,0.0,24.83,32.59,7.62,7.62,0.37,11.24,2.85,98.61,87.52
2012-12-31,351.92,0.32,352.24,70.91,116.72,-14.33,17.95,7.38,68.39,65.54,19.68,9.22,28.9,0.0,28.9,28.9,10.2,18.7,0.0,18.7,32.59,5.74,5.74,0.37,11.24,2.86,98.87,87.76
2013-03-31,356.54,0.38,356.92,72.84,102.29,-17.16,18.72,7.85,66.61,71.62,34.15,7.94,42.09,0.0,42.09,42.09,14.93,27.16,0.0,27.16,32.59,8.33,8.33,0.37,11.24,2.85,98.61,87.62
2013-06-30,392.07,0.89,392.96,75.84,102.81,9.84,21.19,8.95,79.06,74.12,21.15,8.17,29.32,0.02,29.3,29.3,12.83,16.47,0.0,16.47,32.59,5.06,5.06,0.37,11.24,2.85,98.61,87.52
2013-09-30,387.17,0.43,387.6,81.32,111.57,-11.55,23.58,8.13,88.1,71.38,15.07,8.83,23.9,0.01,23.89,23.89,8.75,15.14,0.0,15.14,32.59,4.65,4.65,0.37,11.24,2.85,98.61,87.52
2013-12-31,426.6,0.37,426.97,100.71,122.98,0.51,22.99,8.13,96.9,68.17,6.58,10.86,17.44,0.0,17.44,17.44,6.4,11.04,0.0,11.04,32.59,3.39,3.39,0.81,25.0,2.44,100.0,75.0
2014-03-31,455.18,0.32,455.5,109.76,113.86,-3.52,17.64,7.98,123.84,76.37,9.57,4.88,14.45,0.45,14.0,14.0,5.52,8.48,0.0,8.48,32.59,2.6,2.6,0.81,25.0,2.44,100.0,75.0
2014-06-30,476.67,3.05,479.72,66.07,139.17,15.92,30.92,8.74,110.56,90.16,18.18,7.05,25.23,-0.1,25.33,25.33,8.57,16.76,0.0,16.76,32.59,5.14,5.14,0.81,25.0,2.44,100.0,75.0
2014-09-30,438.93,1.05,439.98,67.07,147.4,-1.08,25.66,8.5,87.47,90.77,14.19,15.66,29.85,2.4,27.45,27.45,9.77,17.68,0.0,17.68,32.59,5.43,5.43,0.81,25.0,2.44,100.0,75.0
2014-12-31,498.09,0.38,498.47,136.73,99.81,-23.28,28.71,11.89,115.25,74.59,54.77,5.66,60.43,1.34,59.09,59.09,22.23,36.86,0.0,36.86,32.59,11.31,11.31,0.81,25.0,2.44,100.0,75.0
2015-03-31,493.68,0.46,494.14,105.75,102.21,16.16,31.28,10.56,116.71,73.46,38.01,6.5,44.51,0.63,43.88,43.88,13.12,30.76,0.0,30.76,32.59,9.44,9.44,0.81,25.0,2.44,100.0,75.0
2015-06-30,539.86,1.05,540.91,91.12,104.59,33.82,28.06,7.93,112.37,118.23,44.79,70.99,115.78,0.28,115.5,115.5,42.67,72.83,0.0,72.83,32.59,22.35,22.35,0.81,25.0,2.44,100.0,75.0
2015-09-30,481.53,0.2,481.73,108.35,101.75,-1.83,28.64,7.4,109.97,83.75,43.7,10.07,53.77,0.42,53.35,53.35,20.06,33.29,0.0,33.29,32.59,10.22,10.22,0.81,25.0,2.44,100.0,75.0
2015-12-31,508.28,0.1,508.38,112.23,111.84,-3.74,27.26,6.79,96.38,87.19,70.43,9.27,79.7,1.99,77.71,77.71,25.72,51.99,0.0,51.99,32.59,15.95,15.95,0.0,0.0,0.0,0.0,0.0
2016-03-31,452.78,0.0,452.78,129.41,106.44,-29.3,29.1,7.65,61.32,50.24,97.92,10.4,108.32,1.52,106.8,106.8,38.01,68.79,12.28,81.07,32.59,24.88,24.88,0.0,0.0,0.0,0.0,0.0
2016-06-30,509.3,0.39,509.69,137.34,112.57,-1.79,23.44,8.52,71.81,94.48,63.32,7.84,71.16,0.85,70.31,70.31,23.41,46.9,0.0,46.9,32.59,14.4,14.4,0.0,0.0,0.0,0.0,0.0
2016-09-30,411.63,0.1,411.73,103.87,102.45,-6.96,29.07,7.54,54.8,48.06,72.9,8.88,81.78,1.08,80.7,80.7,25.86,54.84,0.0,54.84,32.59,16.83,16.83,0.0,0.0,0.0,0.0,0.0
2016-12-31,389.35,0.03,389.38,76.51,122.74,-19.33,25.48,8.92,51.82,57.75,65.49,15.6,81.09,0.93,80.16,80.16,25.41,54.75,0.0,54.75,32.59,16.8,16.8,0.0,0.0,0.0,0.0,0.0
2017-03-31,524.89,0.0,524.89,111.39,89.22,26.08,36.04,8.38,51.21,51.43,151.14,8.44,159.58,2.05,157.53,157.53,51.71,105.82,0.0,105.82,32.59,32.47,32.47,0.0,0.0,0.0,0.0,0.0
2017-06-30,407.6,0.0,407.6,81.68,118.58,-20.19,19.13,13.51,72.54,68.64,53.71,4.9,58.61,2.68,55.93,55.93,18.26,37.67,0.0,37.67,32.59,11.56,11.56,0.0,0.0,0.0,0.0,0.0
2017-09-30,408.03,0.0,408.03,35.26,128.1,2.65,27.92,9.18,45.85,62.35,96.72,1.12,97.84,1.11,96.73,96.73,32.39,64.34,0.0,64.34,32.59,19.75,19.75,0.0,0.0,0.0,0.0,0.0
2017-12-31,407.52,0.0,407.52,47.25,136.87,-15.98,24.58,9.93,56.89,59.99,87.99,2.0,89.99,1.39,88.6,88.6,29.83,58.77,0.0,58.77,32.59,18.03,18.03,0.0,0.0,0.0,0.0,0.0
2018-03-31,451.54,0.0,451.54,28.98,139.65,18.39,29.86,11.45,61.22,55.37,106.62,1.06,107.68,0.84,106.84,106.84,35.52,71.32,0.0,71.32,32.59,21.89,21.89,0.0,0.0,0.0,0.0,0.0
