Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Admin. And Selling Expenses,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2018-06-30,409.76,0.0,409.76,29.83,126.34,15.8,35.57,11.73,53.23,89.26,48.0,8.57,56.57,4.12,52.45,52.45,17.83,34.62,0.0,34.62,32.59,10.62,10.62,0.0,0.0,0.0,0.0,0.0
2018-09-30,456.51,0.0,456.51,44.4,153.08,1.97,32.05,11.34,54.24,63.92,95.51,3.8,99.31,0.9,98.41,98.41,33.06,65.35,0.0,65.35,32.59,20.06,20.06,0.0,0.0,0.0,0.0,0.0
2018-12-31,475.66,0.0,475.66,74.95,196.74,-76.93,25.04,11.63,95.7,62.16,86.37,4.05,90.42,1.74,88.68,88.68,34.69,53.99,0.0,53.99,32.59,16.56,16.56,0.0,0.0,0.0,0.0,0.0
2019-03-31,465.51,0.0,465.51,52.41,119.59,22.27,25.14,12.04,29.93,70.01,134.12,3.33,137.45,1.29,136.16,136.16,48.4,87.76,0.0,87.76,32.59,26.93,26.93,0.0,0.0,0.0,0.0,0.0
2019-06-30,463.97,0.0,463.97,61.38,139.06,29.98,26.07,12.69,50.62,126.87,17.3,2.42,19.72,3.92,15.8,15.8,-30.02,45.82,0.0,45.82,32.59,14.07,14.07,0.0,0.0,0.0,0.0,0.0
2019-09-30,462.2,0.0,462.2,82.33,153.82,-22.52,32.74,12.19,65.85,52.07,85.72,1.68,87.4,0.8,86.6,86.6,24.84,61.76,0.0,61.76,32.59,18.95,18.95,0.0,0.0,0.0,0.0,0.0
2019-12-31,459.31,0.0,459.31,9.79,188.62,-13.76,27.51,12.52,73.24,73.96,87.43,4.37,91.8,1.88,89.92,89.92,18.85,71.07,0.0,71.07,32.59,21.81,21.81,0.0,0.0,0.0,0.0,0.0
2020-03-31,406.57,0.0,406.57,93.69,109.82,-23.37,29.65,12.93,51.69,64.65,67.51,3.61,71.12,0.37,70.75,70.75,18.37,52.38,0.0,52.38,32.59,16.07,16.07,0.0,0.0,0.0,0.0,0.0
2020-06-30,350.98,0.0,350.98,3.01,113.02,34.62,29.28,13.41,12.81,77.5,67.33,1.76,69.09,2.39,66.7,66.7,21.73,44.97,0.0,44.97,32.59,13.8,13.8,0.0,0.0,0.0,0.0,0.0
2020-09-30,516.4,0.0,516.4,99.76,128.46,30.15,36.69,13.37,0.0,88.94,119.03,3.5,122.53,0.25,122.28,122.28,26.99,95.29,0.0,95.29,32.59,29.24,29.24,0.0,0.0,0.0,0.0,0.0
2020-12-31,520.42,0.0,520.42,195.11,114.09,-74.93,31.15,13.79,62.08,57.74,121.39,3.79,125.18,1.96,123.22,123.22,41.32,81.9,0.0,81.9,32.59,25.14,25.14,0.0,0.0,0.0,0.0,0.0
2021-03-31,536.62,0.0,536.62,69.27,123.01,37.57,39.92,14.94,56.77,69.47,125.67,21.02,146.69,0.47,146.22,146.22,40.56,105.66,0.0,105.66,32.59,32.42,32.42,0.0,0.0,0.0,0.0,0.0
2021-06-30,435.98,0.0,435.98,118.53,50.99,-11.28,35.46,15.42,101.14,88.83,36.89,3.42,40.31,2.57,37.74,37.74,10.21,27.53,0.0,27.53,32.59,8.45,8.45,0.0,0.0,0.0,0.0,0.0
2021-09-30,573.31,0.0,573.31,130.64,130.47,16.77,38.09,15.81,66.11,66.25,109.17,3.21,112.38,0.33,112.05,112.05,30.12,81.93,0.0,81.93,32.59,25.14,25.14,0.0,0.0,0.0,0.0,0.0
2021-12-31,563.44,0.0,563.44,184.71,122.06,-28.27,37.82,16.34,71.03,61.94,97.81,1.71,99.52,2.49,97.03,97.03,26.53,70.5,0.0,70.5,32.59,21.64,21.64,0.0,0.0,0.0,0.0,0.0
2022-03-31,566.52,0.0,566.52,159.26,116.37,-9.84,40.27,17.63,64.96,63.84,114.03,1.3,115.33,5.3,110.03,110.03,40.72,69.31,0.0,69.31,32.59,21.27,21.27,0.0,0.0,0.0,0.0,0.0
2022-06-30,552.89,0.0,552.89,116.8,70.61,39.88,33.93,18.58,86.62,93.36,93.11,1.52,94.63,2.41,92.22,92.22,24.63,67.59,0.0,67.59,32.59,20.74,20.74,0.0,0.0,0.0,0.0,0.0
2022-09-30,619.92,0.0,619.92,184.36,114.04,-14.8,41.62,18.02,90.89,68.04,117.75,2.7,120.45,0.49,119.96,119.96,33.18,86.78,0.0,86.78,32.59,26.63,26.63,0.0,0.0,0.0,0.0,0.0
2022-12-31,618.62,0.0,618.62,211.13,113.29,-28.17,37.88,19.19,78.96,79.49,106.85,2.93,109.78,3.35,106.43,106.43,31.98,74.45,0.0,74.45,32.59,22.85,22.85,0.0,0.0,0.0,0.0,0.0
2023-03-31,619.07,0.0,619.07,150.99,127.36,12.48,53.23,21.84,77.56,63.74,111.87,11.77,123.64,0.77,122.87,122.87,20.17,102.7,0.0,102.7,32.59,31.52,31.52,0.0,0.0,0.0,0.0,0.0
2023-06-30,619.44,0.0,619.44,132.01,145.18,40.26,37.03,21.64,0.0,121.3,122.02,4.78,126.8,3.16,123.64,123.64,31.89,91.75,0.0,91.75,32.59,28.15,28.15,0.0,0.0,0.0,0.0,0.0
2023-09-30,667.55,0.0,667.55,179.11,154.83,-30.59,53.39,20.09,0.0,174.07,116.65,8.64,125.29,0.13,125.16,125.16,32.47,92.69,0.0,92.69,32.59,28.44,28.44,0.0,0.0,0.0,0.0,0.0
2023-12-31,639.46,0.0,639.46,198.1,113.46,-43.38,48.79,20.71,75.77,90.91,135.1,7.19,142.29,3.25,139.04,139.04,35.09,103.95,0.0,103.95,32.59,31.91,31.91,0.0,0.0,0.0,0.0,0.0
2024-03-31,680.74,0.0,680.74,141.46,145.6,30.08,45.38,20.64,0.0,157.88,139.7,5.69,145.39,2.57,142.82,142.82,43.73,99.09,0.0,99.09,32.59,30.41,30.41,0.0,0.0,0.0,0.0,0.0
2024-06-30,645.33,0.0,645.33,160.73,58.53,-6.63,39.85,21.2,0.0,218.32,153.33,4.58,157.91,2.68,155.23,155.23,39.26,115.97,0.0,115.97,32.59,35.59,35.59,0.0,0.0,0.0,0.0,0.0
2024-09-30,781.82,0.0,781.82,172.27,144.09,24.25,48.11,19.24,0.0,202.61,171.25,7.05,178.3,1.05,177.25,177.25,44.24,133.01,0.0,133.01,32.59,40.82,40.82,0.0,0.0,0.0,0.0,0.0
2024-12-31,685.55,0.0,685.55,229.19,115.84,-61.9,40.59,20.51,0.0,179.12,162.2,9.19,171.39,4.25,167.14,167.14,41.17,125.97,0.0,125.97,32.59,38.66,38.66,0.0,0.0,0.0,0.0,0.0
