Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,1854.32,27.37,1881.69,0.0,0.0,0.0,1320.72,67.82,102.86,171.27,219.02,37.48,256.5,111.39,145.11,0.0,145.11,50.31,94.8,0.0,94.8,472.45,2.01,2.01,22.0,46.57,25.25,100.0,53.43
2013-03-31,1827.65,112.5,1940.15,0.0,0.0,0.0,1384.03,48.82,103.55,270.85,132.9,42.91,175.81,105.87,69.94,0.0,69.94,44.93,25.01,-0.46,24.55,472.45,0.52,0.52,22.0,46.56,25.25,100.0,53.44
2013-06-30,2143.08,31.9,2174.98,0.0,0.0,0.0,1710.4,69.41,132.28,183.61,79.28,55.18,134.46,151.1,-16.64,0.0,-16.64,0.0,-16.64,6.54,-10.1,472.45,-0.21,-0.21,22.0,46.56,25.25,100.0,53.44
2013-09-30,2201.19,40.58,2241.77,0.0,0.0,0.0,1642.35,72.78,131.93,213.19,181.52,56.33,237.85,157.65,80.2,0.0,80.2,106.27,-26.07,0.0,-26.07,472.45,-0.55,-0.55,22.0,46.56,25.25,100.0,53.44
2013-12-31,1944.97,32.91,1977.88,0.0,0.0,0.0,1430.75,73.09,135.33,215.15,123.56,59.42,182.98,188.14,-5.16,0.0,-5.16,36.68,-41.84,0.0,-41.84,472.45,-0.89,-0.89,22.0,46.56,25.25,100.0,53.44
2014-03-31,2126.31,54.68,2180.99,0.0,0.0,0.0,1491.08,55.05,134.98,202.46,297.42,70.91,368.33,180.29,188.04,0.0,188.04,15.17,172.87,-0.02,172.85,472.45,3.66,3.66,22.0,46.56,25.25,100.0,53.44
2014-06-30,2492.9,38.78,2531.68,0.0,0.0,0.0,1882.32,78.4,137.25,171.05,262.66,62.18,324.84,181.47,143.37,0.0,143.37,63.09,80.28,0.0,80.28,472.45,1.7,1.7,22.0,46.56,25.25,100.0,53.44
2014-09-30,2592.47,87.76,2680.23,0.0,0.0,0.0,1988.69,96.39,136.57,202.14,256.44,66.61,323.05,181.54,141.51,-30.39,111.12,54.11,57.01,0.0,57.01,472.45,1.21,1.21,22.0,46.56,25.25,100.0,53.44
2014-12-31,2449.5,52.31,2501.81,0.0,0.0,0.0,1685.09,73.46,136.64,180.56,426.06,70.83,496.89,176.22,320.67,0.0,320.67,85.33,235.34,0.0,235.34,472.45,4.98,4.98,22.0,46.56,25.25,100.0,53.44
2015-03-31,2304.35,266.88,2571.23,0.0,0.0,0.0,1580.32,91.9,137.52,191.47,570.02,123.4,693.42,166.93,526.49,7.4,533.89,164.51,369.38,0.05,369.43,472.45,7.82,7.82,22.0,46.56,25.25,100.0,53.44
2015-06-30,2908.31,150.07,3058.38,62.25,0.0,-6.05,1978.39,93.91,220.15,185.25,524.48,65.77,590.25,284.83,305.42,0.0,305.42,98.2,207.22,0.0,207.22,480.62,4.31,4.31,22.0,46.56,25.25,100.0,53.44
2015-09-30,3043.24,55.87,3099.11,61.46,0.0,2.98,1951.9,87.14,214.51,234.36,546.76,118.52,665.28,314.62,350.66,0.0,350.66,111.86,238.8,0.0,238.8,480.62,4.97,4.97,0.0,0.0,0.0,0.0,0.0
2015-12-31,2803.81,214.3,3018.11,58.97,0.05,2.05,1741.34,92.82,224.93,181.45,716.5,48.75,765.25,265.08,500.17,-11.21,488.96,132.82,356.14,0.0,356.14,480.62,7.41,7.41,0.0,0.0,0.0,0.0,0.0
2016-03-31,2477.26,0.0,2477.26,46.66,0.0,7.85,1537.24,115.56,231.82,241.64,296.49,49.56,346.05,251.25,94.8,3.8,98.6,24.25,74.35,0.0,74.35,480.62,1.55,1.55,0.0,0.0,0.0,0.0,0.0
