Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Other Earnings,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Long Term Provisions,"Stores, Spares And Loose Tools",Capital Goods,Deferred Tax Assets [Net],Raw Materials
2005-03-31,0.01,0.01,0.0,0.0,0.01,0.08,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-09-30,472.45,472.45,2159.63,2159.63,2632.08,623.09,30.39,0.0,653.48,0.0,538.23,338.55,462.61,1339.38,4624.94,2501.76,1.03,978.78,0.0,0.0,3481.58,207.78,0.0,0.0,3728.83,0.0,93.94,409.1,55.11,337.96,0.0,896.11,4624.94,305.88,1.94,0.0,76.38,126.25,0.0,0.0,0.0,0.0,202.94,39.48,117.68
2007-03-31,472.45,472.45,2232.93,2232.93,2705.38,1627.12,31.51,0.0,1658.63,0.0,469.68,633.05,422.33,1525.07,5889.08,2620.29,1.17,2247.56,0.0,0.0,4869.02,125.33,0.0,0.0,4994.35,0.0,152.8,340.3,33.9,367.72,0.0,894.73,5889.08,228.99,0.22,0.0,73.44,43.67,0.0,0.0,0.0,0.0,744.83,0.0,30.2
2008-03-31,472.45,472.45,2417.31,2417.31,2889.76,2533.89,92.73,0.0,2626.62,3.36,756.96,411.95,604.99,1777.26,7293.64,3169.7,2.16,2827.9,0.0,0.0,5999.76,61.88,0.0,0.0,6061.64,0.0,165.8,412.8,185.88,467.52,0.0,1232.0,7293.64,144.72,2.07,0.0,11.27,48.56,0.0,0.0,0.0,0.0,203.39,0.0,0.13
2009-03-31,472.45,472.45,2760.95,2760.95,3233.4,3252.3,116.54,0.0,3368.84,0.0,764.45,439.5,606.65,1810.6,8412.84,3635.41,2.8,2867.1,0.0,0.0,6505.31,157.79,0.0,0.0,6663.1,0.0,167.96,487.59,640.49,453.7,0.0,1749.74,8412.84,231.73,0.23,0.0,11.26,144.48,0.0,0.0,0.0,0.0,31.94,0.0,0.77
2010-03-31,472.45,472.45,3487.7,3487.7,3960.15,3191.29,303.83,0.0,3495.12,0.0,798.66,502.37,942.77,2243.8,9699.07,6527.95,3.86,170.67,0.0,0.0,6702.48,357.9,0.0,0.0,7105.27,0.0,144.05,542.94,1171.43,735.38,0.0,2593.8,9699.07,165.29,0.14,0.0,11.19,344.66,0.0,0.0,0.0,0.0,186.93,44.89,1.66
2011-03-31,472.45,472.45,4314.68,4314.68,4787.13,2429.35,358.29,3.68,2894.73,185.96,744.41,1154.58,330.93,2415.88,10097.74,6603.21,11.02,374.46,10.07,0.0,6998.76,855.81,154.66,0.66,8009.89,108.35,263.44,503.75,925.61,178.84,107.86,2087.85,10097.74,2207.29,1.13,2.96,1.64,854.12,4.11,103.41,103.41,70.75,181.26,0.0,0.0
2012-03-31,472.45,472.45,5275.43,5275.43,5747.88,3183.27,463.55,93.98,3827.75,0.0,658.4,1354.84,239.84,2253.08,11828.71,7078.17,17.96,1334.18,3.04,0.0,8433.35,1044.86,95.39,0.66,9574.26,225.38,299.55,645.96,573.42,207.67,302.47,2254.45,11828.71,1610.96,5.37,324.99,1.63,1043.17,1.51,223.87,86.95,250.74,401.11,0.0,0.0
2013-03-31,472.45,472.45,5617.84,5617.84,6090.29,4492.58,574.72,718.36,5851.3,0.0,632.09,971.29,140.18,1743.56,13685.15,7262.76,14.86,2072.02,2.65,0.0,9352.29,1389.13,106.83,0.52,10848.77,323.7,244.28,730.89,1096.37,214.83,226.31,2836.38,13685.15,1325.79,3.87,44.99,1.01,1388.14,1.65,322.01,65.64,162.79,121.14,0.0,0.0
2014-03-31,472.45,472.45,5704.11,5704.11,6176.56,5593.71,699.34,1060.52,7418.47,0.0,633.09,1021.83,44.32,1699.24,15294.27,9283.98,13.93,118.15,0.0,0.0,9416.06,2114.34,22.15,0.76,11553.31,497.54,283.4,783.59,1527.04,204.65,444.74,3740.96,15294.27,440.6,19.51,0.32,1.93,2112.34,0.0,497.54,64.9,138.81,155.28,0.0,0.0
