Date,Net Sales/Income from operations,Total Income From Operations,Employees Cost,Depreciation,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS
2022-06-30,35.66,35.66,0.0,0.0,-10.06,49.92,-4.2,0.0,-4.2,0.0,-4.2,-4.2,-2.36,-1.84,-1.84,2.02,-9.11,0.0
2022-09-30,2.95,2.95,0.0,0.0,0.0,0.2,2.75,0.0,2.75,0.0,2.75,2.75,0.72,2.03,2.03,2.02,3.92,3.92
2022-12-31,34.96,34.96,0.0,0.0,0.0,4.1,30.86,0.0,30.86,0.0,30.86,30.86,22.82,8.04,8.04,2.02,15.55,15.55
2023-03-31,17.75,17.75,0.0,0.0,0.0,1.02,16.73,3.21,19.94,0.0,19.94,19.94,-3.09,23.03,23.03,2.02,44.55,44.55
2023-06-30,214.57,214.57,3.89,3.06,0.0,1.66,205.96,0.0,205.96,10.27,195.69,195.69,50.22,145.47,145.47,2.02,281.46,0.23
2023-09-30,148.9,148.9,11.78,3.1,0.0,10.46,123.56,0.0,123.56,0.0,123.56,123.56,34.8,88.76,88.76,6353.28,0.14,0.14
2023-12-31,134.08,134.08,14.42,3.09,0.0,18.83,97.74,0.0,97.74,0.0,97.74,97.74,27.26,70.48,70.48,6353.28,0.11,0.11
2024-03-31,140.51,140.51,12.64,3.06,0.0,20.8,104.01,0.0,104.01,0.0,104.01,104.01,26.25,77.76,77.76,6353.28,0.12,0.12
2024-06-30,133.89,133.89,16.04,3.07,5.83,11.07,97.88,0.0,97.88,0.0,97.88,97.88,26.12,71.76,71.76,6353.28,0.11,0.11
2024-09-30,382.77,382.77,30.69,3.12,-5.28,25.84,328.4,0.34,328.74,0.0,328.74,328.74,23.91,304.83,304.83,6353.28,0.48,0.48
2024-12-31,137.37,137.37,18.79,3.11,5.53,19.62,90.32,10.43,100.75,0.0,100.75,100.75,25.57,75.18,75.18,6353.14,0.12,0.12
2025-03-31,151.53,151.53,17.89,3.06,0.57,26.94,103.07,22.95,126.02,0.0,126.02,126.02,28.88,97.14,97.14,6353.14,0.15,0.15
