Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Raw Materials,Trade/Other Goods,Deferred Tax Liabilities [Net],Capital Goods,Preference Share Capital,Equity Share Application Money,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,"Stores, Spares And Loose Tools"
2004-03-31,51.72,51.72,220.83,220.83,272.55,147.36,0.0,0.0,159.4,174.62,197.33,32.35,25.65,429.96,861.91,214.21,0.0,7.17,0.0,0.0,221.38,102.91,1.99,0.0,0.0,326.27,0.0,128.75,199.57,14.99,192.33,0.0,535.63,861.91,111.53,4.11,0.0,0.0,0.0,41.33,45.35,0.0,0.0,5.12,0.0,12.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,51.72,51.72,235.76,235.76,287.48,396.96,0.0,0.0,409.83,176.97,214.18,39.99,23.78,454.93,1152.24,215.17,0.0,4.29,0.0,0.0,219.45,380.32,11.49,0.0,0.0,611.27,0.0,140.62,179.26,42.49,178.04,0.55,540.97,1152.24,231.44,6.03,0.0,0.0,0.0,101.36,330.79,0.0,0.0,6.37,0.0,12.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,60.47,60.47,793.87,793.87,854.34,1196.29,0.0,0.0,1225.92,335.91,566.47,113.38,40.98,1056.74,3178.75,459.87,0.0,2.6,0.0,0.0,462.48,702.27,22.57,0.0,0.0,1187.31,0.0,281.86,297.17,223.44,1188.69,0.28,1991.44,3178.75,150.86,48.29,0.0,9.41,1.53,282.41,209.54,0.0,0.0,24.0,0.0,29.62,0.34,0.0,41.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,94.48,102.23,1239.79,1239.79,1342.02,1146.2,0.0,0.0,1171.74,321.58,447.83,85.24,46.43,901.08,3414.84,453.87,0.0,10.61,0.0,0.0,464.48,662.46,24.74,0.0,0.0,1151.69,0.0,293.65,355.25,373.58,1240.4,0.28,2263.15,3414.84,112.48,43.48,0.0,0.0,4.7,179.45,169.34,0.0,0.0,25.16,0.0,25.54,0.0,7.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,100.16,100.16,1909.16,1909.16,2009.32,652.43,0.0,0.0,677.53,509.65,636.08,93.73,45.88,1285.34,3972.19,492.84,0.0,36.12,0.0,0.0,528.96,657.16,25.62,0.0,0.0,1211.74,0.0,384.38,413.5,28.0,1934.11,0.46,2760.46,3972.19,2638.12,22.45,0.0,0.0,1.96,482.44,171.62,0.0,0.0,53.96,0.0,25.1,2.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,100.16,100.16,3001.94,3001.94,3102.1,936.75,0.0,0.0,967.38,986.1,730.6,147.55,68.31,1932.57,6009.79,588.54,4.09,28.26,0.0,0.0,620.9,2051.48,52.27,0.0,0.0,2724.64,0.0,653.97,665.04,84.86,1880.79,0.49,3285.15,6009.79,3294.15,44.6,0.0,0.0,4.21,4.74,2050.71,0.0,0.0,147.29,0.0,30.63,2.51,0.0,7.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,125.59,125.59,4660.19,4660.19,4785.78,2425.59,0.0,0.0,2462.49,1090.49,876.66,174.59,81.78,2223.51,9471.78,702.56,4.1,39.58,0.0,0.0,746.24,1254.0,43.39,0.0,32.36,2075.98,0.0,829.19,946.16,246.47,5373.97,0.0,7395.79,9471.78,207.27,93.21,0.99,0.0,5.71,9.41,1253.21,0.0,0.0,208.66,0.0,36.9,19.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,130.8,130.8,4972.97,4972.97,5103.77,1724.19,12.65,34.87,1771.71,1277.77,1083.87,855.32,67.5,3284.47,10159.94,909.67,2.53,36.01,0.0,0.0,948.2,1450.91,20.27,4855.41,4.87,7279.67,2.34,1162.13,958.59,154.92,602.14,0.15,2880.26,10159.94,801.68,57.17,1.23,0.0,4.66,14.38,1440.94,0.0,2.34,254.54,0.0,0.0,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,130.8,130.8,5747.69,5747.69,5878.49,1399.19,20.02,38.8,1458.01,2045.65,1467.53,1180.83,71.22,4765.23,12101.73,1123.71,2.12,56.72,0.0,0.0,1182.55,1610.44,28.68,5376.56,6.0,8204.23,18.88,1452.24,1282.8,277.7,865.75,0.14,3897.5,12101.73,4774.84,69.79,1.23,0.0,3.39,508.66,1469.04,0.0,18.88,214.45,0.0,0.0,28.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,130.8,130.8,6261.17,6261.17,6391.96,998.63,62.07,37.63,1098.33,2357.24,1615.64,1515.02,73.46,5561.36,13051.65,1155.75,1.71,34.2,0.0,0.0,1191.66,1600.46,32.58,6199.83,38.01,9062.54,1.74,1321.46,1768.69,145.61,751.49,0.13,3989.11,13051.65,4716.29,58.71,1.23,60.06,8.75,664.7,1459.62,0.0,1.74,142.26,0.0,0.0,6.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
