Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Admin. And Selling Expenses,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,2174.01,28.67,2202.68,1140.18,244.2,-89.9,130.07,17.32,222.53,0.0,280.99,257.29,32.08,289.37,163.55,125.82,0.0,125.82,45.27,80.55,80.55,130.8,6.16,6.16,9.48,72.49,0.07,2.06,0.57
2013-03-31,2057.69,36.74,2094.43,1088.37,191.35,-37.29,121.54,19.48,211.95,0.0,282.43,216.6,46.88,263.48,157.02,106.46,-21.65,84.81,28.81,56.0,56.0,130.8,4.28,4.28,9.75,74.52,0.1,3.04,0.78
2013-06-30,2192.35,14.75,2207.1,1090.01,172.54,37.19,128.86,19.46,211.02,0.0,274.57,273.45,63.33,336.78,159.46,177.32,0.0,177.32,59.19,118.13,118.13,145.33,8.13,8.13,11.47,78.9,0.12,3.87,0.82
2013-09-30,2038.66,18.9,2057.56,1083.62,210.77,-74.08,134.01,16.8,211.48,0.0,267.55,207.41,70.24,277.65,136.42,141.23,0.0,141.23,46.96,94.27,94.27,145.33,6.49,6.49,9.28,63.85,3.67,69.96,25.29
2013-12-31,2278.4,30.2,2308.6,1338.73,212.49,-151.68,155.5,18.26,233.7,0.0,297.8,203.8,42.89,246.69,150.47,96.22,0.0,96.22,31.3,64.92,64.92,145.33,4.47,4.47,9.11,62.71,3.9,71.95,26.83
2014-03-31,1916.95,26.39,1943.34,965.13,196.85,-42.4,146.07,30.97,198.03,0.0,1375.78,-927.09,-27.55,-954.64,166.64,-1121.28,-4321.63,-5442.91,-62.81,-5380.1,-5380.1,145.33,-370.2,-370.2,8.92,61.38,4.25,75.74,29.25
2014-06-30,1908.98,14.92,1923.9,1007.06,171.27,-52.25,137.95,25.12,219.83,0.0,295.03,119.89,31.0,150.89,155.07,-4.18,-42.79,-46.97,8.59,-55.56,-55.56,145.33,-3.82,-3.82,9.74,67.04,4.46,93.03,30.66
2014-09-30,2156.54,22.04,2178.58,1058.28,224.94,27.97,142.93,25.29,198.4,0.0,292.77,208.0,31.91,239.91,155.28,84.63,-73.91,10.72,38.55,-27.83,-27.83,145.33,-1.91,-1.91,5.98,41.13,8.23,96.24,56.66
2014-12-31,2287.89,30.34,2318.23,1228.73,215.24,-46.7,143.85,25.03,229.75,0.0,309.17,213.16,22.64,235.8,148.47,87.33,0.0,87.33,8.52,78.81,78.81,145.33,5.42,5.42,5.98,41.13,8.23,96.24,56.66
2015-03-31,2020.37,30.88,2051.25,777.58,255.17,50.46,212.25,36.99,0.0,103.43,627.28,-11.91,74.43,62.52,134.15,-71.63,-1754.97,-1826.6,-27.32,-1799.28,-1799.28,145.33,-123.81,-123.81,5.98,41.13,8.23,96.24,56.66
