Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS
2017-06-30,624.09,0.0,624.09,494.48,0.0,36.62,9.41,10.4,27.19,45.99,2.09,48.08,12.6,35.48,35.48,9.86,25.62,25.62,23.81,9.89,9.89
2017-09-30,268.58,3.79,272.37,236.41,0.0,-18.53,9.88,10.48,18.83,15.3,-2.09,13.21,10.17,3.04,3.04,0.62,2.42,2.42,25.92,0.0,0.0
2017-12-31,338.4,3.99,342.39,291.87,0.0,-6.56,9.83,10.97,19.21,17.07,0.0,17.07,16.61,0.45,0.45,0.35,0.11,0.11,25.92,0.04,0.04
2018-03-31,692.0,0.0,692.0,568.13,0.0,7.79,12.72,11.31,35.47,56.59,0.8,57.39,7.2,50.19,50.19,16.36,33.83,33.83,31.45,10.76,10.76
2018-06-30,602.09,0.0,602.09,499.71,0.0,2.4,11.47,12.0,33.54,42.97,1.06,44.02,2.88,41.15,41.15,12.28,28.87,28.87,31.45,9.18,9.18
2018-09-30,226.28,0.0,226.28,185.86,0.0,0.22,10.53,12.31,20.79,-3.44,2.77,-0.67,3.28,-3.95,-3.95,-2.2,-1.75,-1.75,31.45,-0.56,-0.56
2018-12-31,388.76,0.0,388.76,370.41,0.0,-36.4,9.84,12.21,22.84,9.86,0.28,10.14,3.46,6.68,6.68,2.83,3.85,3.85,31.45,1.22,1.22
2019-03-31,971.28,0.0,971.28,796.99,0.0,12.79,11.09,13.07,47.98,89.35,4.85,94.2,5.15,89.05,89.05,27.49,61.56,61.56,31.45,19.57,19.57
2019-06-30,995.7,0.0,995.7,847.07,0.0,-0.61,12.6,14.52,43.32,78.79,5.04,83.83,7.65,76.17,76.17,27.59,48.58,48.58,31.45,15.45,15.45
2019-09-30,393.37,0.0,393.37,331.09,0.0,4.06,11.96,14.9,29.14,2.22,-0.58,1.64,7.08,-5.43,-5.43,-10.02,4.59,4.59,31.45,1.46,1.46
2019-12-31,567.59,0.0,567.59,536.31,0.0,-44.25,12.78,15.5,35.75,11.49,2.0,13.49,7.31,6.18,6.18,-5.36,11.54,11.54,31.45,3.67,3.67
2020-03-31,1046.08,0.0,1046.08,877.15,0.0,12.16,14.43,16.14,66.26,59.93,-0.59,59.34,7.36,51.99,51.99,-1.25,53.23,53.23,31.45,16.93,16.93
2020-06-30,190.83,0.0,190.83,143.64,0.0,24.59,10.56,16.82,17.73,-22.51,2.71,-19.8,8.75,-28.55,-28.55,-9.8,-18.75,-18.75,31.45,-5.96,-5.96
2020-12-31,576.42,0.0,576.42,550.33,0.0,-64.44,12.73,17.31,34.65,25.84,8.03,33.87,6.77,27.1,27.1,8.83,18.27,18.27,33.69,5.42,5.42
2021-03-31,1306.29,0.0,1306.29,1109.52,0.0,17.17,14.72,16.38,54.16,94.35,8.12,102.47,8.16,94.31,94.31,33.67,60.64,60.64,33.69,18.0,18.0
2021-06-30,573.91,0.0,573.91,453.2,0.0,42.98,17.67,17.96,31.59,10.52,7.34,17.86,7.46,10.4,10.4,3.5,6.9,6.9,33.69,2.05,2.05
2021-09-30,345.05,0.0,345.05,294.68,0.0,-3.76,18.92,19.57,27.72,-12.07,8.52,-3.56,4.48,-8.04,-8.04,-2.37,-5.67,-5.67,33.69,-1.68,-1.68
2021-12-31,662.1,0.0,662.1,643.86,0.0,-84.12,21.5,19.81,40.8,20.24,8.26,28.51,10.3,18.2,18.2,3.72,14.48,14.48,33.69,4.3,4.3
2022-03-31,1556.55,0.0,1556.55,1340.42,0.0,52.63,23.4,22.19,63.2,54.7,8.87,63.57,14.33,49.24,49.24,16.84,32.39,32.39,33.69,9.61,9.61
2022-06-30,1431.7,0.0,1431.7,1231.61,0.0,46.46,24.16,23.22,82.71,23.54,13.23,36.77,17.97,18.81,18.81,5.67,13.14,13.14,33.69,3.9,3.9
2022-09-30,327.82,0.0,327.82,273.37,0.0,-9.12,23.91,21.41,43.31,-25.06,12.12,-12.94,19.71,-32.64,-32.64,-9.01,-23.64,-23.64,33.69,-7.02,-7.02
2022-12-31,912.29,0.0,912.29,872.78,0.0,-74.77,26.12,24.46,57.41,6.29,9.26,15.55,22.62,-7.06,-7.06,-1.57,-5.5,-5.5,33.69,-1.63,-1.63
2023-03-31,2350.92,0.0,2350.92,2079.8,0.0,11.09,34.53,30.62,90.65,104.22,13.8,118.02,30.81,87.21,87.21,22.3,64.92,64.92,33.69,19.27,19.27
