Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Equity Share Application Money,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2004-03-31,300.0,300.0,5549.72,5549.72,0.0,5849.72,1126.77,1025.78,0.0,0.0,2152.56,1562.95,3712.09,3811.75,886.28,9973.06,17975.34,6033.09,12.73,1407.65,0.0,0.0,7453.48,1976.97,203.39,0.0,0.0,9633.84,0.0,4286.02,821.07,626.61,2607.8,0.0,8341.5,17975.34,2287.45,106.11,1319.21,1.23,277.0,2588.0,620.71,0.0,0.0,4796.64,0.0,49.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,300.0,300.0,6088.43,6088.43,0.0,6388.43,1271.51,1098.74,0.0,0.0,2370.25,2610.1,4752.22,3782.89,603.56,11748.77,20507.44,6985.06,15.06,1348.55,0.0,0.0,8348.67,1677.14,129.71,0.0,0.0,10155.52,0.0,6258.56,854.58,352.39,2876.99,9.41,10351.93,20507.44,2350.15,503.45,1943.41,1.15,277.0,2154.25,620.87,0.0,0.0,6836.12,0.0,85.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,300.0,300.0,8777.88,8777.88,0.0,9077.88,1652.98,1571.88,0.0,0.0,3224.86,6720.61,4274.94,4619.55,512.49,16127.58,28491.87,9876.22,41.15,1168.11,0.0,0.0,11085.47,3877.42,216.04,0.0,0.0,15178.93,0.0,9044.77,1315.89,492.1,1685.74,774.44,13312.94,28491.87,2751.56,1359.27,4285.64,1.03,277.0,4073.5,655.76,0.0,0.0,22263.5,0.0,115.18,61.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,361.54,361.54,9912.0,9912.0,0.0,10273.54,2160.16,1680.76,0.0,0.0,3840.91,8669.08,6122.04,4078.58,1076.07,19945.76,34060.21,10914.02,67.03,852.34,0.0,0.0,11833.39,7385.42,298.16,0.0,0.0,19516.97,0.0,8661.26,1518.73,863.97,1688.77,1810.51,14543.24,34060.21,3590.62,1072.39,5584.3,0.84,277.0,7369.3,636.48,0.0,0.0,28091.81,0.0,157.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,361.54,361.54,11315.3,11315.3,0.0,11676.84,3921.12,1785.24,0.0,0.0,5706.36,11101.26,9113.1,4481.02,986.15,25681.52,43064.72,11888.05,80.62,766.71,0.0,0.0,12735.38,9358.01,303.88,0.0,0.0,22397.27,0.0,10603.84,1608.61,961.59,1701.55,5791.87,20667.45,43064.72,5083.23,1705.36,7440.16,0.0,277.0,9628.55,707.04,0.0,0.0,32749.78,0.0,105.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,361.54,361.54,11766.57,11766.57,0.0,12128.11,3758.46,1862.81,0.0,0.0,5621.27,17412.95,6512.94,4605.93,1712.44,30244.26,47993.64,11882.28,83.51,2037.48,0.0,0.0,14003.27,16715.19,623.57,0.0,0.0,31342.03,0.0,6823.92,1425.67,441.55,3749.68,4210.79,16651.61,47993.64,5862.61,7236.02,6567.42,0.0,277.0,15338.25,1118.63,0.0,0.0,37882.48,0.0,142.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,361.54,361.54,12725.17,12725.17,0.0,13086.71,12181.05,1903.48,0.0,0.0,14084.53,10014.15,8359.97,6190.59,2580.59,27145.3,54316.54,13558.61,110.74,2517.75,0.0,0.0,16187.1,12201.32,1044.18,0.0,0.0,29432.6,0.0,12028.86,2662.68,342.36,7800.64,2049.4,24883.94,54316.54,9382.97,6631.72,10301.35,0.0,277.0,12137.83,1385.62,0.0,0.0,36551.48,0.0,322.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,361.54,361.54,13696.08,13696.08,0.0,14057.62,2648.38,1007.54,41.25,733.2,4430.37,13809.69,8414.48,13563.96,1599.83,37387.96,55875.95,15936.32,63.01,969.86,2.53,0.0,16971.72,4945.68,0.0,3166.62,0.94,25084.96,7091.38,15375.08,2532.65,379.03,520.88,4891.97,30790.99,55875.95,9943.94,7070.06,12380.37,0.0,277.0,2780.32,4253.65,7091.38,0.0,44321.61,44.18,123.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,361.54,361.54,14552.32,14552.32,0.0,14913.86,2159.09,1400.56,55.96,409.96,4025.57,19087.35,12789.91,13442.59,1347.7,46667.55,65606.98,16536.24,76.14,1116.53,2.53,0.0,17731.44,4970.29,0.0,3458.97,0.95,26161.65,5947.13,15948.06,6378.34,978.85,787.34,9405.61,39445.33,65606.98,9589.3,6073.72,19315.61,0.0,277.0,3452.32,4278.28,5947.13,0.0,68784.29,53.95,148.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,723.08,723.08,15910.94,15910.94,0.0,16634.02,5508.37,1655.72,60.82,435.06,7659.97,18058.42,8783.11,13533.62,2318.25,42693.4,66987.39,16624.03,66.38,2417.21,2.53,0.0,19110.15,6942.1,0.0,2528.4,16.93,28597.58,5160.9,16690.37,4025.13,2328.86,1244.98,8939.57,38389.81,66987.39,11467.93,5082.97,18455.61,0.0,638.54,2820.86,6250.09,5160.9,0.0,76391.33,152.35,266.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
