Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-09-30,187.6,3.23,190.83,156.66,0.0,-8.77,5.41,1.13,22.15,14.26,1.57,15.82,0.99,14.83,0.0,14.83,3.71,11.13,0.0,11.13,9.08,12.25,12.25,0.53,58.17,0.28,74.05,30.98
2012-12-31,136.69,2.61,139.3,102.24,0.0,6.76,4.8,1.26,17.23,7.01,0.29,7.31,1.1,6.21,0.0,6.21,1.47,4.73,0.0,4.73,9.08,5.21,5.21,0.53,58.21,0.31,80.61,33.69
2013-03-31,156.2,2.23,158.43,127.8,0.0,-9.28,5.59,1.4,20.08,12.84,0.35,13.19,1.28,11.9,-1.12,10.79,4.18,6.61,0.0,6.61,9.08,7.28,7.28,0.53,58.21,0.31,80.61,33.69
2013-06-30,266.32,4.43,270.74,202.94,6.01,3.09,8.38,1.39,26.94,21.99,0.31,22.3,1.26,21.04,0.0,21.04,6.81,14.23,0.0,14.23,9.08,15.66,15.66,0.53,58.21,0.31,80.61,33.69
2013-09-30,297.94,6.99,304.93,223.73,0.02,13.4,8.19,1.27,29.23,29.09,0.24,29.33,1.19,28.13,0.0,28.13,9.56,18.58,0.0,18.58,9.08,20.45,20.45,0.53,58.27,0.31,80.58,33.63
2013-12-31,274.43,4.24,278.67,220.13,0.0,-11.59,8.99,1.45,27.15,32.54,1.58,34.11,0.45,33.67,0.0,33.67,11.22,22.44,0.0,22.44,9.08,24.71,24.71,0.53,58.27,0.31,80.58,33.63
2014-03-31,273.93,3.34,277.26,229.56,0.0,-17.53,9.66,1.43,32.75,21.39,1.55,22.93,0.6,22.34,0.0,22.34,7.84,14.5,0.0,14.5,9.08,15.96,15.96,0.52,57.47,0.31,80.95,34.43
2014-06-30,472.88,5.22,478.1,370.29,0.0,10.35,11.32,2.03,46.21,37.91,1.24,39.15,0.59,38.56,0.0,38.56,12.94,25.62,0.0,25.62,9.08,28.21,28.21,0.51,55.64,0.33,81.73,36.25
2014-09-30,525.66,6.02,531.68,428.89,0.0,-18.32,12.97,2.19,54.23,51.72,2.57,54.29,0.42,53.87,0.0,53.87,19.69,34.18,0.0,34.18,9.08,37.63,37.63,0.51,55.7,0.33,81.71,36.2
2014-12-31,381.75,3.28,385.03,289.68,0.0,-4.05,12.66,2.34,36.09,48.32,3.68,52.0,0.25,51.75,0.0,51.75,17.25,34.5,0.0,34.5,9.08,37.99,37.99,0.51,55.85,0.33,81.65,36.05
2015-03-31,378.41,3.04,381.45,294.72,0.0,-2.98,10.69,2.24,42.13,34.63,1.52,36.16,0.49,35.67,0.0,35.67,13.39,22.27,0.0,22.27,9.08,24.52,24.52,0.51,55.84,0.33,81.65,36.06
2015-06-30,597.45,5.95,603.4,471.48,0.0,-5.91,15.18,2.6,58.5,61.55,3.21,64.76,0.29,64.46,4.33,68.79,23.08,45.71,0.0,45.71,9.08,50.33,50.33,0.51,55.79,0.4,100.0,44.21
2015-09-30,526.78,6.17,532.95,404.89,0.0,-0.56,15.09,2.53,51.08,59.92,5.49,65.41,0.3,65.11,0.35,65.47,21.5,43.96,0.0,43.96,9.08,48.4,48.4,0.51,56.05,0.4,100.0,43.95
2015-12-31,407.34,5.77,413.11,292.99,0.0,10.49,14.66,2.22,39.46,53.29,3.96,57.25,0.19,57.06,0.46,57.52,18.35,39.17,-2.46,36.71,9.08,8.08,8.08,0.0,0.0,0.0,0.0,0.0
2016-03-31,463.73,5.1,468.83,373.62,0.0,-18.09,12.85,2.0,52.81,45.64,5.37,51.0,0.56,50.44,-7.18,43.26,13.7,29.57,0.0,29.57,9.08,6.51,6.51,0.0,0.0,0.0,0.0,0.0
2016-06-30,749.43,7.13,756.56,617.99,0.0,-25.39,18.22,2.22,68.9,74.62,4.58,79.2,0.12,79.08,-8.62,70.46,23.9,46.56,0.0,46.56,9.08,10.25,10.25,0.0,0.0,0.0,0.0,0.0
2016-09-30,703.23,9.83,713.06,592.94,0.0,4.7,14.24,2.71,53.55,44.91,6.85,51.76,0.51,51.25,-9.96,41.28,12.18,29.11,0.0,29.11,9.08,6.41,6.41,0.0,0.0,0.0,0.0,0.0
2016-12-31,537.18,7.66,544.84,423.74,0.0,-3.49,15.5,3.32,49.57,56.2,2.68,58.89,0.17,58.71,0.0,58.71,19.89,38.82,0.0,38.82,9.08,8.55,8.55,0.0,0.0,0.0,0.0,0.0
2017-03-31,639.73,0.0,639.73,375.5,0.0,56.14,20.03,3.26,63.58,121.22,3.53,124.76,1.53,123.23,0.0,123.22,42.38,80.84,0.0,80.84,9.08,17.8,17.8,0.0,0.0,0.0,0.0,0.0
2017-06-30,881.78,0.0,881.78,584.03,0.0,25.45,28.93,3.48,29.42,210.46,6.82,217.28,0.24,217.04,0.0,217.04,74.63,142.41,0.0,142.41,9.08,31.33,31.33,0.0,0.0,0.0,0.0,0.0
2017-09-30,654.48,0.0,654.48,447.8,1.37,5.16,24.27,3.49,22.62,149.77,8.05,157.82,0.64,157.18,0.0,157.18,54.21,102.97,0.0,102.97,9.08,22.59,22.59,0.0,0.0,0.0,0.0,0.0
2017-12-31,551.75,0.0,551.75,365.95,0.53,1.9,22.78,3.66,23.31,133.63,9.87,143.49,0.33,143.16,0.0,143.16,49.07,94.09,0.0,94.09,9.08,20.61,20.61,0.0,0.0,0.0,0.0,0.0
2018-03-31,726.76,0.0,726.76,606.48,0.82,-38.35,21.59,4.04,30.94,101.23,11.37,112.59,0.03,112.56,-0.79,111.77,36.31,75.46,0.0,75.46,9.08,16.62,16.62,0.0,0.0,0.0,0.0,0.0
2018-06-30,915.51,0.0,915.51,728.05,0.0,15.68,24.15,4.97,33.08,109.58,7.91,117.49,0.25,117.24,5.16,122.4,42.95,79.44,0.0,79.44,13.62,5.83,5.83,0.0,0.0,0.0,0.0,0.0
2018-09-30,553.65,0.0,553.65,448.12,0.0,14.26,17.22,5.11,30.29,38.65,10.11,48.76,0.21,48.56,0.0,48.56,15.99,32.56,0.0,32.56,13.62,2.39,2.39,0.0,0.0,0.0,0.0,0.0
2018-12-31,607.02,0.0,607.02,484.42,0.0,-2.39,20.67,5.08,28.02,71.23,13.32,84.54,0.24,84.31,0.03,84.33,28.59,55.74,0.0,55.74,13.62,4.09,4.09,0.0,0.0,0.0,0.0,0.0
2019-03-31,662.25,0.0,662.25,560.11,0.0,-14.74,20.79,5.13,23.27,67.69,13.26,80.94,0.55,80.39,0.0,80.39,24.64,55.75,0.0,55.75,13.62,4.09,4.09,0.0,0.0,0.0,0.0,0.0
2019-06-30,907.22,0.0,907.22,732.43,0.0,-1.95,26.13,5.15,38.09,107.37,14.5,121.86,0.3,121.56,0.0,121.56,41.47,80.08,0.0,80.08,13.62,5.88,5.88,0.0,0.0,0.0,0.0,0.0
2019-09-30,832.91,0.0,832.91,655.08,0.0,13.54,24.58,5.58,34.62,99.51,16.91,116.41,0.15,116.26,0.0,116.26,11.05,105.21,0.0,105.21,13.62,7.72,7.72,0.0,0.0,0.0,0.0,0.0
2019-12-31,657.68,0.0,657.68,569.85,0.0,4.02,19.32,4.91,32.61,26.96,15.84,42.81,0.18,42.63,0.0,42.63,11.2,31.42,0.0,31.42,13.62,2.31,2.31,0.0,0.0,0.0,0.0,0.0
2020-03-31,764.76,0.0,764.76,646.48,0.0,-31.47,23.37,5.34,37.91,83.13,13.38,96.51,0.58,95.93,0.0,95.93,26.67,69.26,0.0,69.26,13.62,5.08,5.08,0.0,0.0,0.0,0.0,0.0
2020-06-30,777.79,0.0,777.79,632.36,0.0,-7.86,24.94,5.23,28.2,94.92,17.64,112.56,0.09,112.47,0.0,112.47,26.54,85.93,0.0,85.93,13.62,6.31,6.31,0.0,0.0,0.0,0.0,0.0
2020-09-30,897.0,0.0,897.0,696.12,0.0,20.97,30.04,5.19,39.26,105.41,17.81,123.23,0.17,123.05,0.0,123.05,31.12,91.94,0.0,91.94,13.62,6.75,6.75,0.0,0.0,0.0,0.0,0.0
2020-12-31,677.05,0.0,677.05,541.05,0.36,15.67,23.78,5.23,32.65,58.31,19.53,77.84,0.09,77.75,0.0,77.75,19.0,58.74,0.0,58.74,13.62,4.31,4.31,0.0,0.0,0.0,0.0,0.0
2021-03-31,890.67,0.0,890.67,746.4,0.0,-23.66,24.83,5.68,55.75,81.67,9.39,91.06,0.14,90.93,0.0,90.93,22.16,68.77,0.0,68.77,13.62,5.05,5.05,0.0,0.0,0.0,0.0,0.0
2021-06-30,1240.64,0.0,1240.64,1071.0,0.0,16.75,28.46,5.49,41.67,77.28,16.17,93.45,0.27,93.18,0.0,93.18,22.93,70.25,0.0,70.25,13.62,5.16,5.16,0.0,0.0,0.0,0.0,0.0
2021-09-30,960.76,0.0,960.76,905.11,0.0,-6.0,20.63,5.47,36.45,-0.89,21.16,20.27,0.59,19.67,0.0,19.67,4.1,15.58,0.0,15.58,13.62,1.14,1.14,0.0,0.0,0.0,0.0,0.0
2021-12-31,807.62,0.0,807.62,694.78,0.0,10.92,24.51,5.28,33.58,38.54,11.3,49.85,0.14,49.71,0.0,49.71,11.59,38.12,0.0,38.12,13.62,2.8,2.8,0.0,0.0,0.0,0.0,0.0
2022-03-31,1038.53,0.0,1038.53,876.13,0.0,-0.86,26.49,4.86,41.87,90.04,11.82,101.86,0.15,101.71,0.0,101.71,26.4,75.32,0.0,75.32,13.62,5.53,5.53,0.0,0.0,0.0,0.0,0.0
2022-06-30,1306.73,0.0,1306.73,1197.48,0.0,-52.43,31.57,4.93,52.22,72.96,4.68,77.64,0.26,77.38,0.0,77.38,19.63,57.75,0.0,57.75,13.62,4.24,4.24,0.0,0.0,0.0,0.0,0.0
2022-09-30,1021.34,0.0,1021.34,873.92,0.0,23.72,33.03,4.92,52.28,33.47,18.84,52.31,0.19,52.12,0.0,52.12,11.89,40.23,0.0,40.23,13.62,2.95,2.95,0.0,0.0,0.0,0.0,0.0
2022-12-31,857.61,0.0,857.61,699.29,0.95,16.74,32.7,5.72,52.04,50.18,20.25,70.42,0.17,70.26,0.0,70.26,18.44,51.82,0.0,51.82,13.62,3.8,3.8,0.0,0.0,0.0,0.0,0.0
2023-03-31,855.67,0.0,855.67,706.21,0.0,-21.22,33.44,7.45,41.59,88.2,18.98,107.18,0.13,107.05,0.0,107.05,24.0,83.05,0.0,83.05,13.62,6.1,6.1,0.0,0.0,0.0,0.0,0.0
