Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Unquoted Book Value,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Deferred Tax Liabilities [Net],Intangible Assets Under Development,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Current Investments
2004-03-31,28.19,28.19,206.65,206.65,0.0,234.84,65.8,0.0,0.0,77.27,1.23,63.78,12.8,23.13,100.94,413.05,95.51,0.0,0.18,95.69,5.01,5.36,0.0,3.09,109.15,78.58,182.72,1.93,40.67,0.0,303.9,413.05,32.89,9.66,7.43,50.27,21.44,15.77,5.01,123.28,0.0,0.0,0.15,11.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,28.19,28.19,225.3,225.3,0.0,253.49,0.99,0.0,0.0,7.26,9.05,112.82,12.62,24.04,158.53,419.28,76.97,0.0,1.36,78.33,0.0,5.5,0.0,0.0,83.83,119.84,173.55,1.85,40.21,0.0,335.45,419.28,30.56,10.29,8.91,55.86,29.67,15.77,0.0,209.55,0.0,0.0,0.2,6.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,28.19,28.19,248.21,248.21,0.0,276.4,0.25,0.0,0.0,2.29,1.05,79.12,13.55,28.23,121.95,400.64,63.9,0.0,6.59,70.49,2.95,5.51,0.0,0.0,78.95,110.58,152.14,0.92,58.05,0.0,321.69,400.64,45.61,9.39,8.91,24.69,38.87,15.77,2.95,216.58,0.0,0.0,0.3,2.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,28.19,28.19,275.21,275.21,0.0,303.4,0.0,0.0,0.0,4.01,0.51,112.62,13.31,29.58,156.02,463.43,99.5,0.0,4.99,104.49,11.9,6.0,0.0,0.0,122.39,115.26,145.08,2.44,78.26,0.0,341.04,463.43,42.87,10.31,10.4,31.7,37.84,15.77,11.9,264.9,0.0,0.0,10.42,4.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,28.19,28.19,311.49,311.49,0.0,339.68,0.0,0.0,0.0,5.41,0.0,139.56,11.75,33.61,184.92,530.01,116.86,0.0,4.0,120.86,11.9,7.77,0.0,0.0,140.53,124.92,158.69,8.16,97.71,0.0,389.48,530.01,12.09,25.06,10.4,37.03,50.5,15.77,11.9,320.56,0.0,0.0,2.76,5.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,28.19,28.19,357.04,357.04,0.0,385.23,0.0,0.0,0.0,6.59,0.0,219.96,11.21,34.45,265.62,657.44,125.94,0.0,21.15,147.09,9.0,6.84,0.0,0.0,162.93,200.98,137.28,27.7,128.55,0.0,494.51,657.44,17.24,33.21,10.4,56.61,65.7,15.77,9.0,462.14,0.0,0.0,10.18,6.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,40.77,40.77,825.0,825.0,0.0,865.77,0.0,0.0,0.0,10.51,0.0,328.17,19.5,54.21,401.88,1278.16,243.31,0.0,9.52,252.83,9.0,19.1,0.0,0.0,280.93,349.51,258.0,163.84,218.61,7.27,997.23,1278.16,29.8,41.92,14.05,59.89,69.13,15.77,9.0,627.87,0.0,0.0,7.15,10.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,43.29,43.29,924.69,924.69,0.0,967.98,36.04,42.71,18.96,97.71,88.72,470.28,125.65,44.01,728.66,1794.35,349.05,0.0,26.11,375.16,0.0,0.74,82.4,4.02,462.32,622.08,530.9,18.45,145.6,15.0,1332.03,1794.35,49.8,105.69,23.38,220.42,102.08,15.77,0.0,822.57,0.26,615.14,12.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,43.29,43.29,1005.43,1005.43,0.0,1048.72,20.38,48.99,20.18,89.73,154.51,669.86,200.98,29.74,1055.09,2193.54,387.35,5.85,83.87,488.54,0.0,0.0,107.18,3.97,599.69,745.52,624.85,33.91,184.55,5.02,1593.85,2193.54,56.52,119.87,25.39,212.96,127.91,15.77,0.0,1188.96,0.64,437.32,44.42,0.18,11.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,43.29,43.29,1099.26,1099.26,0.0,1142.55,258.27,50.97,28.6,338.77,101.18,942.68,246.07,34.41,1324.34,2805.66,411.82,23.58,319.32,754.72,0.0,0.0,177.26,67.51,999.49,895.25,681.53,15.55,208.0,5.84,1806.17,2805.66,389.57,144.71,12.7,260.44,177.31,15.77,0.0,1207.61,0.56,569.53,21.12,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
