Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,Other Earnings,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Deferred Tax Liabilities [Net],Long Term Loans And Advances,Short Term Loans And Advances,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Preference Share Capital,Equity Share Application Money,Government/Other Grants,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Current Investments,Trade/Other Goods
2004-03-31,17.82,17.82,18.79,18.79,36.61,400.78,0.0,0.0,400.78,0.0,0.0,170.39,4.71,175.1,612.49,92.76,0.0,18.25,111.01,109.19,0.0,0.1,220.3,39.17,74.17,15.61,0.0,392.19,612.49,137.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,17.82,231.51,20.61,20.61,252.12,275.97,0.0,0.0,286.76,0.0,140.91,0.15,5.11,146.17,689.39,109.7,0.09,4.01,113.81,146.52,2.68,0.05,263.05,48.49,99.66,17.26,0.0,426.34,689.39,67.89,0.6,0.0,0.26,0.0,146.52,10.78,0.0,260.92,23.72,0.0,3.1,213.69,0.0,4.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,21.6,268.5,238.71,238.71,507.21,250.73,0.0,0.0,261.6,0.0,145.58,0.0,13.32,158.89,930.39,201.54,0.09,8.79,210.43,59.07,2.95,0.0,272.44,73.6,130.01,128.72,0.0,657.95,930.39,9.5,1.9,6.27,0.61,0.0,59.07,10.87,0.0,325.63,30.07,0.0,2.0,246.9,0.0,2.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,21.6,268.5,289.13,289.13,557.64,179.1,0.0,0.0,188.23,296.66,104.31,98.33,7.49,506.8,1253.07,351.11,62.4,112.73,526.24,59.07,3.05,0.0,588.36,112.36,214.83,139.27,0.0,664.71,1253.07,282.71,8.46,11.15,0.53,0.0,59.07,9.13,0.0,198.24,53.96,0.0,6.54,246.9,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,21.6,268.5,342.76,342.76,611.26,186.58,0.0,0.0,198.73,338.64,126.88,101.66,12.41,579.6,1389.58,457.79,102.4,157.61,717.8,104.07,3.12,0.0,824.99,116.92,322.4,7.89,0.0,564.6,1389.58,331.85,19.48,1.0,0.55,0.0,104.07,12.15,0.0,117.39,65.09,0.0,7.16,246.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,24.0,270.9,810.64,810.64,1081.55,465.24,0.0,0.0,486.58,151.12,127.26,79.31,18.33,376.02,1944.15,595.37,102.4,86.53,784.29,194.1,4.03,0.0,982.42,163.04,469.96,41.77,0.0,961.73,1944.15,351.95,34.71,8.76,1.0,0.0,194.1,21.34,0.0,286.96,86.58,0.0,9.72,246.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,24.0,270.9,888.87,888.87,1159.78,201.82,0.0,0.0,228.22,469.51,181.38,139.84,25.4,816.13,2204.12,678.39,102.4,57.53,838.32,153.07,4.76,0.0,996.15,196.02,616.25,83.32,0.0,1207.97,2204.12,290.66,23.26,8.76,0.94,0.0,104.07,26.39,0.0,312.39,38.69,0.0,3.13,246.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,25.45,272.35,1021.74,1021.74,1294.09,274.72,0.0,7.04,310.64,340.16,390.56,428.42,39.41,1198.55,2804.2,1062.09,27.32,71.95,1161.36,45.02,0.0,153.8,1480.03,289.8,519.86,129.06,94.23,1324.17,2804.2,182.24,24.96,3.99,1.99,0.0,45.02,28.88,119.85,291.22,27.27,0.53,5.33,246.9,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,26.44,100.51,1264.63,1264.63,1365.14,402.8,0.0,11.08,465.28,435.5,574.26,412.29,40.11,1462.16,3292.58,1198.37,20.32,207.35,1426.04,25.47,0.0,11.66,1606.93,399.88,699.97,177.23,115.92,1685.65,3292.58,389.99,34.41,6.67,1.49,0.0,25.47,51.4,143.76,292.65,38.79,1.27,45.93,74.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,26.44,100.51,1410.18,1410.18,1510.69,743.2,0.0,3.38,821.13,556.93,249.6,521.75,78.56,1406.84,3738.66,1573.76,20.23,113.98,1707.97,25.47,0.0,6.3,1878.41,512.63,813.3,232.77,5.85,1860.25,3738.66,495.41,49.37,10.25,2.0,0.0,25.47,74.55,138.67,295.7,39.84,2.4,13.85,74.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
