Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,Other Earnings,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Deferred Tax Liabilities [Net],Long Term Loans And Advances,Short Term Loans And Advances,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Preference Share Capital,Equity Share Application Money,Government/Other Grants,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Current Investments,Trade/Other Goods
2014-03-31,26.44,100.51,1605.35,1605.35,1705.86,527.54,0.0,5.5,612.58,488.91,209.41,787.0,92.04,1577.36,3895.8,1585.09,21.83,82.27,1689.19,25.47,0.0,5.64,1894.16,543.28,958.6,142.48,1.2,2001.64,3895.8,679.72,50.59,10.64,2.71,0.0,25.47,79.54,173.86,356.08,47.85,3.44,10.99,74.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,26.44,26.44,1823.19,1823.19,1849.63,511.56,0.0,5.17,583.09,187.58,342.74,797.63,119.96,1447.91,3880.63,1770.22,40.62,90.16,1901.0,25.47,0.0,4.43,2123.29,558.38,964.28,10.76,0.48,1757.34,3880.63,681.29,58.72,13.39,4.67,0.0,25.47,66.36,192.39,223.44,53.08,6.76,36.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,26.44,26.44,2081.16,2081.16,2107.6,198.22,0.0,8.39,269.34,212.88,383.4,1041.13,115.67,1753.08,4130.02,1761.98,35.38,60.84,1858.2,25.47,0.0,5.04,2119.23,605.1,1143.03,11.34,8.39,2010.79,4130.02,872.76,58.46,15.48,4.38,0.0,25.47,62.73,230.52,242.93,86.86,8.71,18.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,26.44,26.44,2306.08,2306.08,2332.52,184.03,7.73,0.0,238.8,211.9,459.88,1151.9,78.97,1902.65,4473.97,1696.03,29.52,137.18,1862.73,25.5,0.0,224.19,2112.42,750.14,1295.35,21.55,294.51,2361.55,4473.97,778.81,148.8,0.0,4.8,0.0,25.5,47.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,26.44,26.44,2662.01,2662.01,2688.45,205.0,9.07,0.93,233.28,52.78,522.72,1141.19,80.63,1797.32,4719.05,1679.79,25.26,72.27,1777.32,25.57,0.0,280.04,2082.93,806.44,1498.35,20.16,311.17,2636.12,4719.05,913.44,269.4,0.0,223.3,0.0,0.15,18.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,26.44,26.44,3155.45,3155.45,3181.89,75.43,9.55,1.63,98.08,6.0,589.94,1421.76,80.93,2098.63,5378.6,1725.25,26.94,189.92,1942.11,25.68,0.0,411.07,2378.86,1030.8,1510.02,45.12,413.8,2999.74,5378.6,1233.78,288.2,0.0,246.7,0.0,25.68,11.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,26.44,26.44,3491.53,3491.53,3517.97,8.9,11.31,16.58,36.79,160.15,544.63,1194.44,89.78,1989.0,5543.76,1876.82,23.93,199.12,2099.87,25.68,27.71,435.48,2588.74,1092.29,1349.77,73.31,439.65,2955.02,5543.76,1254.58,375.4,0.0,195.3,0.0,25.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,26.44,26.44,3553.18,3553.18,3579.62,107.5,18.83,1.6,127.93,142.67,629.04,1274.27,91.0,2136.98,5844.53,1921.06,20.98,127.99,2070.03,13.71,34.92,404.48,2523.14,1135.29,1394.82,468.05,323.23,3321.39,5844.53,1070.24,164.1,0.0,76.8,3.0,10.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,26.44,26.44,3905.57,3905.57,3932.01,0.0,31.03,4.41,35.44,0.0,637.69,1233.43,102.14,1973.26,5940.71,1888.38,16.38,109.89,2014.65,16.0,38.43,496.24,2565.32,934.41,1254.5,907.74,278.74,3375.39,5940.71,1385.86,11.17,0.0,16.84,2.78,13.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,26.44,26.44,3934.82,3934.82,3961.26,0.0,29.19,4.17,33.36,0.0,716.39,1458.23,101.99,2276.61,6271.23,1830.89,12.23,77.08,1920.2,15.7,44.96,606.39,2587.25,1425.97,1407.07,394.95,455.99,3683.98,6271.23,2346.3,720.7,0.0,172.3,2.62,13.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,26.44,26.44,4147.63,4147.63,4174.07,0.0,31.51,9.16,40.67,77.41,948.18,1707.43,95.52,2828.54,7043.28,1758.64,9.04,172.57,1940.25,15.62,52.87,628.03,2636.77,1366.45,2313.29,208.19,518.58,4406.51,7043.28,3172.73,363.3,0.0,219.1,2.53,13.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,26.44,26.44,4332.71,4332.71,4359.15,0.0,56.09,14.03,70.12,574.85,1149.23,1962.7,95.57,3782.35,8211.62,1732.89,7.37,250.97,1991.23,15.5,66.67,688.35,2761.75,1614.93,2860.11,441.94,532.89,5449.87,8211.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
