Date,Net Sales/Income from operations,Total Income From Operations,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2014-06-30,107.05,107.05,92.46,4.69,21.07,-11.17,5.94,-5.23,0.0,-5.23,0.0,-5.23,-0.72,-4.51,0.0,-4.51,49.83,536.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-09-30,103.1,103.1,110.29,4.03,23.39,-34.6,6.8,-27.81,0.0,-27.81,0.0,-27.81,-0.74,-27.07,0.0,-27.07,49.92,0.0,-2.72,-2.67,0.0,0.0,0.0,0.0,0.0
2014-12-31,118.87,118.87,115.44,4.2,24.37,-25.15,6.71,-18.44,0.0,-18.44,0.0,-18.44,0.19,-18.63,0.0,-18.63,49.92,0.0,-1.87,-1.87,6.77,67.8,3.22,100.0,32.2
2015-03-31,124.08,124.08,114.83,4.14,30.34,-25.23,2.92,-22.31,0.0,-22.31,0.0,-22.31,-1.35,-20.96,0.0,-20.96,50.1,0.0,-2.1,-2.1,6.79,67.87,3.21,100.0,32.13
2015-06-30,120.94,120.94,99.77,4.48,25.15,-8.45,4.65,-3.81,0.0,-3.81,0.0,-3.81,0.43,-4.23,0.0,-4.23,50.2,0.0,-0.42,-0.42,0.68,67.98,3.21,100.0,32.02
2015-09-30,142.59,142.59,104.27,4.52,25.31,8.5,4.16,12.66,0.0,12.66,0.0,12.66,0.0,12.66,0.0,12.66,50.28,0.0,1.26,1.22,6.83,67.9,3.23,100.0,32.1
2015-12-31,136.18,136.18,109.71,4.86,23.6,-2.0,4.25,2.25,0.0,2.25,0.0,2.25,0.0,2.25,0.0,2.25,50.31,0.0,0.22,0.21,0.0,0.0,0.0,0.0,0.0
2016-03-31,146.4,146.4,102.79,5.19,32.0,6.42,4.52,10.94,0.1,10.84,0.0,10.84,-11.18,22.01,0.0,22.01,50.39,0.0,2.19,2.08,0.0,0.0,0.0,0.0,0.0
2016-06-30,130.23,130.23,100.27,5.53,30.6,-6.17,11.26,5.09,1.37,3.72,0.0,3.72,0.0,3.72,0.0,3.72,50.52,0.0,0.44,0.43,0.0,0.0,0.0,0.0,0.0
2016-09-30,125.86,125.86,104.45,5.68,33.44,-17.71,6.53,-11.18,2.18,-13.36,0.0,-13.36,0.0,-13.36,0.0,-13.36,50.55,0.0,-1.22,-1.22,0.0,0.0,0.0,0.0,0.0
2016-12-31,124.89,124.89,115.57,5.66,27.62,-23.96,5.49,-18.47,3.12,-21.59,0.0,-21.59,0.0,-21.59,0.0,-21.59,50.56,0.0,-2.09,-2.09,0.0,0.0,0.0,0.0,0.0
