Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Other Long Term Liabilities,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Long Term Loans And Advances,Trade/Other Goods,Long Term Provisions,Capital Goods,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Long Term Borrowings,Deferred Tax Liabilities [Net],Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Raw Materials,"Stores, Spares And Loose Tools"
2014-03-31,10.52,10.52,308.8,308.8,0.0,319.32,0.0,0.7,5.69,31.88,5.98,43.74,87.3,407.31,14.73,0.0,0.02,14.76,51.0,9.69,0.0,134.02,57.66,0.0,64.19,137.5,8.32,5.62,273.29,407.31,287.68,51.75,1.19,315.69,0.77,4.23,0.0,51.0,0.0,57.8,58.57,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,10.52,10.52,346.78,346.78,0.0,357.3,1.84,1.84,5.32,36.45,8.96,68.07,118.8,477.94,9.99,2.48,0.19,12.66,51.0,8.41,0.0,129.76,56.34,0.0,102.08,162.34,4.22,23.19,348.18,477.94,206.05,52.34,0.35,415.89,0.76,4.23,0.0,51.0,0.0,56.34,57.69,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,10.52,10.52,349.84,349.84,0.0,360.35,4.02,4.02,96.51,32.72,11.45,9.83,150.51,514.88,16.5,1.92,0.28,18.69,26.02,9.98,0.13,101.79,70.0,0.0,124.52,185.51,11.19,21.87,413.09,514.88,214.08,62.6,0.92,441.99,0.71,4.23,0.0,26.02,0.0,70.24,46.97,2.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,10.37,10.37,457.79,457.79,0.0,468.16,6.23,6.23,0.0,38.56,31.89,7.08,77.53,551.92,16.15,2.82,0.41,19.38,25.61,6.79,51.72,103.5,109.93,0.0,160.08,136.97,0.0,41.44,448.42,551.92,293.69,0.0,0.0,0.0,0.0,4.23,0.0,25.61,109.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,10.38,10.38,481.05,481.05,0.0,491.43,7.72,7.72,0.0,57.72,42.28,9.9,109.9,609.05,17.57,2.82,0.27,20.66,96.17,10.56,41.64,169.03,102.95,0.0,184.83,125.66,0.0,26.58,440.02,609.05,327.94,87.13,0.0,0.0,626.35,4.23,67.77,28.4,102.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,10.39,10.39,522.76,522.76,0.0,533.15,17.72,17.72,0.0,51.6,42.17,12.28,106.05,656.92,17.11,2.82,0.03,19.96,50.34,11.24,42.75,124.29,98.99,0.0,288.6,86.1,2.45,56.49,532.63,656.92,363.63,121.7,0.0,0.0,770.7,4.23,0.0,50.34,98.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,10.39,10.39,360.05,360.05,2.84,373.28,73.82,73.82,0.0,78.03,111.24,15.98,205.25,652.35,100.08,2.82,0.0,102.9,51.08,19.98,55.27,229.23,4.8,0.0,230.09,156.18,2.2,29.85,423.12,652.35,375.72,132.65,0.0,0.0,808.24,4.23,0.0,51.08,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,10.39,10.39,516.82,516.82,2.31,529.52,64.23,64.23,0.0,93.2,81.26,14.33,188.79,782.54,81.23,2.82,0.11,84.16,52.85,16.99,65.16,219.16,45.07,0.0,191.58,280.87,1.8,44.06,563.38,782.54,275.99,1.7,0.0,0.0,1411.54,4.23,0.0,52.85,45.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,10.39,10.39,558.71,558.71,2.65,571.75,52.83,52.83,0.0,100.52,65.91,12.28,178.71,803.29,67.44,2.82,0.01,70.27,63.89,15.12,69.13,218.41,79.0,0.0,152.83,301.2,0.0,51.85,584.88,803.29,406.18,0.91,0.0,0.0,1648.06,4.23,0.0,61.48,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,13.87,13.87,530.29,530.29,9.44,553.6,31.29,31.29,0.62,108.66,95.55,12.67,217.5,802.39,53.23,2.82,0.02,56.07,62.91,13.53,93.35,225.86,20.84,0.0,307.52,193.47,0.0,54.7,576.53,802.39,512.66,104.03,0.0,0.0,759.87,4.23,0.0,0.0,20.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,27.75,27.75,665.66,665.66,13.27,706.68,38.35,38.35,0.04,86.15,108.0,13.6,207.79,952.82,60.3,2.82,0.0,63.12,62.63,10.61,124.02,260.38,1.19,0.0,520.19,87.37,0.0,83.69,692.44,952.82,444.43,146.37,0.0,0.0,863.52,18.1,0.38,62.25,1.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,27.76,27.76,775.54,775.54,0.0,803.3,45.6,45.6,0.0,65.15,91.8,18.64,175.59,1024.49,45.4,0.0,0.0,45.4,62.25,13.38,79.96,200.99,16.08,0.02,664.71,83.82,0.0,58.87,823.5,1024.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
