Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Other Long Term Liabilities,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Long Term Loans And Advances,Trade/Other Goods,Long Term Provisions,Capital Goods,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Long Term Borrowings,Deferred Tax Liabilities [Net],Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Raw Materials,"Stores, Spares And Loose Tools"
2004-03-31,10.52,10.52,141.8,141.8,0.0,152.32,0.0,0.0,0.0,0.44,3.48,3.56,7.49,159.81,8.95,0.0,0.15,9.1,64.59,1.8,0.0,75.5,0.0,6.82,24.06,13.57,39.86,0.0,84.31,159.81,41.32,34.05,0.0,69.68,0.0,4.23,15.33,49.71,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,10.52,10.52,150.47,150.47,0.0,160.99,0.0,0.0,0.0,1.96,4.06,4.16,10.18,171.17,20.69,0.0,2.19,22.87,63.86,2.15,0.0,88.88,0.0,5.46,24.46,12.96,39.4,0.0,82.29,171.17,93.23,30.46,0.0,97.01,0.0,4.23,13.71,50.15,0.0,0.0,0.0,0.0,0.0,8.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,10.52,10.52,146.26,146.26,0.0,156.78,0.0,0.0,0.0,2.36,11.55,7.19,21.11,177.89,27.54,0.0,1.59,29.12,36.61,5.07,0.0,70.8,0.0,6.81,31.74,35.99,32.56,0.0,107.09,177.89,14.46,46.11,0.0,148.67,0.0,4.23,7.55,29.06,0.0,0.0,0.0,0.0,0.0,4.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,10.52,10.52,168.02,168.02,0.0,178.53,0.0,0.0,0.0,1.9,7.51,7.38,16.79,195.33,26.42,0.0,4.95,31.37,75.27,11.86,0.0,118.51,0.0,3.14,36.21,18.62,18.85,0.0,76.82,195.33,30.63,44.43,0.0,185.83,0.0,4.23,0.0,75.27,0.0,0.0,0.0,0.0,0.0,2.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,10.52,10.52,188.72,188.72,0.0,199.23,0.0,0.0,0.0,2.89,8.26,8.28,19.43,218.66,24.99,0.0,4.32,29.31,101.82,10.43,0.0,141.56,0.0,1.57,38.07,13.84,23.63,0.0,77.1,218.66,27.11,52.66,0.0,198.82,1.36,4.23,15.01,100.32,0.0,0.0,0.0,0.0,0.0,1.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,10.52,10.52,213.31,213.31,0.0,223.83,0.0,0.0,0.0,3.34,20.69,1.19,25.22,249.04,24.23,0.0,3.01,27.24,126.26,7.68,0.0,161.18,0.0,0.0,42.85,13.96,31.05,0.0,87.86,249.04,24.69,75.23,0.0,243.58,0.34,4.23,3.5,122.76,0.0,0.0,0.0,0.0,0.0,1.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,10.52,10.52,281.65,281.65,0.0,292.17,0.0,0.0,0.0,5.87,14.37,11.36,31.61,323.78,31.22,0.0,0.4,31.62,119.81,5.49,0.0,156.92,0.0,0.0,56.11,24.82,85.93,0.0,166.86,323.78,142.74,38.23,0.0,236.09,0.15,4.23,0.0,110.81,0.0,0.0,0.0,0.0,0.0,3.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,10.52,10.52,303.39,303.39,0.0,313.91,0.0,0.91,0.0,4.66,17.73,12.91,35.29,350.1,30.44,1.37,2.91,34.72,110.81,4.96,0.0,187.4,4.94,0.0,70.03,38.87,46.66,2.2,162.71,350.1,332.3,36.95,0.14,250.23,0.77,4.23,0.0,110.81,0.0,4.94,36.91,0.0,0.91,1.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,10.52,10.52,288.19,288.19,0.0,298.7,1.75,3.09,0.0,4.73,31.85,3.86,40.44,342.23,28.51,0.49,0.52,29.52,90.82,6.28,0.0,157.9,22.01,0.0,67.36,44.31,49.99,0.67,184.33,342.23,403.48,33.18,0.17,223.4,0.53,4.23,0.0,90.82,0.0,22.01,31.28,0.0,1.34,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,10.52,10.52,299.2,299.2,0.0,309.72,0.0,5.71,16.78,17.32,6.48,16.04,56.62,372.04,20.62,0.02,0.0,20.64,84.26,2.83,0.0,171.69,21.77,0.0,58.62,79.15,37.29,3.52,200.35,372.04,82.79,31.66,0.46,230.68,0.61,4.23,0.0,84.26,0.0,21.77,63.96,0.0,5.71,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
