Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,57.22,0.5,57.72,0.0,0.0,34.59,2.51,20.78,-0.16,2.67,2.51,0.0,2.51,0.0,2.51,1.78,0.74,0.74,10.52,0.0,0.07,0.07,6.54,62.2,3.09,77.8,29.41
2013-03-31,61.64,0.19,61.83,0.0,0.0,31.43,2.31,18.79,9.31,1.87,11.17,0.05,11.13,0.0,11.13,2.39,8.74,8.74,10.52,0.0,0.83,0.83,7.07,67.21,3.13,90.73,29.75
2013-06-30,65.59,0.1,65.69,0.0,0.0,38.18,2.21,22.77,2.54,1.98,4.52,0.11,4.41,0.0,4.41,1.16,3.25,3.25,10.52,0.0,0.31,0.31,7.07,67.21,3.13,90.72,29.75
2013-09-30,83.78,0.21,83.99,0.0,0.0,45.58,1.97,27.06,9.38,2.58,11.96,0.04,11.92,0.0,11.92,2.83,9.09,9.09,10.52,0.0,0.86,0.86,7.07,67.21,3.26,94.56,31.01
2013-12-31,89.53,0.25,89.78,0.0,0.0,41.82,1.91,26.52,19.53,5.03,24.56,0.01,24.55,0.0,24.55,4.87,19.68,19.68,10.52,0.0,1.87,1.87,7.07,67.21,3.26,94.56,31.01
2014-03-31,93.92,0.31,94.24,0.0,0.0,53.47,1.3,19.35,20.12,7.85,27.97,0.0,27.97,0.0,27.97,6.14,21.82,21.82,10.52,0.0,2.08,2.08,7.07,67.21,3.26,94.56,31.01
2014-06-30,101.17,0.21,101.38,0.0,0.0,58.16,1.83,16.48,24.92,4.38,29.3,0.03,29.27,0.0,29.27,6.85,22.42,22.42,10.52,0.0,2.13,2.13,7.07,67.21,3.26,94.56,31.01
2014-09-30,114.6,0.1,114.7,0.0,0.0,62.58,1.06,18.78,32.29,4.59,36.87,0.37,36.5,0.0,36.5,8.01,28.49,28.49,10.52,0.0,2.71,2.71,7.07,67.21,3.26,94.56,31.01
2014-12-31,124.33,0.27,124.6,0.0,0.0,69.3,1.23,17.52,36.55,6.52,43.06,0.5,42.56,0.0,42.56,10.42,32.14,32.14,10.52,0.0,3.06,3.06,7.09,67.44,3.24,94.52,30.78
2015-03-31,126.03,0.16,126.19,0.0,0.26,68.68,1.11,15.98,40.17,5.55,45.71,0.24,45.47,0.0,45.47,11.06,34.42,34.42,10.52,0.0,3.27,3.27,7.11,67.63,3.22,94.49,30.59
